date,South Carolina-apple-driving,South Carolina-apple-walking,South Carolina-google-retail_and_recreation,South Carolina-google-grocery_and_pharmacy,South Carolina-google-parks,South Carolina-google-transit_stations,South Carolina-google-workplaces,South Carolina-google-residential,South Carolina-jh_beta_7,South Carolina-jh_gamma_7,South Carolina-cdc_beta_7,South Carolina-cdc_gamma_7,South Carolina-jh_beta_14,South Carolina-jh_gamma_14,South Carolina-cdc_beta_14,South Carolina-cdc_gamma_14,South Carolina-jh_beta_30,South Carolina-jh_gamma_30,South Carolina-cdc_beta_30,South Carolina-cdc_gamma_30,South Carolina-census_pop,South Carolina-jh_confirmed,South Carolina-jh_death,South Carolina-cdc_confirmed,South Carolina-cdc_death,South Carolina-jh_confirmed_ratio,South Carolina-jh_death_ratio,South Carolina-cdc_confirmed_ratio,South Carolina-cdc_death_ratio
04-03-2021,195.41,252.96,8.0,18.0,55.0,20.0,-13.0,0.0,0.025,1e-05,0.025,1e-05,0.0250000014850656,4.067816781499077e-05,0.0250000008219871,2.702473835953478e-05,0.025000002042204,2.963888147023461e-05,0.0250000020413301,2.9630764503462217e-05,5148714,555274,9196,557073,9130,0.1078471245441094,0.0017860770670112,0.1081965321825993,0.0017732583320805
04-04-2021,136.02,155.36,-14.0,-1.0,54.0,26.0,-23.0,0.0,0.025,1e-05,0.025,1e-05,0.0250000008024104,2.6647743456441915e-05,0.02500000084295,2.755361793916548e-05,0.0250000018644023,2.786628316314816e-05,0.0250000018690885,2.7910858911545463e-05,5148714,555274,9196,558055,9139,0.1078471245441094,0.0017860770670112,0.1083872594205077,0.0017750063413893
04-05-2021,179.46,208.35,12.0,8.0,64.0,18.0,-30.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000006605325,2.3608795955547432e-05,0.0250000007161923,2.4780758555675565e-05,0.0250000016827891,2.6080765949033506e-05,0.0250000017057762,2.6291173831513125e-05,5148714,556469,9203,558732,9140,0.1080792213356578,0.0017874366298069,0.1085187485651757,0.0017752005646458
04-06-2021,178.54,212.27,13.0,8.0,67.0,12.0,-30.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000005872122,2.2122594566264786e-05,0.0250000006461057,2.3378897616067777e-05,0.0250000016278546,2.5609795167034253e-05,0.0250000016544946,2.585624140945573e-05,5148714,557803,9204,559279,9140,0.1083383151598632,0.0017876308530635,0.1086249886864953,0.0017752005646458
04-07-2021,184.3,215.73,13.0,7.0,58.0,13.0,-30.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000006247043,2.319798158964884e-05,0.0250000006838106,2.448178926480276e-05,0.0250000014624041,2.4013938266406256e-05,0.025000001494837,2.431633056267233e-05,5148714,558631,9213,559806,9149,0.1084991320162665,0.0017893788623722,0.1087273443426844,0.0017769485739545
04-08-2021,187.95,223.38,10.0,5.0,51.0,16.0,-30.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000004984255,2.0537374339336943e-05,0.0250000005370023,2.1370655199750324e-05,0.0250000014923845,2.443841921572141e-05,0.0250000015267597,2.47638315200373e-05,5148714,559597,9237,560759,9170,0.1086867516820705,0.0017940402205288,0.1089124391061535,0.0017810272623416
04-09-2021,212.41,262.99,4.0,2.0,45.0,15.0,-30.0,4.0,0.025,1e-05,0.025,1e-05,0.02500000037221,1.7681933751973246e-05,0.0250000003859584,1.7993304200862547e-05,0.0250000015515154,2.5127881106773485e-05,0.0250000015848769,2.545428736448969e-05,5148714,560762,9248,561774,9185,0.108913021775923,0.0017961766763506,0.1091095757115271,0.0017839406111895
04-10-2021,201.84,266.64,2.0,2.0,49.0,24.0,-11.0,1.0,0.025,1e-05,0.025,1e-05,0.0250000003859286,1.797420262340367e-05,0.0250000003875972,1.80023091725432e-05,0.025000001506149,2.4732637205375568e-05,0.0250000015241764,2.489718206515777e-05,5148714,561773,9273,562759,9210,0.1091093814882706,0.0018010322577637,0.1093008856192051,0.0017887961926026
04-11-2021,155.84,169.04,11.0,8.0,50.0,44.0,-14.0,0.0,0.025,1e-05,0.025,1e-05,0.0250000003980586,1.8089760727821704e-05,0.0250000003946065,1.7996370155604734e-05,0.0250000013171301,2.2807159081315988e-05,0.0250000013450564,2.307560845813231e-05,5148714,562691,9276,563725,9214,0.1092876784377613,0.0018016149275333,0.109488505285009,0.0017895730856287
04-12-2021,155.31,161.16,5.0,6.0,46.0,9.0,-19.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000003521184,1.701866975167707e-05,0.0250000003592933,1.7153008112808978e-05,0.0250000013183243,2.2879115968324745e-05,0.0250000013564739,2.3253230926307843e-05,5148714,563427,9276,564464,9214,0.1094306267545643,0.0018016149275333,0.1096320362715816,0.0017895730856287
