date,Kansas-apple-driving,Kansas-apple-walking,Kansas-google-retail_and_recreation,Kansas-google-grocery_and_pharmacy,Kansas-google-parks,Kansas-google-transit_stations,Kansas-google-workplaces,Kansas-google-residential,Kansas-jh_beta_7,Kansas-jh_gamma_7,Kansas-cdc_beta_7,Kansas-cdc_gamma_7,Kansas-jh_beta_14,Kansas-jh_gamma_14,Kansas-cdc_beta_14,Kansas-cdc_gamma_14,Kansas-jh_beta_30,Kansas-jh_gamma_30,Kansas-cdc_beta_30,Kansas-cdc_gamma_30,Kansas-census_pop,Kansas-jh_confirmed,Kansas-jh_death,Kansas-cdc_confirmed,Kansas-cdc_death,Kansas-jh_confirmed_ratio,Kansas-jh_death_ratio,Kansas-cdc_confirmed_ratio,Kansas-cdc_death_ratio
01-26-2021,100.83,126.49,-25.0,-18.0,-24.0,-19.0,-27.0,11.0,0.025000000360509,2.4392502349851888e-05,0.0250000003331893,2.3320154202975293e-05,0.0249999871858601,0.0001101264723499,0.0249999879841671,0.0001110079120867,0.0250000157286665,0.0001520435551164,0.02500001589692,0.0001531162072354,2913314,271578,3646,269255,3622,0.0932196117548606,0.0012514957193079,0.0924222380423119,0.001243257678369
01-27-2021,99.77,129.4,-24.0,-15.0,-21.0,-15.0,-27.0,10.0,0.025000000411425,2.6845238620455102e-05,0.0250000003750848,2.543395078051954e-05,0.0249999846023129,0.0001154494735851,0.0249999854313435,0.0001164758520349,0.0250000161182132,0.0001567519012306,0.0250000162837288,0.0001578397427693,2913314,274746,3740,272517,3718,0.0943070331588012,0.0012837613796521,0.0935419251065968,0.0012762098421248
01-28-2021,110.78,135.21,-21.0,-15.0,-16.0,-14.0,-26.0,10.0,0.0250000003374895,2.1682106920176523e-05,0.0250000003205314,2.1098253883116316e-05,0.0249999924671993,8.677532200574442e-05,0.0249999927684373,8.76237364787574e-05,0.0250000153877006,0.0001508626529005,0.0250000155230371,0.0001517597298149,2913314,274823,3741,272517,3718,0.094333463540147,0.0012841046313579,0.0935419251065968,0.0012762098421248
01-29-2021,132.49,175.78,-13.0,-14.0,13.0,-8.0,-19.0,6.0,0.0250000004890184,2.76399633597127e-05,0.0250000004677281,2.684438612764018e-05,0.0249999904250942,9.412587724304608e-05,0.0249999908402824,9.52832656991496e-05,0.0250000153624248,0.0001511575337461,0.0250000159658527,0.0001566524047231,2913314,276956,3802,274685,3779,0.0950656194285957,0.0013050429854111,0.0942860948047481,0.0012971481961779
01-30-2021,125.81,174.74,-23.0,-14.0,-31.0,-17.0,-9.0,7.0,0.0250000005937996,3.1045640568654264e-05,0.0250000005645161,2.9862929405124564e-05,0.0250000031780027,6.882340675908429e-05,0.0250000030176374,6.570846655501912e-05,0.025000012644159,0.000125289353517,0.0250000127307496,0.0001258128762318,2913314,276956,3802,274685,3779,0.0950656194285957,0.0013050429854111,0.0942860948047481,0.0012971481961779
01-31-2021,94.08,116.58,-12.0,-9.0,-38.0,-12.0,-8.0,5.0,0.0250000007418321,3.780301068965901e-05,0.0250000007106386,3.648342260336639e-05,0.0250000037372221,8.027863065778026e-05,0.0250000035637889,7.68282721493238e-05,0.0250000130748032,0.0001299138594431,0.0250000131626695,0.0001304658663356,2913314,276956,3804,274685,3779,0.0950656194285957,0.0013057294888226,0.0942860948047481,0.0012971481961779
02-01-2021,105.28,144.36,-18.0,-10.0,-8.0,-13.0,-22.0,8.0,0.0250000008376988,4.307319862137681e-05,0.0250000008016967,4.155061087582616e-05,0.0250000041768638,8.999269285585924e-05,0.0250000040062644,8.659888454063282e-05,0.0250000109453591,0.000109764290377,0.0250000109549507,0.000109660512568,2913314,279008,3834,276668,3809,0.0957699719288755,0.0013160270399963,0.0949667629373284,0.0013074457473516
02-02-2021,108.89,145.03,-15.0,-10.0,14.0,-13.0,-25.0,8.0,0.0250000007983663,4.201663354784138e-05,0.025000000786731,4.156755687699314e-05,0.0250000042369443,9.12066647647956e-05,0.0250000040327476,8.705441301158198e-05,0.0250000113128987,0.0001137869068315,0.0250000113360498,0.000113842657216,2913314,279155,3834,276668,3809,0.0958204299296265,0.0013160270399963,0.0949667629373284,0.0013074457473516
02-03-2021,111.66,152.21,-10.0,-1.0,44.0,-8.0,-23.0,6.0,0.0250000008617092,4.570511984090151e-05,0.0250000008528577,4.536785681559035e-05,0.0249999945257686,7.454307371729875e-05,0.0249999954994728,7.234306547671228e-05,0.0250000116539859,0.0001176326278479,0.0250000116742031,0.0001176853363919,2913314,281322,3909,278915,3895,0.096564256376072,0.0013417709179305,0.0957380495202371,0.0013369653940495
02-04-2021,108.67,143.73,-21.0,-12.0,-18.0,-16.0,-25.0,10.0,0.0250000005377186,3.050033808881712e-05,0.0250000005407391,3.0417917953606293e-05,0.0250000041425048,8.872778068094393e-05,0.0250000040556244,8.67654296768879e-05,0.0250000115549664,0.0001172072892728,0.0250000116087148,0.0001175267050474,2913314,281363,3909,278915,3895,0.0965783296960094,0.0013417709179305,0.0957380495202371,0.0013369653940495
