date,Illinois-apple-driving,Illinois-apple-walking,Illinois-google-retail_and_recreation,Illinois-google-grocery_and_pharmacy,Illinois-google-parks,Illinois-google-transit_stations,Illinois-google-workplaces,Illinois-google-residential,Illinois-jh_beta_7,Illinois-jh_gamma_7,Illinois-cdc_beta_7,Illinois-cdc_gamma_7,Illinois-jh_beta_14,Illinois-jh_gamma_14,Illinois-cdc_beta_14,Illinois-cdc_gamma_14,Illinois-jh_beta_30,Illinois-jh_gamma_30,Illinois-cdc_beta_30,Illinois-cdc_gamma_30,Illinois-census_pop,Illinois-jh_confirmed,Illinois-jh_death,Illinois-cdc_confirmed,Illinois-cdc_death,Illinois-jh_confirmed_ratio,Illinois-jh_death_ratio,Illinois-cdc_confirmed_ratio,Illinois-cdc_death_ratio
02-15-2021,79.95,72.41,-43.0,-29.0,-59.0,-57.0,-51.0,19.0,0.0250000003018214,2.153631749966648e-05,0.0250000003018204,2.153628164117237e-05,0.0250000027948311,6.511820110080583e-05,0.0250000027948311,6.511820110080583e-05,0.0250000051617927,5.7445426130394815e-05,0.0250000051617927,5.7445426130394815e-05,12671821,1163574,22166,1163574,22166,0.0918237402501187,0.0017492355676425,0.0918237402501187,0.0017492355676425
02-16-2021,76.51,76.26,-42.0,-28.0,-50.0,-53.0,-53.0,22.0,0.025000000312309,2.2188554665853383e-05,0.025000000312309,2.2188554665853383e-05,0.0250000029712227,6.93641257606508e-05,0.0250000029712227,6.93641257606508e-05,0.0250000048346342,5.436129288690086e-05,0.0250000048346342,5.436129288690086e-05,12671821,1164922,22199,1164922,22199,0.0919301180153981,0.0017518397710952,0.0919301180153981,0.0017518397710952
02-17-2021,95.14,88.38,-29.0,-12.0,-45.0,-46.0,-35.0,14.0,0.0250000003363938,2.350117111182377e-05,0.0250000003363938,2.350117111182377e-05,0.025000002907969,6.842417058235273e-05,0.025000002907969,6.842417058235273e-05,0.0250000049030501,5.525387492878849e-05,0.0250000049030501,5.525387492878849e-05,12671821,1166717,22224,1166717,22224,0.0920717709001729,0.0017538126524988,0.0920717709001729,0.0017538126524988
02-18-2021,99.94,93.67,-28.0,-12.0,-43.0,-45.0,-34.0,14.0,0.0250000002973874,2.206340490812664e-05,0.0250000002973874,2.206340490812664e-05,0.0250000027121928,6.464794459959947e-05,0.0250000027121928,6.464794459959947e-05,0.0250000048346909,5.4782804146703766e-05,0.0250000048346909,5.4782804146703766e-05,12671821,1168684,22297,1168683,22297,0.0922269972090041,0.0017595734661971,0.0922269182937479,0.0017595734661971
02-19-2021,117.93,116.84,-26.0,-12.0,-42.0,-43.0,-32.0,13.0,0.025,1e-05,0.025,1e-05,0.0250000025762887,6.188901440019464e-05,0.0250000025762887,6.188901440019464e-05,0.0250000048773034,5.53993716249596e-05,0.0250000048773034,5.53993716249596e-05,12671821,1170902,22368,1170902,22368,0.092402031247127,0.0017651764493832,0.092402031247127,0.0017651764493832
02-20-2021,118.66,132.21,-21.0,-4.0,-17.0,-31.0,-7.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000023141967,5.612787579965152e-05,0.0250000023141967,5.612787579965152e-05,0.0250000045965241,5.272943312581474e-05,0.0250000045965241,5.272943312581474e-05,12671821,1172824,22426,1172824,22426,0.0925537063694318,0.0017697535342394,0.0925537063694318,0.0017697535342394
02-21-2021,83.23,84.08,-27.0,-15.0,-26.0,-39.0,-14.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000022224025,5.4052988430911125e-05,0.0250000022224025,5.4052988430911125e-05,0.0250000042973418,4.9854067222540455e-05,0.0250000042973418,4.9854067222540455e-05,12671821,1174409,22466,1174409,22466,0.0926787870504168,0.0017729101444851,0.0926787870504168,0.0017729101444851
02-22-2021,96.92,88.79,-26.0,-15.0,-37.0,-45.0,-33.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000021710608,5.295935164826183e-05,0.0250000021710552,5.295922814545042e-05,0.0250000040734706,4.775866582665618e-05,0.0250000040734706,4.775866582665618e-05,12671821,1175655,22506,1175655,22506,0.0927771154595697,0.0017760667547308,0.0927771154595697,0.0017760667547308
02-23-2021,102.24,98.86,-21.0,-11.0,-20.0,-41.0,-33.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000022140383,5.401659947100867e-05,0.0250000022140383,5.401659947100867e-05,0.025000003856303,4.571208961477691e-05,0.025000003856303,4.571208961477691e-05,12671821,1177320,22528,1177320,22528,0.092908509361046,0.0017778028903659,0.092908509361046,0.0017778028903659
02-24-2021,105.48,99.62,-20.0,-10.0,-27.0,-40.0,-32.0,12.0,0.0250000002636925,2.038445165617832e-05,0.0250000002636925,2.038445165617832e-05,0.0250000023205909,5.663841907855738e-05,0.0250000023205909,5.663841907855738e-05,0.0250000038874897,4.617556351241286e-05,0.0250000038874897,4.617556351241286e-05,12671821,1179342,22575,1179342,22575,0.093068076008965,0.0017815119074046,0.093068076008965,0.0017815119074046
