date,Wyoming-apple-driving,Wyoming-apple-walking,Wyoming-google-retail_and_recreation,Wyoming-google-grocery_and_pharmacy,Wyoming-google-parks,Wyoming-google-transit_stations,Wyoming-google-workplaces,Wyoming-google-residential,Wyoming-jh_beta_7,Wyoming-jh_gamma_7,Wyoming-cdc_beta_7,Wyoming-cdc_gamma_7,Wyoming-jh_beta_14,Wyoming-jh_gamma_14,Wyoming-cdc_beta_14,Wyoming-cdc_gamma_14,Wyoming-jh_beta_30,Wyoming-jh_gamma_30,Wyoming-cdc_beta_30,Wyoming-cdc_gamma_30,Wyoming-census_pop,Wyoming-jh_confirmed,Wyoming-jh_death,Wyoming-cdc_confirmed,Wyoming-cdc_death,Wyoming-jh_confirmed_ratio,Wyoming-jh_death_ratio,Wyoming-cdc_confirmed_ratio,Wyoming-cdc_death_ratio
01-11-2021,118.68,161.07,-15.0,-5.0,-2.0,-7.0,-16.0,5.0,0.0250000010687894,5.2250538406386765e-05,0.0250000010687894,5.2250538406386765e-05,0.0250000090446237,0.0001886048242348,0.0250000090446237,0.0001886048242348,0.0250000109384386,0.0001025554875441,0.0250000109384386,0.0001025554875441,578759,47395,489,47395,489,0.0818907351764724,0.0008449112670386,0.0818907351764724,0.0008449112670386
01-12-2021,123.2,166.23,-15.0,-6.0,-5.0,-8.0,-15.0,6.0,0.025000001117033,5.609871053144157e-05,0.0250000011168275,5.608911521896516e-05,0.0250000064964649,0.0001356960592111,0.0250000064964649,0.0001356960592111,0.0250000114397031,0.0001077298221215,0.0250000114397031,0.0001077298221215,578759,48072,522,48072,522,0.0830604794050718,0.0009019298188019,0.0830604794050718,0.0009019298188019
01-13-2021,124.3,164.14,-21.0,-12.0,-15.0,-16.0,-18.0,7.0,0.0250000008024123,4.041847756694678e-05,0.0250000008024123,4.041847756694678e-05,0.0250000074672487,0.0001547891555028,0.0250000074672487,0.0001547891555028,0.0250000120850974,0.0001137607841963,0.0250000120850974,0.0001137607841963,578759,48289,522,48289,522,0.0834354195787884,0.0009019298188019,0.0834354195787884,0.0009019298188019
01-14-2021,130.81,164.86,-22.0,-13.0,-19.0,-8.0,-18.0,7.0,0.025000001014485,4.874931796343245e-05,0.025000001014485,4.874931796343245e-05,0.0250000082687745,0.0001715817035978,0.0250000082687745,0.0001715817035978,0.0250000126508796,0.0001193079534975,0.0250000126508796,0.0001193079534975,578759,48701,522,48701,522,0.0841472875583792,0.0009019298188019,0.0841472875583792,0.0009019298188019
01-15-2021,152.75,207.72,-21.0,-10.0,-9.0,-4.0,-16.0,7.0,0.0250000005602014,2.943023885077008e-05,0.0250000005602014,2.943023885077008e-05,0.0250000057553753,0.0001177397110604,0.0250000057553753,0.0001177397110604,0.0250000125342994,0.0001183542295145,0.0250000125342994,0.0001183542295145,578759,48909,522,48909,522,0.0845066772179784,0.0009019298188019,0.0845066772179784,0.0009019298188019
01-16-2021,151.58,203.97,-19.0,-9.0,-9.0,-1.0,-10.0,5.0,0.0250000006539643,3.44165091091029e-05,0.0250000006539643,3.44165091091029e-05,0.025000006250699,0.0001298041478431,0.025000006250699,0.0001298041478431,0.0250000130117075,0.0001233943154705,0.0250000130117075,0.0001233943154705,578759,49068,522,49068,522,0.0847814029673836,0.0009019298188019,0.0847814029673836,0.0009019298188019
01-17-2021,131.89,153.82,-17.0,-16.0,-6.0,-8.0,-14.0,4.0,0.0250000007043475,3.802330616033967e-05,0.0250000007043475,3.802330616033967e-05,0.0250000066543737,0.0001405653051042,0.0250000066543737,0.0001405653051042,0.0250000113129031,0.0001073354470741,0.0250000113129031,0.0001073354470741,578759,49363,522,49363,522,0.0852911142634499,0.0009019298188019,0.0852911142634499,0.0009019298188019
01-18-2021,127.64,154.97,-18.0,-10.0,-10.0,-6.0,-35.0,10.0,0.0250000007274897,4.0444998369571565e-05,0.0250000007274897,4.0444998369571565e-05,0.0250000069836564,0.0001500819578355,0.0250000069836564,0.0001500819578355,0.025000011500553,0.0001102271800799,0.025000011500553,0.0001102271800799,578759,49708,522,49708,522,0.0858872173046121,0.0009019298188019,0.0858872173046121,0.0009019298188019
01-19-2021,121.84,167.68,-16.0,-8.0,-10.0,-7.0,-17.0,6.0,0.0250000007399137,4.195817496611671e-05,0.0250000007399137,4.195817496611671e-05,0.0250000072490032,0.0001582628686063,0.0250000072477151,0.0001582328156329,0.0250000118443737,0.000114351785817,0.0250000118443737,0.000114351785817,578759,49922,550,49922,550,0.0862569739736228,0.0009503091960556,0.0862569739736228,0.0009503091960556
01-20-2021,120.92,160.55,-20.0,-13.0,-10.0,-13.0,-18.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000054390381,0.0001175836692021,0.0250000054390381,0.0001175836692021,0.0250000123828095,0.0001197393937914,0.0250000123828095,0.0001197393937914,578759,50124,550,50124,550,0.0866059966238106,0.0009503091960556,0.0866059966238106,0.0009503091960556
