date,West Virginia-apple-driving,West Virginia-apple-walking,West Virginia-google-retail_and_recreation,West Virginia-google-grocery_and_pharmacy,West Virginia-google-parks,West Virginia-google-transit_stations,West Virginia-google-workplaces,West Virginia-google-residential,West Virginia-jh_beta_7,West Virginia-jh_gamma_7,West Virginia-cdc_beta_7,West Virginia-cdc_gamma_7,West Virginia-jh_beta_14,West Virginia-jh_gamma_14,West Virginia-cdc_beta_14,West Virginia-cdc_gamma_14,West Virginia-jh_beta_30,West Virginia-jh_gamma_30,West Virginia-cdc_beta_30,West Virginia-cdc_gamma_30,West Virginia-census_pop,West Virginia-jh_confirmed,West Virginia-jh_death,West Virginia-cdc_confirmed,West Virginia-cdc_death,West Virginia-jh_confirmed_ratio,West Virginia-jh_death_ratio,West Virginia-cdc_confirmed_ratio,West Virginia-cdc_death_ratio
04-02-2021,188.18,157.6,4.0,7.0,13.0,8.0,-32.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000019337724,4.781293557852246e-05,0.0250000019337724,4.781293557852246e-05,0.0250000076998568,7.97729075307909e-05,0.0250000076998568,7.97729075307909e-05,1792147,142653,2688,142653,2688,0.0795989391495228,0.0014998769632178,0.0795989391495228,0.0014998769632178
04-03-2021,161.48,130.84,6.0,22.0,66.0,11.0,-10.0,0.0,0.025000000286877,2.0194786282976937e-05,0.025000000286877,2.0194786282976937e-05,0.0250000012858357,3.3160905293097974e-05,0.0250000012858357,3.3160905293097974e-05,0.0250000077207681,8.038753425246207e-05,0.0250000077207681,8.038753425246207e-05,1792147,143106,2693,143106,2693,0.0798517085931009,0.0015026669129262,0.0798517085931009,0.0015026669129262
04-04-2021,113.04,84.47,-26.0,-2.0,88.0,10.0,-18.0,0.0,0.0250000003302101,2.2262067703320155e-05,0.0250000003302101,2.2262067703320155e-05,0.0250000015474283,3.842086921164166e-05,0.0250000015474283,3.842086921164166e-05,0.0250000079450916,8.30286243513517e-05,0.0250000079450916,8.30286243513517e-05,1792147,143456,2695,143456,2695,0.0800470050726865,0.0015037828928095,0.0800470050726865,0.0015037828928095
04-05-2021,154.29,126.12,8.0,9.0,52.0,13.0,-28.0,5.0,0.0250000003534696,2.3750149672215053e-05,0.0250000003534696,2.3750149672215053e-05,0.025000001586022,3.921013409202669e-05,0.025000001586022,3.921013409202669e-05,0.0250000078950865,8.299342054385268e-05,0.0250000078950865,8.299342054385268e-05,1792147,143733,2696,143733,2696,0.08020156828653,0.0015043408827512,0.08020156828653,0.0015043408827512
04-06-2021,146.74,131.27,10.0,12.0,54.0,6.0,-23.0,3.0,0.025000000352188,2.4292110061968427e-05,0.025000000352188,2.4292110061968427e-05,0.0250000015855895,3.947503475780086e-05,0.0250000015855895,3.947503475780086e-05,0.0250000079290808,8.381369486584342e-05,0.0250000079290808,8.381369486584342e-05,1792147,144010,2707,144010,2707,0.0803561315003735,0.0015104787721096,0.0803561315003735,0.0015104787721096
04-07-2021,150.51,135.96,11.0,9.0,49.0,6.0,-21.0,3.0,0.0250000003821656,2.5732127175067606e-05,0.0250000003821656,2.5732127175067606e-05,0.0250000017713269,4.359587762312807e-05,0.0250000017713269,4.359587762312807e-05,0.0250000080654888,8.554416924510536e-05,0.0250000080654888,8.554416924510536e-05,1792147,144374,2722,144374,2722,0.0805592398391426,0.0015188486212347,0.0805592398391426,0.0015188486212347
04-08-2021,154.55,135.26,6.0,8.0,32.0,9.0,-20.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000018518801,4.514132149346256e-05,0.0250000018518801,4.514132149346256e-05,0.025000008273286,8.78646958177385e-05,0.025000008273286,8.78646958177385e-05,1792147,144820,2735,144820,2735,0.0808081033531289,0.0015261024904765,0.0808081033531289,0.0015261024904765
04-09-2021,179.05,164.72,-1.0,2.0,37.0,4.0,-20.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000019946487,4.790806327933678e-05,0.0250000019946487,4.790806327933678e-05,0.0250000084615922,8.989861900049115e-05,0.0250000084615922,8.989861900049115e-05,1792147,145299,2737,145299,2737,0.0810753805351904,0.0015272184703598,0.0810753805351904,0.0015272184703598
04-10-2021,177.34,164.54,3.0,8.0,86.0,18.0,-8.0,0.0,0.025,1e-05,0.025,1e-05,0.0250000021254883,5.080461287538956e-05,0.0250000021254883,5.080461287538956e-05,0.0250000085418126,9.0867001891289e-05,0.0250000085418126,9.0867001891289e-05,1792147,145754,2742,145754,2742,0.0813292659586518,0.0015300084200682,0.0813292659586518,0.0015300084200682
04-11-2021,140.3,108.68,9.0,11.0,73.0,22.0,-10.0,1.0,0.025,1e-05,0.025,1e-05,0.0250000022695942,5.414881273691522e-05,0.0250000022695942,5.414881273691522e-05,0.025000008500832,9.059341616485006e-05,0.025000008500832,9.059341616485006e-05,1792147,146169,2745,146169,2745,0.0815608317844462,0.0015316823898932,0.0815608317844462,0.0015316823898932
04-12-2021,140.69,117.17,0.0,5.0,16.0,2.0,-20.0,5.0,0.0250000002735953,2.063450748091204e-05,0.0250000002735953,2.063450748091204e-05,0.025000002381859,5.6978162465608975e-05,0.025000002381859,5.6978162465608975e-05,0.0250000039623404,4.579996280180156e-05,0.0250000039623404,4.579996280180156e-05,1792147,146462,2745,146462,2745,0.0817243228373565,0.0015316823898932,0.0817243228373565,0.0015316823898932
04-13-2021,142.55,120.49,6.0,9.0,42.0,3.0,-20.0,3.0,0.0250000002908236,2.1843522731373446e-05,0.0250000002908236,2.1843522731373446e-05,0.025000002419387,5.840179113343216e-05,0.025000002419387,5.840179113343216e-05,0.0250000039022017,4.533091173944047e-05,0.0250000039022017,4.533091173944047e-05,1792147,146790,2747,146790,2747,0.0819073435382253,0.0015327983697765,0.0819073435382253,0.0015327983697765
