date,New York-apple-driving,New York-apple-walking,New York-google-retail_and_recreation,New York-google-grocery_and_pharmacy,New York-google-parks,New York-google-transit_stations,New York-google-workplaces,New York-google-residential,New York-jh_beta_7,New York-jh_gamma_7,New York-cdc_beta_7,New York-cdc_gamma_7,New York-jh_beta_14,New York-jh_gamma_14,New York-cdc_beta_14,New York-cdc_gamma_14,New York-jh_beta_30,New York-jh_gamma_30,New York-cdc_beta_30,New York-cdc_gamma_30,New York-census_pop,New York-jh_confirmed,New York-jh_death,New York-cdc_confirmed,New York-cdc_death,New York-jh_confirmed_ratio,New York-jh_death_ratio,New York-cdc_confirmed_ratio,New York-cdc_death_ratio
02-17-2021,100.94,63.63,-29.0,-6.0,-34.0,-49.0,-40.0,13.0,0.0250000005028763,2.9330696649195327e-05,0.025,1e-05,0.0250000043135846,9.3698466319634e-05,0.0250000012554121,3.3552254304643045e-05,0.0250000112347481,0.0001088919590392,0.0249999559977121,0.0001045199102551,19453561,1559042,46075,880638,17500,0.0801417282933443,0.002368460972261,0.0452687299769949,0.000899578231461
02-18-2021,70.79,43.63,-49.0,-31.0,-53.0,-59.0,-48.0,20.0,0.025000000475063,2.8222145339641264e-05,0.025,1e-05,0.0250000042498739,9.264765368962088e-05,0.0250000011806309,3.213831237611148e-05,0.0250000109961443,0.0001070174891629,0.0249999560048073,0.0001015585366049,19453561,1568624,46242,883994,17555,0.080634285928422,0.0023770455188127,0.045441243379554,0.0009024054773313
02-19-2021,92.61,61.81,-43.0,-25.0,-52.0,-54.0,-45.0,19.0,0.0250000004789599,2.832420420624884e-05,0.025,1e-05,0.0250000042440789,9.268130789518908e-05,0.0250000011473345,3.156262970831813e-05,0.0250000107412946,0.0001049280221652,0.0249999566974495,9.817277022128624e-05,19453561,1577197,46400,887832,17622,0.0810749764528972,0.002385167425131,0.045638533736831,0.0009058495768461
02-20-2021,103.03,77.32,-32.0,-14.0,-26.0,-44.0,-18.0,8.0,0.0250000004821416,2.834206985579869e-05,0.025,1e-05,0.0250000041974929,9.172713914166891e-05,0.025000001097772,3.06050524580601e-05,0.025000010444543,0.0001023699747157,0.0249999580533729,9.460078985080172e-05,19453561,1585435,46512,891374,17674,0.0814984464797987,0.0023909247258124,0.0458206083708787,0.0009085226093053
02-21-2021,84.28,59.22,-30.0,-17.0,-17.0,-44.0,-18.0,6.0,0.025000000470678,2.7861056226186267e-05,0.025,1e-05,0.0250000040458325,8.858800857767802e-05,0.0250000010404872,2.9481358584904965e-05,0.0250000101570626,9.99608922638014e-05,0.0249999587687006,9.11939370241406e-05,19453561,1591672,46623,894600,17711,0.0818190561614914,0.0023966306220233,0.0459864391922897,0.0009104245747089
02-22-2021,84.22,50.8,-41.0,-25.0,-48.0,-53.0,-39.0,15.0,0.025000000467921,2.7845653410150844e-05,0.025,1e-05,0.0250000039345082,8.63836141260817e-05,0.0250000009959136,2.864727126059218e-05,0.0250000098848291,9.773420320663846e-05,0.0249999596416022,8.784469159637555e-05,19453561,1597969,46729,897388,17755,0.0821427501114063,0.0024020794958825,0.0461297548556791,0.0009126863714052
02-23-2021,93.73,59.75,-32.0,-12.0,-37.0,-49.0,-37.0,13.0,0.0250000004713033,2.815727039312676e-05,0.025,1e-05,0.0250000039600799,8.720547862883236e-05,0.0250000009804325,2.8415529836249197e-05,0.0250000096872122,9.62115957679929e-05,0.0249999598004117,8.550361966351353e-05,19453561,1604892,46840,900510,17798,0.0824986232597723,0.0024077853920935,0.0462902396121717,0.000914896763631
02-24-2021,100.29,68.05,-27.0,-9.0,-18.0,-47.0,-36.0,12.0,0.0250000004588444,2.777769820580365e-05,0.025,1e-05,0.025000003841254,8.491313366941754e-05,0.0250000009233102,2.7319093611611732e-05,0.0250000094146216,9.392745234289792e-05,0.0249999609103796,8.278553550818364e-05,19453561,1611031,46960,903336,17846,0.0828141953033688,0.0024139539285378,0.0464355086454351,0.0009173641782088
02-25-2021,103.5,68.48,-29.0,-11.0,-24.0,-47.0,-36.0,12.0,0.0250000004530312,2.7611329897281947e-05,0.025,1e-05,0.0250000037085447,8.227775712587111e-05,0.0250000008804525,2.649955542910908e-05,0.0250000090928835,9.113971424222744e-05,0.025000013891855,0.0001290953355874,19453561,1619924,47065,907769,17893,0.0832713352583622,0.0024193513979265,0.0466633846625818,0.0009197801883161
02-26-2021,118.83,82.1,-30.0,-13.0,-28.0,-47.0,-36.0,13.0,0.0250000004148237,2.60240612806172e-05,0.025,1e-05,0.0250000036619169,8.153429681712651e-05,0.0250000008473943,2.5868802668220624e-05,0.0250000088648392,8.925319187013146e-05,0.0250000134894086,0.0001257763989353,19453561,1627998,47190,911554,17933,0.0836863749521231,0.0024257769567227,0.0468579505829292,0.0009218363671309
02-27-2021,110.08,82.99,-29.0,-14.0,-28.0,-44.0,-18.0,7.0,0.0250000003859396,2.47492372124539e-05,0.025,1e-05,0.0250000035942306,8.025988437985957e-05,0.0250000008016334,2.497878910404119e-05,0.0250000086916573,8.787345013929226e-05,0.0250000130038038,0.0001216780286892,19453561,1636040,47300,915323,17964,0.0840997697028323,0.0024314314484633,0.0470516940317507,0.0009234299057123
02-28-2021,86.22,57.58,-30.0,-18.0,-32.0,-45.0,-19.0,6.0,0.0250000003888831,2.486286206507309e-05,0.025,1e-05,0.0250000034930458,7.825271957848779e-05,0.0250000007758699,2.4524595098572733e-05,0.0250000083716809,8.508791529062338e-05,0.0250000125529805,0.0001179206296597,19453561,1643867,47417,918946,18003,0.084502112492412,0.0024374457714965,0.0472379324278984,0.0009254346800567
03-01-2021,93.09,60.43,-31.0,-14.0,-36.0,-50.0,-37.0,13.0,0.0250000003930463,2.5027293543590835e-05,0.025,1e-05,0.025000003453765,7.75520942700466e-05,0.0250000007461506,2.3984139256106703e-05,0.0250000081159809,8.290186188944325e-05,0.0250000122751251,0.0001157616567101,19453561,1650303,47519,921678,18031,0.0848329516637082,0.0024426890274741,0.047378369440947,0.0009268740052271
03-02-2021,96.98,60.52,-31.0,-14.0,-38.0,-50.0,-37.0,13.0,0.0250000003975185,2.525711952200142e-05,0.025,1e-05,0.0250000034549064,7.775022764759855e-05,0.025000000727606,2.369350673740241e-05,0.0250000078766166,8.08680672614704e-05,0.0250000120215663,0.0001138433338501,19453561,1656684,47616,924361,18064,0.0851609635891341,0.0024476752611,0.0475162876349476,0.0009285703527492
03-03-2021,102.95,69.72,-25.0,-7.0,-14.0,-46.0,-37.0,12.0,0.0250000003946364,2.5209175349995915e-05,0.025,1e-05,0.0250000033922531,7.658268714180478e-05,0.0250000007169007,2.3561653650057224e-05,0.0250000076349093,7.878491151245338e-05,0.0250000116830179,0.0001111204067481,19453561,1663248,47733,927750,18092,0.0854983825326376,0.0024536895841332,0.0476904973850288,0.0009300096779196
03-04-2021,102.69,66.37,-29.0,-11.0,-30.0,-48.0,-36.0,13.0,0.0250000003875195,2.4921926264875707e-05,0.025,1e-05,0.0250000033579191,7.594880616766504e-05,0.0250000006738393,2.276066511827437e-05,0.0250000074360023,7.707403450350442e-05,0.0250000059269988,6.139469917194266e-05,19453561,1670716,47847,931318,18118,0.0858822711173548,0.0024595496937552,0.0478739085353062,0.0009313461941492
03-05-2021,119.15,79.71,-31.0,-14.0,-39.0,-48.0,-36.0,13.0,0.0250000003931526,2.5158021520799667e-05,0.025,1e-05,0.0250000032047196,7.26734861111894e-05,0.025000000635685,2.206123809737097e-05,0.0250000072463342,7.54249430502195e-05,0.025000005618936,5.877780112829831e-05,19453561,1678867,47951,935418,18166,0.0863012689553341,0.0024648957586736,0.0480846668638199,0.0009338136087269
03-06-2021,115.55,86.66,-26.0,-11.0,-25.0,-42.0,-17.0,7.0,0.025000000382181,2.4689549953449456e-05,0.025,1e-05,0.0250000030709738,6.981852991069214e-05,0.0250000005808855,2.0961738080207508e-05,0.0250000070720219,7.390940422797103e-05,0.025000005280078,5.582542946201705e-05,19453561,1686993,48045,938986,18201,0.0867189816815543,0.0024697277788884,0.0482680780140972,0.0009356127651898
03-07-2021,91.61,66.11,-25.0,-14.0,-8.0,-42.0,-18.0,5.0,0.0250000003784651,2.4575917476727235e-05,0.025,1e-05,0.0250000030644808,6.978634646141118e-05,0.0250000005520324,2.0388972237243e-05,0.0250000069345057,7.275380748325666e-05,0.0250000050513186,5.389482198607792e-05,19453561,1694651,48133,942268,18228,0.0871126371156417,0.0024742513722808,0.0484367874858489,0.0009370006858898
03-08-2021,95.45,61.91,-29.0,-14.0,-26.0,-49.0,-37.0,12.0,0.0250000003650493,2.4082964026741177e-05,0.025,1e-05,0.0250000030463241,6.956098006563691e-05,0.0250000005466838,2.031366149862256e-05,0.0250000067402905,7.104755361304312e-05,0.0250000047641567,5.14149060459305e-05,19453561,1700091,48198,944830,18249,0.0873922774344501,0.0024775926628548,0.0485684857389348,0.0009380801797676
