date,New Mexico-apple-driving,New Mexico-apple-walking,New Mexico-google-retail_and_recreation,New Mexico-google-grocery_and_pharmacy,New Mexico-google-parks,New Mexico-google-transit_stations,New Mexico-google-workplaces,New Mexico-google-residential,New Mexico-jh_beta_7,New Mexico-jh_gamma_7,New Mexico-cdc_beta_7,New Mexico-cdc_gamma_7,New Mexico-jh_beta_14,New Mexico-jh_gamma_14,New Mexico-cdc_beta_14,New Mexico-cdc_gamma_14,New Mexico-jh_beta_30,New Mexico-jh_gamma_30,New Mexico-cdc_beta_30,New Mexico-cdc_gamma_30,New Mexico-census_pop,New Mexico-jh_confirmed,New Mexico-jh_death,New Mexico-cdc_confirmed,New Mexico-cdc_death,New Mexico-jh_confirmed_ratio,New Mexico-jh_death_ratio,New Mexico-cdc_confirmed_ratio,New Mexico-cdc_death_ratio
01-11-2021,99.89,123.87,-26.0,-11.0,-25.0,-26.0,-36.0,13.0,0.0250000009270628,4.504251378869116e-05,0.0250000008108725,4.060160377949685e-05,0.0250000479885319,0.0001880536827051,0.0250000430142583,0.0001792795906329,0.0250000206376751,0.0001875937498453,0.0250000220147405,0.0002010551893718,2096829,157087,2764,157087,3314,0.0749164571836806,0.0013181809293938,0.0749164571836806,0.0015804817655612
01-12-2021,100.83,121.77,-26.0,-11.0,-22.0,-21.0,-37.0,14.0,0.0250000009191762,4.542075407484517e-05,0.0250000007388393,3.755709644324581e-05,0.0250000431259548,0.0001805733876008,0.0250000400947901,0.0001751508130258,0.0250000203608503,0.0001857292291906,0.0250000211474671,0.0001935811636552,2096829,157974,2794,157974,3340,0.0753394768958269,0.0013324882477302,0.0753394768958269,0.0015928814414527
01-13-2021,103.81,126.32,-26.0,-14.0,-24.0,-22.0,-36.0,14.0,0.0250000009449724,4.681570448146944e-05,0.0250000008052725,4.04000712467748e-05,0.0250000409576798,0.0001824045558693,0.02500003711954,0.0001729182910473,0.0250000195406495,0.0001784727479668,0.0250000203398831,0.0001865040205764,2096829,159119,2807,159119,3378,0.0758855395456663,0.001338688085676,0.0758855395456663,0.0016110040446788
01-14-2021,105.9,128.2,-29.0,-16.0,-22.0,-21.0,-38.0,14.0,0.0250000007874772,4.047941932156452e-05,0.0250000008348558,4.13676090395592e-05,0.0250000355309214,0.0001751554997385,0.025000033585215,0.0001671658429319,0.0250000193986191,0.0001778318417443,0.0250000196401007,0.0001803168211504,2096829,160543,2836,160543,3403,0.0765646602560342,0.0013525184934012,0.0765646602560342,0.0016229268099592
01-15-2021,125.16,153.14,-30.0,-13.0,-23.0,-23.0,-35.0,13.0,0.0250000006958209,3.647628652759563e-05,0.0250000008822093,4.328464062913084e-05,0.0250000291181105,0.0001628421928471,0.025000030188251,0.0001634220801054,0.0250000190982175,0.0001755269402685,0.0250000194827408,0.0001792542181605,2096829,161805,2874,161805,3421,0.0771665214473855,0.0013706410966273,0.0771665214473855,0.001631511200961
01-16-2021,117.66,146.66,-32.0,-15.0,-20.0,-22.0,-19.0,8.0,0.0250000006912995,3.571608647407376e-05,0.0250000008765967,4.325507428637426e-05,0.025000027116612,0.0001622727711532,0.0250000273816278,0.0001600472352349,0.0250000182952043,0.0001684031134319,0.025000018689227,0.0001723035872478,2096829,162893,2910,162893,3449,0.0776854001923857,0.001387809878631,0.0776854001923857,0.001644864698075
01-17-2021,97.59,111.93,-30.0,-16.0,-6.0,-21.0,-18.0,7.0,0.0250000007563525,3.783128032992189e-05,0.0250000008633167,4.277665482385143e-05,0.0250000248329135,0.0001582570425969,0.0250000256482979,0.000160647150551,0.0250000172351827,0.0001586502322339,0.025000018388081,0.0001700000394531,2096829,163637,2932,163637,3466,0.0780402216871285,0.0013983019120777,0.0780402216871285,0.0016529721784656
01-18-2021,106.86,124.1,-26.0,-14.0,-10.0,-25.0,-47.0,14.0,0.0250000008348578,4.099418484534858e-05,0.0250000008346473,4.186542693556696e-05,0.0250000243715645,0.0001633041918417,0.0250000232168314,0.0001569943302799,0.0250000170736337,0.0001575234896599,0.025000017779796,0.0001647259805435,2096829,164263,2958,164263,3487,0.0783387677297481,0.0014107015879692,0.0783387677297481,0.0016629873013011
01-19-2021,94.68,110.59,-35.0,-20.0,-41.0,-27.0,-40.0,16.0,0.0250000009198583,4.465498306062768e-05,0.0250000008426091,4.2497065931161765e-05,0.025000023264699,0.000164633414227,0.0250000201346797,0.0001476246396684,0.0250000168575469,0.0001558729595563,0.0250000175811356,0.0001634042321894,2096829,164954,2975,164954,3511,0.0786683129620965,0.0014188090683598,0.0786683129620965,0.0016744331559702
01-20-2021,95.92,125.32,-30.0,-17.0,-33.0,-23.0,-37.0,15.0,0.0250000008860939,4.361435371187984e-05,0.0250000008225701,4.175589820348792e-05,0.0250000215052309,0.0001665951603873,0.0250000189031719,0.0001520011507693,0.0250000169862888,0.0001575415831469,0.0250000171799213,0.000160005247254,2096829,165835,3009,165835,3532,0.0790884712105755,0.0014350240291411,0.0790884712105755,0.0016844482788057
01-21-2021,101.94,122.44,-29.0,-16.0,-19.0,-22.0,-37.0,14.0,0.0250000009802734,4.773581544431958e-05,0.0250000007244987,3.760422384583381e-05,0.0250000178187093,0.0001526255742421,0.0250000162739142,0.0001490926170356,0.0250000173727657,0.0001615584928494,0.025000016752239,0.0001562917741053,2096829,166823,3044,166823,3561,0.0795596588944544,0.0014517159005336,0.0795596588944544,0.0016982786865309
01-22-2021,118.15,149.83,-30.0,-12.0,-19.0,-25.0,-33.0,13.0,0.025000000992656,4.808073374702647e-05,0.0250000007253762,3.743481929408034e-05,0.0250000150711734,0.0001440633316908,0.0250000137424116,0.0001486490428148,0.0250000173118875,0.0001612930834143,0.0250000163624247,0.0001529956358606,2096829,167731,3077,167731,3582,0.0799926937294362,0.0014674539507036,0.0799926937294362,0.0017082938093664
01-23-2021,112.74,137.33,-32.0,-14.0,-19.0,-22.0,-18.0,8.0,0.0250000009554763,4.61658962722276e-05,0.0250000007642975,3.9028749850435135e-05,0.0250000065188324,0.0001333369902161,0.0250000065312702,0.0001365567584766,0.0250000168066343,0.000156639702548,0.0250000161500061,0.0001514025580108,2096829,168579,3115,168579,3597,0.0803971139277451,0.0014855765539297,0.0803971139277451,0.0017154474685346
01-24-2021,87.91,96.87,-35.0,-20.0,-31.0,-25.0,-19.0,8.0,0.02500000094786,4.535957640203016e-05,0.0250000007196402,3.730227801350691e-05,0.0250000068140187,0.0001389380552058,0.0250000063926206,0.000134010134726,0.0250000165371377,0.0001543735757781,0.0250000160025291,0.0001506841414054,2096829,169205,3145,169205,3620,0.0806956599703647,0.0014998838722661,0.0806956599703647,0.0017264164125925
01-25-2021,95.88,115.13,-31.0,-18.0,-30.0,-29.0,-37.0,13.0,0.0250000010229487,4.8369868812080687e-05,0.0250000007491235,3.867082786038868e-05,0.0250000072294551,0.0001473480024841,0.0250000062710213,0.0001317015657179,0.0250000161798812,0.0001511243765185,0.0250000155922718,0.0001472666499423,2096829,169696,3157,169696,3639,0.0809298230804705,0.0015056067996007,0.0809298230804705,0.0017354777142055
