date,Kentucky-apple-driving,Kentucky-apple-walking,Kentucky-google-retail_and_recreation,Kentucky-google-grocery_and_pharmacy,Kentucky-google-parks,Kentucky-google-transit_stations,Kentucky-google-workplaces,Kentucky-google-residential,Kentucky-jh_beta_7,Kentucky-jh_gamma_7,Kentucky-cdc_beta_7,Kentucky-cdc_gamma_7,Kentucky-jh_beta_14,Kentucky-jh_gamma_14,Kentucky-cdc_beta_14,Kentucky-cdc_gamma_14,Kentucky-jh_beta_30,Kentucky-jh_gamma_30,Kentucky-cdc_beta_30,Kentucky-cdc_gamma_30,Kentucky-census_pop,Kentucky-jh_confirmed,Kentucky-jh_death,Kentucky-cdc_confirmed,Kentucky-cdc_death,Kentucky-jh_confirmed_ratio,Kentucky-jh_death_ratio,Kentucky-cdc_confirmed_ratio,Kentucky-cdc_death_ratio
03-04-2021,135.16,158.31,-9.0,1.0,32.0,-9.0,-26.0,6.0,0.0250000004099036,2.629182471966918e-05,0.025,1e-05,0.0250000034421126,7.792962539469864e-05,0.0250000014377759,3.927769855704059e-05,0.0250000064015284,6.902440205003368e-05,0.0250000037967057,4.560667936249276e-05,4467673,408440,4732,415586,6752,0.0914211939862205,0.0010591643569258,0.0930206843696931,0.0015113012971182
03-05-2021,157.66,189.52,-12.0,-2.0,20.0,-10.0,-26.0,7.0,0.0250000003493468,2.347803968798863e-05,0.025,1e-05,0.0250000032822728,7.451305851099466e-05,0.025000001347179,3.776978248043642e-05,0.025000006284158,6.803211602960482e-05,0.0250000036509775,4.44268783250067e-05,4467673,409345,4754,416330,6765,0.0916237602886334,0.0010640886206309,0.0931872140149916,0.0015142110893075
03-06-2021,156.06,211.63,-6.0,3.0,78.0,-1.0,-8.0,2.0,0.0250000003308704,2.253817011556341e-05,0.025,1e-05,0.0250000032441215,7.382816904847251e-05,0.0250000011817298,3.442104662462526e-05,0.0250000059742054,6.510474669520207e-05,0.0250000034143871,4.22959217213604e-05,4467673,410184,4806,416754,6772,0.0918115537999312,0.0010757277893883,0.0932821180063984,0.0015157779004864
03-07-2021,116.74,130.72,-7.0,1.0,66.0,-3.0,-11.0,2.0,0.0250000003645379,2.348544522120953e-05,0.025,1e-05,0.0250000033218487,7.515585089092556e-05,0.0250000010523436,3.182131379522695e-05,0.0250000056291115,6.171231025774939e-05,0.0250000031853357,4.022534440039083e-05,4467673,410709,4819,417024,6779,0.0919290646383475,0.0010786375815777,0.0933425521518696,0.0015173447116653
03-08-2021,125.46,148.87,-10.0,-3.0,33.0,-10.0,-25.0,7.0,0.0250000004197653,2.586944582749259e-05,0.025,1e-05,0.0250000034092637,7.706253639009026e-05,0.0250000009322414,2.937869203777125e-05,0.0250000053562874,5.906541727669424e-05,0.0250000029778068,3.834837776279597e-05,4467673,411040,4829,417749,6784,0.0920031524240919,0.0010808758832618,0.0935048290239684,0.0015184638625073
03-09-2021,127.88,152.66,-9.0,2.0,57.0,-6.0,-25.0,6.0,0.0250000004422538,2.718211630871854e-05,0.025,1e-05,0.0250000035602422,8.06858747038475e-05,0.0250000008750614,2.832266695304916e-05,0.0250000050849885,5.646070023225723e-05,0.0250000028015846,3.678149337610779e-05,4467673,411917,4850,418686,6791,0.0921994514817892,0.0010855763167984,0.0937145578917705,0.0015200306736862
03-10-2021,132.04,154.86,-7.0,2.0,62.0,-6.0,-25.0,6.0,0.0250000004484343,2.7756090373326532e-05,0.025,1e-05,0.0250000036656363,8.330174462933483e-05,0.0250000007871282,2.65234245712645e-05,0.0250000049930995,5.5640905539153566e-05,0.0250000025679828,3.4603304043000324e-05,4467673,412924,4884,419647,6801,0.0924248484613802,0.0010931865425244,0.0939296586836144,0.0015222689753703
03-11-2021,132.26,151.95,-12.0,-1.0,18.0,-8.0,-26.0,7.0,0.0250000004206105,2.6554706608036457e-05,0.025,1e-05,0.0250000033004199,7.525737439158925e-05,0.0250000006050039,2.252541847140372e-05,0.0250000048345349,5.409299475039719e-05,0.0250000023985744,3.306716005950681e-05,4467673,414131,4921,420294,6812,0.0926950114746535,0.0011014682587557,0.094074476802577,0.0015247311072229
03-12-2021,132.26,151.95,-12.0,-3.0,20.0,-8.0,-26.0,8.0,0.0250000004255216,2.654237435261962e-05,0.025,1e-05,0.0250000030838551,7.020950093671064e-05,0.025,1e-05,0.0250000047139233,5.29285017440828e-05,0.0250000022412515,3.1625499401750615e-05,4467673,415091,4950,420987,6825,0.0929098884363291,0.0011079593336396,0.0942295911092866,0.0015276408994122
03-13-2021,158.91,204.24,0.0,7.0,73.0,8.0,-8.0,1.0,0.025000000452848,2.751204574420152e-05,0.025,1e-05,0.0250000030586609,6.937030732905537e-05,0.025,1e-05,0.0250000044723432,5.0520368561192224e-05,0.0250000020735369,3.004192660018649e-05,4467673,415770,4966,421324,6827,0.0930618691206809,0.0011115406163342,0.0943050218760415,0.0015280885597491
03-14-2021,116.64,122.8,-5.0,0.0,24.0,2.0,-12.0,3.0,0.0250000003592465,2.3445837144706315e-05,0.025,1e-05,0.0250000030724031,6.967967323284525e-05,0.025,1e-05,0.0250000043458736,4.9301292717654085e-05,0.0250000019666568,2.907322741845777e-05,4467673,416215,4982,421592,6833,0.0931614735456243,0.0011151218990288,0.0943650083611759,0.0015294315407595
03-15-2021,125.31,140.49,-8.0,-4.0,-16.0,-9.0,-26.0,8.0,0.0250000003907656,2.503118911854969e-05,0.025,1e-05,0.0250000032439531,7.369624526329284e-05,0.025,1e-05,0.0250000041620632,4.7519308016827874e-05,0.0250000016674239,2.614608706316333e-05,4467673,416610,5005,422238,6834,0.093249886462147,0.0011202699929023,0.0945096026499701,0.0015296553709279
