date,New Jersey-apple-driving,New Jersey-apple-walking,New Jersey-google-retail_and_recreation,New Jersey-google-grocery_and_pharmacy,New Jersey-google-parks,New Jersey-google-transit_stations,New Jersey-google-workplaces,New Jersey-google-residential,New Jersey-jh_beta_7,New Jersey-jh_gamma_7,New Jersey-cdc_beta_7,New Jersey-cdc_gamma_7,New Jersey-jh_beta_14,New Jersey-jh_gamma_14,New Jersey-cdc_beta_14,New Jersey-cdc_gamma_14,New Jersey-jh_beta_30,New Jersey-jh_gamma_30,New Jersey-cdc_beta_30,New Jersey-cdc_gamma_30,New Jersey-census_pop,New Jersey-jh_confirmed,New Jersey-jh_death,New Jersey-cdc_confirmed,New Jersey-cdc_death,New Jersey-jh_confirmed_ratio,New Jersey-jh_death_ratio,New Jersey-cdc_confirmed_ratio,New Jersey-cdc_death_ratio
04-28-2021,134.86,166.93,-7.0,1.0,121.0,-35.0,-36.0,10.0,0.0250000002923573,2.1939767853721685e-05,0.0250000002923573,2.1939767853721685e-05,0.0250000011953036,3.4622100410168646e-05,0.0250000011953036,3.4622100410168646e-05,0.0250000021956228,3.064340267739606e-05,0.0250000021956228,3.064340267739606e-05,8882190,993123,25509,993123,25509,0.1118106007640007,0.0028719268558767,0.1118106007640007,0.0028719268558767
04-29-2021,127.95,148.6,-13.0,1.0,36.0,-37.0,-36.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000010922783,3.2204622101230595e-05,0.0250000010922783,3.2204622101230595e-05,0.0250000022663823,3.1386378934073594e-05,0.0250000022663823,3.1386378934073594e-05,8882190,995365,25529,995482,25529,0.1120630159904257,0.0028741785528118,0.1120761884174961,0.0028741785528118
04-30-2021,155.31,187.02,-13.0,0.0,39.0,-34.0,-34.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000010334378,3.0890171773373124e-05,0.0250000010335089,3.0891458815791376e-05,0.0250000020635281,2.932063999408225e-05,0.0250000020635281,2.932063999408225e-05,8882190,997223,25554,997223,25554,0.1122721986356968,0.0028769931739807,0.1122721986356968,0.0028769931739807
05-01-2021,163.74,219.21,-7.0,4.0,143.0,-16.0,-12.0,1.0,0.025000000263326,2.037914476175992e-05,0.025000000263326,2.037914476175992e-05,0.0250000009914595,3.0014738612393992e-05,0.0250000009914595,3.0014738612393992e-05,0.0250000018904913,2.7564596191798704e-05,0.0250000018904913,2.7564596191798704e-05,8882190,998812,25588,998812,25588,0.1124510959571907,0.0028808210587704,0.1124510959571907,0.0028808210587704
05-02-2021,131.37,164.95,-6.0,0.0,159.0,-19.0,-13.0,1.0,0.025,1e-05,0.025,1e-05,0.0250000009554637,2.926616596837601e-05,0.0250000009554637,2.926616596837601e-05,0.0250000018860258,2.757492594973153e-05,0.0250000018860258,2.757492594973153e-05,8882190,1000010,25600,1000010,25600,0.1125859726036034,0.0028821720769314,0.1125859726036034,0.0028821720769314
05-03-2021,121.95,145.72,-11.0,1.0,31.0,-37.0,-35.0,11.0,0.0250000002733886,2.119534441480877e-05,0.0250000002733886,2.119534441480877e-05,0.0250000010299612,3.114071946164378e-05,0.0250000010299612,3.114071946164378e-05,0.0250000018995217,2.7793873529797626e-05,0.0250000018995217,2.7793873529797626e-05,8882190,1000993,25616,1000993,25616,0.1126966435079636,0.0028839734344795,0.1126966435079636,0.0028839734344795
05-04-2021,129.11,157.84,-8.0,7.0,72.0,-38.0,-35.0,9.0,0.0250000002757816,2.1589812158114577e-05,0.0250000002757816,2.1589812158114577e-05,0.0250000010576024,3.199706354078984e-05,0.0250000010576024,3.199706354078984e-05,0.0250000019332915,2.824327946407486e-05,0.0250000019332915,2.824327946407486e-05,8882190,1001997,25658,1001997,25658,0.1128096786941058,0.0028887019980432,0.1128096786941058,0.0028887019980432
05-05-2021,125.35,144.35,-12.0,-1.0,8.0,-40.0,-36.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000009862921,3.048028993093184e-05,0.0250000009862921,3.048028993093184e-05,0.0250000020186909,2.9209658884464205e-05,0.0250000020186909,2.9209658884464205e-05,8882190,1004525,25707,1004525,25707,0.1130942931867028,0.0028942186555342,0.1130942931867028,0.0028942186555342
05-06-2021,138.42,165.51,-7.0,6.0,88.0,-33.0,-35.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000008497681,2.7343287386282048e-05,0.0250000008497681,2.7343287386282048e-05,0.025000002087025,2.996648269965318e-05,0.025000002087025,2.996648269965318e-05,8882190,1005938,25740,1005938,25740,0.1132533755751678,0.0028979339554771,0.1132533755751678,0.0028979339554771
05-07-2021,159.37,194.65,-11.0,5.0,64.0,-32.0,-33.0,9.0,0.025,1e-05,0.025,1e-05,0.025000000856167,2.7447977049708975e-05,0.025000000856167,2.7447977049708975e-05,0.0250000020046838,2.9153964746579875e-05,0.0250000020046838,2.9153964746579875e-05,8882190,1007776,25769,1006905,25769,0.1134603065235037,0.002901198916033,0.11336224512198,0.002901198916033
05-08-2021,157.63,192.57,-7.0,12.0,57.0,-20.0,-13.0,2.0,0.025,1e-05,0.025,1e-05,0.0250000008725513,2.78041967024919e-05,0.0250000008725513,2.78041967024919e-05,0.025000001927132,2.8395703486053795e-05,0.025000001927132,2.8395703486053795e-05,8882190,1007555,25791,1007555,25791,0.1134354252723709,0.0029036757826617,0.1134354252723709,0.0029036757826617
05-09-2021,118.94,136.58,-5.0,2.0,57.0,-20.0,-15.0,1.0,0.025,1e-05,0.025,1e-05,0.0250000008331274,2.6950502529004105e-05,0.0250000008331274,2.6950502529004105e-05,0.0250000019018115,2.8193152168483e-05,0.0250000019018115,2.8193152168483e-05,8882190,1007894,25801,1007894,25801,0.1134735915354208,0.0029048016311292,0.1134735915354208,0.0029048016311292
05-10-2021,127.83,150.26,-11.0,0.0,49.0,-36.0,-35.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000008827806,2.8226438397597494e-05,0.0250000008827806,2.8226438397597494e-05,0.0250000018354912,2.758287718942281e-05,0.0250000018354912,2.758287718942281e-05,8882190,1008046,25810,1008046,25810,0.1134907044321276,0.00290581489475,0.1134907044321276,0.00290581489475
05-11-2021,133.87,158.06,-9.0,6.0,70.0,-36.0,-35.0,9.0,0.0250000002432681,2.0288238840497235e-05,0.0250000002432681,2.0288238840497235e-05,0.0250000009100442,2.899910126179209e-05,0.0250000009100442,2.899910126179209e-05,0.0250000018006019,2.7316949233915318e-05,0.0250000018006019,2.7316949233915318e-05,8882190,1008607,25841,1008607,25841,0.1135538645311572,0.0029093050249994,0.1135538645311572,0.0029093050249994
05-12-2021,136.96,163.19,-6.0,5.0,86.0,-33.0,-36.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000007571123,2.5658392923121547e-05,0.0250000007571123,2.5658392923121547e-05,0.0250000018485219,2.7906501765323627e-05,0.0250000018485219,2.7906501765323627e-05,8882190,1009093,25882,1009093,25882,0.1136085807666802,0.0029139210037164,0.1136085807666802,0.0029139210037164
05-13-2021,145.49,175.96,-5.0,6.0,119.0,-31.0,-36.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000006660562,2.3603360583200896e-05,0.0250000006660562,2.3603360583200896e-05,0.0250000018489146,2.796880053034179e-05,0.0250000018518376,2.7993636112239317e-05,8882190,1009521,25906,1009521,25906,0.1136567670810914,0.0029166230400385,0.1136567670810914,0.0029166230400385
05-14-2021,167.4,210.79,-9.0,3.0,94.0,-29.0,-34.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000006887832,2.415204977066702e-05,0.0250000006886346,2.414926058973685e-05,0.0250000017585501,2.7087238256865575e-05,0.0250000017585501,2.7087238256865575e-05,8882190,1009844,25932,1009844,25932,0.1136931319865934,0.0029195502460541,0.1136931319865934,0.0029195502460541
05-15-2021,171.67,239.35,-5.0,4.0,185.0,-10.0,-14.0,0.0,0.025,1e-05,0.025,1e-05,0.0250000006914839,2.424351389186484e-05,0.0250000006914839,2.424351389186484e-05,0.0250000016256856,2.575154110280864e-05,0.0250000016256856,2.575154110280864e-05,8882190,1010490,25952,1010490,25952,0.1137658617975972,0.0029218019429892,0.1137658617975972,0.0029218019429892
05-16-2021,134.24,166.33,-5.0,1.0,139.0,-15.0,-13.0,1.0,0.025,1e-05,0.025,1e-05,0.0250000006535343,2.3439392019550174e-05,0.0250000006535343,2.3439392019550174e-05,0.0250000015403208,2.491976128534069e-05,0.0250000015404397,2.492077311309561e-05,8882190,1010759,25961,1010759,25961,0.1137961471213743,0.00292281520661,0.1137961471213743,0.00292281520661
05-17-2021,134.85,167.36,-6.0,3.0,92.0,-34.0,-36.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000006905281,2.442025112276028e-05,0.0250000006905281,2.442025112276028e-05,0.0250000014693748,2.425718373407997e-05,0.0250000014693748,2.425718373407997e-05,8882190,1011106,25975,1011106,25975,0.1138352140631983,0.0029243913944646,0.1138352140631983,0.0029243913944646
05-18-2021,141.89,174.24,-5.0,8.0,101.0,-34.0,-35.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000007047298,2.489939285181888e-05,0.0250000007047298,2.489939285181888e-05,0.0250000013994072,2.3609396168601356e-05,0.0250000013994072,2.3609396168601356e-05,8882190,1011752,25998,1011752,25998,0.1139079438742022,0.00292698084594,0.1139079438742022,0.00292698084594
05-19-2021,148.27,182.57,-4.0,6.0,112.0,-34.0,-35.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000006171603,2.3007056738306306e-05,0.0250000006171603,2.3007056738306306e-05,0.0250000014418964,2.4136826210082487e-05,0.0250000014418964,2.4136826210082487e-05,8882190,1012196,26030,1012196,26030,0.1139579315461614,0.0029305835610361,0.1139579315461614,0.0029305835610361
