date,Missouri-apple-driving,Missouri-apple-walking,Missouri-google-retail_and_recreation,Missouri-google-grocery_and_pharmacy,Missouri-google-parks,Missouri-google-transit_stations,Missouri-google-workplaces,Missouri-google-residential,Missouri-jh_beta_7,Missouri-jh_gamma_7,Missouri-cdc_beta_7,Missouri-cdc_gamma_7,Missouri-jh_beta_14,Missouri-jh_gamma_14,Missouri-cdc_beta_14,Missouri-cdc_gamma_14,Missouri-jh_beta_30,Missouri-jh_gamma_30,Missouri-cdc_beta_30,Missouri-cdc_gamma_30,Missouri-census_pop,Missouri-jh_confirmed,Missouri-jh_death,Missouri-cdc_confirmed,Missouri-cdc_death,Missouri-jh_confirmed_ratio,Missouri-jh_death_ratio,Missouri-cdc_confirmed_ratio,Missouri-cdc_death_ratio
02-05-2021,129.41,170.69,-8.0,-5.0,6.0,-15.0,-12.0,7.0,0.0250000006449248,3.2707774076163896e-05,0.0250000002753985,2.067191431551216e-05,0.0250000038030373,8.113661367590346e-05,0.0250000027758121,6.502917721654111e-05,0.0250000074178591,7.59736481157849e-05,0.0250000061114871,6.542754940949478e-05,6137428,542198,7455,534524,8226,0.0883428693583044,0.0012146782007055,0.0870925084579403,0.0013403008556678
02-06-2021,110.8,154.66,-24.0,-2.0,-25.0,-24.0,-9.0,7.0,0.0250000007468433,3.770910408316336e-05,0.025,1e-05,0.0250000039169349,8.306239368893367e-05,0.0250000025756414,6.097893408740859e-05,0.0250000074638305,7.64582463532609e-05,0.0250000059298846,6.395496764087673e-05,6137428,543392,7472,535264,8235,0.0885374133920593,0.0012174480906334,0.0872130801371519,0.0013417672679826
02-07-2021,76.91,98.54,-36.0,-17.0,-47.0,-30.0,-17.0,6.0,0.0250000008075652,4.151609721130016e-05,0.025,1e-05,0.0249999989010589,7.47322598454963e-05,0.0250000024656233,5.904277859724282e-05,0.0250000071520662,7.356880670704318e-05,0.0250000056970658,6.198086771342731e-05,6137428,544197,7474,535841,8258,0.0886685758268773,0.0012177739600366,0.0873070934599966,0.0013455147661202
02-08-2021,86.52,100.59,-35.0,-22.0,-43.0,-29.0,-36.0,15.0,0.0250000008611682,4.532060626293178e-05,0.025,1e-05,0.0249999974109818,8.05526849394874e-05,0.0250000023838433,5.762914708902936e-05,0.0250000070926363,7.326388749793542e-05,0.0250000055667031,6.099854508249453e-05,6137428,545150,7475,537234,8272,0.0888238525975376,0.0012179368947383,0.0875340614993772,0.0013477958519431
02-09-2021,89.58,103.71,-31.0,-17.0,-36.0,-27.0,-40.0,16.0,0.0250000008825627,4.748881435673822e-05,0.025,1e-05,0.024999995796866,8.536073441710613e-05,0.0250000022787915,5.574041976481861e-05,0.0250000069813144,7.249835429200587e-05,0.0250000053856842,5.946807522675808e-05,6137428,546253,7485,538282,8294,0.0890035695734434,0.0012195662417546,0.087704817066693,0.0013513804153792
02-10-2021,88.24,106.17,-28.0,-18.0,-49.0,-24.0,-36.0,13.0,0.0250000002528722,2.0728704358004185e-05,0.025,1e-05,0.0250000037721893,8.360192810532816e-05,0.0250000021533468,5.328493396708679e-05,0.0250000071395894,7.44143957419951e-05,0.025000005173268,5.760482160185151e-05,6137428,547692,7496,539232,8311,0.0892380326090994,0.0012213585234726,0.0878596050332484,0.001354150305307
02-11-2021,97.63,118.24,-24.0,-10.0,-39.0,-23.0,-33.0,14.0,0.025,1e-05,0.025,1e-05,0.0250000036549037,8.261242430390274e-05,0.0250000019393675,4.8850539074398965e-05,0.0250000073030075,7.641053516053889e-05,0.0250000048886364,5.508010583590341e-05,6137428,549076,7721,540239,8330,0.0894635342361653,0.001258018831341,0.0880236802777971,0.0013572460646381
02-12-2021,121.58,158.56,-14.0,-6.0,-27.0,-19.0,-21.0,11.0,0.025,1e-05,0.025,1e-05,0.0249999969910888,7.215992776305647e-05,0.0250000018123544,4.6253390181031886e-05,0.0250000061392843,6.472944980543369e-05,0.025000004672463,5.318898742993556e-05,6137428,550158,7752,541190,8348,0.0896398295833368,0.0012630698070918,0.0881786311790541,0.0013601788892676
02-13-2021,114.94,165.84,-22.0,2.0,-40.0,-24.0,-11.0,7.0,0.025000000382418,2.280751635603212e-05,0.025,1e-05,0.0249999956803008,7.83807933866246e-05,0.0250000016817335,4.35373268449225e-05,0.0250000062569005,6.584707452090577e-05,0.0250000044354773,5.1069270803715344e-05,6137428,550972,7780,541697,8370,0.0897724584304695,0.0012676319787376,0.0882612390727842,0.0013637634527036
02-14-2021,77.96,104.76,-30.0,-12.0,-53.0,-34.0,-22.0,9.0,0.0250000004889828,2.708362550608873e-05,0.025,1e-05,0.0249999942737074,8.399485262620377e-05,0.0250000016151108,4.213046150480103e-05,0.0250000062124429,6.543776507620895e-05,0.0250000043255747,5.019225126996745e-05,6137428,551526,7782,542162,8388,0.0898627242551766,0.0012679578481409,0.0883370037090455,0.0013666962773331
