date,Connecticut-apple-driving,Connecticut-apple-walking,Connecticut-google-retail_and_recreation,Connecticut-google-grocery_and_pharmacy,Connecticut-google-parks,Connecticut-google-transit_stations,Connecticut-google-workplaces,Connecticut-google-residential,Connecticut-jh_beta_7,Connecticut-jh_gamma_7,Connecticut-cdc_beta_7,Connecticut-cdc_gamma_7,Connecticut-jh_beta_14,Connecticut-jh_gamma_14,Connecticut-cdc_beta_14,Connecticut-cdc_gamma_14,Connecticut-jh_beta_30,Connecticut-jh_gamma_30,Connecticut-cdc_beta_30,Connecticut-cdc_gamma_30,Connecticut-census_pop,Connecticut-jh_confirmed,Connecticut-jh_death,Connecticut-cdc_confirmed,Connecticut-cdc_death,Connecticut-jh_confirmed_ratio,Connecticut-jh_death_ratio,Connecticut-cdc_confirmed_ratio,Connecticut-cdc_death_ratio
04-16-2021,147.26,156.15,-17.0,-14.0,-19.0,-26.0,-34.0,12.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000006209181,1.5770002043258324e-05,0.0250000006201271,1.5758823868471173e-05,3565287,329062,7995,329062,7995,0.0922960760241742,0.0022424562174097,0.0922960760241742,0.0022424562174097
04-17-2021,154.17,175.25,-8.0,-9.0,83.0,-13.0,-12.0,2.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000006041377,1.556771084825439e-05,0.0250000006034588,1.5557412486884446e-05,3565287,329062,7995,329841,8001,0.0922960760241742,0.0022424562174097,0.0925145717581782,0.0022441391113814
04-18-2021,124.18,139.01,-3.0,-9.0,76.0,-10.0,-11.0,2.0,0.025,1e-05,0.025,1e-05,0.0250000006078273,2.191457327474708e-05,0.0250000006290952,2.2239647134566903e-05,0.0250000004886892,1.4410059283762011e-05,0.0250000004957607,1.445381371567406e-05,3565287,329062,7995,330621,8007,0.0922960760241742,0.0022424562174097,0.0927333479745108,0.0022458220053532
04-19-2021,127.66,137.57,-6.0,-4.0,44.0,-20.0,-28.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000006917633,2.399175514082746e-05,0.025000000752397,2.494025724829385e-05,0.0250000004272277,1.3819287946297204e-05,0.025000000448993,1.396723889457414e-05,3565287,331401,8014,331401,8014,0.0929521241908435,0.0022477853816537,0.0929521241908435,0.0022477853816537
04-20-2021,135.79,150.21,-3.0,-4.0,75.0,-20.0,-29.0,7.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000005391719,2.0248798402744057e-05,0.025000000511288,1.4628561089498993e-05,0.0250000005314011,1.477023941880225e-05,3565287,332139,8020,332139,8020,0.0931591201493736,0.0022494682756254,0.0931591201493736,0.0022494682756254
04-21-2021,127.63,135.88,-11.0,-8.0,4.0,-27.0,-31.0,10.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000005350039,2.0182935951546932e-05,0.0250000005945106,1.543581805108619e-05,0.0250000006130519,1.5571361267749e-05,3565287,332995,8027,332995,8027,0.0933992130226823,0.0022514316519259,0.0933992130226823,0.0022514316519259
04-22-2021,137.97,143.06,-8.0,-6.0,12.0,-22.0,-28.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000005309531,2.020386677198421e-05,0.0250000005669514,2.0929606295165185e-05,0.0250000005513818,1.500134574504374e-05,0.0250000005682383,1.5129624416029442e-05,3565287,333732,8039,333732,8039,0.0936059284988838,0.0022547974398694,0.0936059284988838,0.0022547974398694
04-23-2021,165.21,181.84,-9.0,-9.0,45.0,-20.0,-27.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000005880141,2.1325179241168203e-05,0.0250000006172834,2.197736471674622e-05,0.0250000005873644,1.5326564299783423e-05,0.0250000006027666,1.5448662181221706e-05,3565287,334766,8047,334766,8047,0.0938959472266889,0.0022570412984985,0.0938959472266889,0.0022570412984985
04-24-2021,170.9,203.33,-3.0,-7.0,191.0,-8.0,-11.0,0.0,0.025,1e-05,0.025,1e-05,0.0250000006631462,2.2889662959632325e-05,0.0250000006864913,2.3470912679661885e-05,0.0250000005850538,1.527269539057956e-05,0.0250000005990547,1.5388560889688877e-05,3565287,334766,8047,335488,8047,0.0938959472266889,0.0022570412984985,0.0940984554679609,0.0022570412984985
04-25-2021,114.09,123.97,-10.0,-11.0,-4.0,-18.0,-13.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000007822712,2.5639872216086285e-05,0.0250000008003141,2.614818172488096e-05,0.0250000005380095,1.480077196646468e-05,0.0250000005506926,1.4910571009299266e-05,3565287,334766,8047,336210,8047,0.0938959472266889,0.0022570412984985,0.0943009637092329,0.0022570412984985
