date,Louisiana-apple-driving,Louisiana-apple-walking,Louisiana-google-retail_and_recreation,Louisiana-google-grocery_and_pharmacy,Louisiana-google-parks,Louisiana-google-transit_stations,Louisiana-google-workplaces,Louisiana-google-residential,Louisiana-jh_beta_7,Louisiana-jh_gamma_7,Louisiana-cdc_beta_7,Louisiana-cdc_gamma_7,Louisiana-jh_beta_14,Louisiana-jh_gamma_14,Louisiana-cdc_beta_14,Louisiana-cdc_gamma_14,Louisiana-jh_beta_30,Louisiana-jh_gamma_30,Louisiana-cdc_beta_30,Louisiana-cdc_gamma_30,Louisiana-census_pop,Louisiana-jh_confirmed,Louisiana-jh_death,Louisiana-cdc_confirmed,Louisiana-cdc_death,Louisiana-jh_confirmed_ratio,Louisiana-jh_death_ratio,Louisiana-cdc_confirmed_ratio,Louisiana-cdc_death_ratio
03-17-2021,111.36,51.2,0.0,1.0,-21.0,-7.0,-23.0,6.0,0.0250000003513657,2.405919378539654e-05,0.0250000003513657,2.405919378539654e-05,0.0250000023118682,5.566821223114808e-05,0.0250000023118682,5.566821223114808e-05,0.025000003154485,3.92753702326967e-05,0.025000003154485,3.92753702326967e-05,4648794,439002,9955,439002,9955,0.0944335240494631,0.0021414156015517,0.0944335240494631,0.0021414156015517
03-18-2021,139.0,63.02,5.0,6.0,-2.0,-3.0,-21.0,3.0,0.0250000002840186,2.092270411791068e-05,0.0250000002840186,2.092270411791068e-05,0.025000002326904,5.581367084295609e-05,0.025000002326904,5.581367084295609e-05,0.0250000030457997,3.816221726222711e-05,0.0250000030457997,3.816221726222711e-05,4648794,439543,9974,439543,9974,0.0945498983177142,0.0021455026830614,0.0945498983177142,0.0021455026830614
03-19-2021,157.08,77.89,-3.0,0.0,-11.0,-10.0,-21.0,5.0,0.0250000003055038,2.1752642022189387e-05,0.0250000003055038,2.1752642022189387e-05,0.025000002378237,5.684519311471552e-05,0.025000002378237,5.684519311471552e-05,0.0250000032227105,3.994433311782628e-05,0.0250000032227105,3.994433311782628e-05,4648794,439737,9988,439737,9988,0.0945916295710242,0.0021485142168054,0.0945916295710242,0.0021485142168054
03-20-2021,155.57,91.61,0.0,4.0,-5.0,0.0,-14.0,1.0,0.025,1e-05,0.025,1e-05,0.0250000022382469,5.3807659493621946e-05,0.0250000022382469,5.3807659493621946e-05,0.025000002824376,3.59059102543309e-05,0.025000002824376,3.59059102543309e-05,4648794,439737,9988,439737,9988,0.0945916295710242,0.0021485142168054,0.0945916295710242,0.0021485142168054
03-21-2021,111.34,55.95,4.0,7.0,21.0,2.0,-15.0,1.0,0.0250000003017968,2.2032064248661423e-05,0.0250000003017968,2.2032064248661423e-05,0.0250000024646442,5.927980619151353e-05,0.0250000024646442,5.927980619151353e-05,0.0250000028413334,3.614803489234456e-05,0.0250000028413334,3.614803489234456e-05,4648794,439737,9988,439737,9988,0.0945916295710242,0.0021485142168054,0.0945916295710242,0.0021485142168054
03-22-2021,114.24,49.39,-1.0,1.0,3.0,-10.0,-20.0,4.0,0.0250000002476153,2.0173534499310265e-05,0.0250000002476153,2.0173534499310265e-05,0.0250000021898495,5.392820494607904e-05,0.0250000021898495,5.392820494607904e-05,0.0250000026845743,3.46618983295797e-05,0.0250000026845743,3.46618983295797e-05,4648794,441066,10030,441066,10030,0.094877510167153,0.0021575488180375,0.094877510167153,0.0021575488180375
03-23-2021,100.58,40.14,-14.0,-8.0,-38.0,-19.0,-24.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000023054013,5.657357380286669e-05,0.0250000023054013,5.657357380286669e-05,0.0250000028428611,3.629713135402783e-05,0.0250000028428611,3.629713135402783e-05,4648794,441771,10037,441771,10037,0.0950291624021197,0.0021590545849095,0.0950291624021197,0.0021590545849095
03-24-2021,113.37,47.24,-1.0,1.0,-20.0,-11.0,-23.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000023752164,5.837998035185053e-05,0.0250000023752164,5.837998035185053e-05,0.0250000027513379,3.545714227265734e-05,0.0250000027513379,3.545714227265734e-05,4648794,442221,10056,442221,10056,0.0951259617010347,0.0021631416664192,0.0951259617010347,0.0021631416664192
03-25-2021,120.06,52.71,-5.0,0.0,-22.0,-12.0,-21.0,6.0,0.025,1e-05,0.025,1e-05,0.025000001996376,5.010983730078668e-05,0.025000001996376,5.010983730078668e-05,0.0250000028017854,3.602593502813794e-05,0.0250000028017854,3.602593502813794e-05,4648794,442620,10073,442620,10073,0.0952117904127393,0.0021667985288227,0.0952117904127393,0.0021667985288227
03-26-2021,149.51,76.62,-4.0,1.0,-2.0,-12.0,-21.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000020029199,5.031862587870618e-05,0.0250000020029199,5.031862587870618e-05,0.025000002715798,3.52199695748189e-05,0.025000002715798,3.52199695748189e-05,4648794,443069,10087,443069,10087,0.0953083746021011,0.0021698100625667,0.0953083746021011,0.0021698100625667
