date,Nebraska-apple-driving,Nebraska-apple-walking,Nebraska-google-retail_and_recreation,Nebraska-google-grocery_and_pharmacy,Nebraska-google-parks,Nebraska-google-transit_stations,Nebraska-google-workplaces,Nebraska-google-residential,Nebraska-jh_beta_7,Nebraska-jh_gamma_7,Nebraska-cdc_beta_7,Nebraska-cdc_gamma_7,Nebraska-jh_beta_14,Nebraska-jh_gamma_14,Nebraska-cdc_beta_14,Nebraska-cdc_gamma_14,Nebraska-jh_beta_30,Nebraska-jh_gamma_30,Nebraska-cdc_beta_30,Nebraska-cdc_gamma_30,Nebraska-census_pop,Nebraska-jh_confirmed,Nebraska-jh_death,Nebraska-cdc_confirmed,Nebraska-cdc_death,Nebraska-jh_confirmed_ratio,Nebraska-jh_death_ratio,Nebraska-cdc_confirmed_ratio,Nebraska-cdc_death_ratio
02-01-2021,111.98,115.22,-12.0,-6.0,-11.0,-22.0,-20.0,7.0,0.025000000248904,2.0759871005016805e-05,0.0250000002545685,2.095932199983311e-05,0.0250000017791103,4.597880478382813e-05,0.0250000017936441,4.622953584648992e-05,0.0250000035715212,4.315932986511072e-05,0.0250000035602937,4.303502507341005e-05,1934408,190950,1920,192134,1929,0.0987123709165801,0.0009925517264196,0.0993244444812056,0.0009972043126372
02-02-2021,113.85,121.11,-15.0,-8.0,-9.0,-23.0,-21.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000017047783,4.522713252418657e-05,0.0250000017804894,4.644349268267215e-05,0.0250000036430659,4.417941004277245e-05,0.0250000036495999,4.4174268546377567e-05,1934408,191437,1929,192871,1931,0.0989641275263543,0.0009972043126372,0.0997054395970239,0.0009982382206856
02-03-2021,114.75,119.85,-8.0,3.0,-6.0,-22.0,-19.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000018380008,4.865432031605893e-05,0.0250000019220763,5.014552624438229e-05,0.0250000036718495,4.4732086345997495e-05,0.025000003686385,4.4792268836385744e-05,1934408,192042,1931,193391,1952,0.0992768847109813,0.0009982382206856,0.0999742556895959,0.0010090942551933
02-04-2021,104.39,111.0,-26.0,-15.0,-31.0,-29.0,-26.0,13.0,0.025,1e-05,0.025,1e-05,0.0250000012694459,3.656087895905689e-05,0.0250000014828784,4.004983537395055e-05,0.02500000354692,4.372524908090573e-05,0.0250000035922085,4.398652545582269e-05,1934408,192549,1952,193916,1958,0.099538980401239,0.0010090942551933,0.1002456565522888,0.0010121959793383
02-05-2021,140.54,142.69,-11.0,6.0,-19.0,-24.0,-19.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000013002515,3.677983199550902e-05,0.02500000152396,4.06454939933558e-05,0.0250000034313993,4.27224535458058e-05,0.0250000034832711,4.30432246780946e-05,1934408,193069,1958,194325,1958,0.099807796493811,0.0010121959793383,0.1004570907481772,0.0010121959793383
02-06-2021,102.59,112.96,-40.0,-22.0,-44.0,-32.0,-14.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000011888607,3.388431892094264e-05,0.0250000013765087,3.740469497472872e-05,0.0250000032955933,4.149492739958e-05,0.0250000033446207,4.1816320183651e-05,1934408,193421,1968,194623,1968,0.0999897643103212,0.0010173655195801,0.1006111430473819,0.0010173655195801
02-07-2021,77.69,80.79,-41.0,-20.0,-46.0,-32.0,-17.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000014195776,3.844155896042044e-05,0.0250000015754063,4.164286295845232e-05,0.0250000030741293,3.933835455137831e-05,0.0250000028268029,3.668966528015557e-05,1934408,193722,1968,194783,1968,0.1001453674715985,0.0010173655195801,0.1006938556912502,0.0010173655195801
02-08-2021,98.78,94.98,-23.0,-13.0,-28.0,-24.0,-24.0,10.0,0.025,1e-05,0.0250000002633031,2.0607081194007556e-05,0.0250000016370268,4.3078560954817634e-05,0.0250000017642862,4.596449567090484e-05,0.0250000028846647,3.752773531632993e-05,0.0250000029124483,3.771831698409058e-05,1934408,193826,1968,195160,1978,0.1001991306901129,0.0010173655195801,0.1008887473583649,0.0010225350598219
02-09-2021,106.46,106.78,-17.0,-10.0,-24.0,-23.0,-22.0,10.0,0.0250000002868273,2.1635584223906644e-05,0.0250000002487701,2.0048743395379592e-05,0.0250000012839962,3.530492300523675e-05,0.0250000014558204,3.894704260777612e-05,0.0250000028890136,3.7705677611468346e-05,0.0250000029431202,3.8111400998535465e-05,1934408,194170,1978,195705,1986,0.1003769628744298,0.0010225350598219,0.1011704873015413,0.0010266706920153
02-10-2021,109.25,103.47,-14.0,-4.0,-26.0,-23.0,-21.0,9.0,0.0250000002580584,2.0561848988738285e-05,0.0250000002916674,2.188778905809185e-05,0.0250000011061838,3.114473380844156e-05,0.025000001301638,3.525385586370532e-05,0.0250000025297672,3.4114428676016646e-05,0.0250000025963004,3.4630577930990694e-05,1934408,194632,1986,196095,1990,0.1006157956335995,0.0010266706920153,0.1013720993709703,0.001028738508112
02-11-2021,114.71,110.67,-18.0,-6.0,-33.0,-21.0,-22.0,10.0,0.0250000002964146,2.2251997415428025e-05,0.025,1e-05,0.0250000009083754,2.6481362643020823e-05,0.0250000010946689,3.055352365696048e-05,0.025000002395115,3.2785541712431814e-05,0.0250000024584828,3.329611711278469e-05,1934408,195006,1990,196559,2002,0.1008091364386416,0.001028738508112,0.1016119660381884,0.0010349419564021
02-12-2021,128.13,127.09,-25.0,-9.0,-39.0,-26.0,-25.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000009789428,2.799731706112733e-05,0.0250000012150677,3.292320186699644e-05,0.0250000021087582,2.9927017612230396e-05,0.0250000021887283,3.05767300309477e-05,1934408,195485,2002,196968,2002,0.1010567574162224,0.0010349419564021,0.1018234002340767,0.0010349419564021
02-13-2021,138.63,153.19,-23.0,-8.0,-38.0,-26.0,-15.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000012355551,3.345072441262101e-05,0.0250000014287986,3.783317673363442e-05,0.0250000019691859,2.8528559697198783e-05,0.0250000020491023,2.921582348886248e-05,1934408,197027,2002,197179,2002,0.1018539005215032,0.0010349419564021,0.1019324775331781,0.0010349419564021
02-14-2021,101.29,105.33,-24.0,-15.0,-47.0,-29.0,-15.0,7.0,0.025,1e-05,0.025,1e-05,0.02500000148001,3.909751856938888e-05,0.0250000015985837,4.2096037331353176e-05,0.0250000017699934,2.6536960319425656e-05,0.025000001842005,2.719233590872375e-05,1934408,197236,2002,197306,2003,0.1019619439125562,0.0010349419564021,0.1019981306942485,0.0010354589104263
02-15-2021,92.24,85.65,-22.0,-16.0,-38.0,-28.0,-40.0,16.0,0.025,1e-05,0.025,1e-05,0.0250000016445154,4.326989932591801e-05,0.0250000017379972,4.583706960634047e-05,0.0250000014845003,2.369089914840456e-05,0.0250000019255796,2.815237645363599e-05,1934408,197328,2003,197453,2004,0.1020095036827804,0.0010354589104263,0.1020741229358025,0.0010359758644505
02-16-2021,98.32,94.53,-24.0,-18.0,-35.0,-30.0,-35.0,16.0,0.025,1e-05,0.025,1e-05,0.0250000017797472,4.692669428076935e-05,0.0250000015645803,4.2665639162180985e-05,0.0250000015785345,2.4720872994147e-05,0.0250000016338774,2.528381623299333e-05,1934408,197447,2004,197840,2018,0.1020710212116575,0.0010359758644505,0.102274184143159,0.0010432132207889
02-17-2021,108.24,99.18,-15.0,-7.0,-30.0,-23.0,-20.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000015680288,4.289528054778292e-05,0.0250000016817469,4.532840463370713e-05,0.0250000016470052,2.5541636434383965e-05,0.0250000017326743,2.6341179057984603e-05,1934408,197746,2018,198152,2025,0.1022255904648864,0.0010432132207889,0.1024354737987022,0.0010468318989582
02-18-2021,118.51,113.43,-15.0,-8.0,-29.0,-19.0,-20.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000016821793,4.546383436304296e-05,0.0250000011232005,3.2742031688639925e-05,0.0250000016497454,2.559791406192035e-05,0.0250000017373829,2.642113864196977e-05,1934408,198042,2025,198577,2043,0.1023786088560427,0.0010468318989582,0.1026551792589774,0.0010561370713934
02-19-2021,146.75,147.45,-11.0,-7.0,-21.0,-16.0,-20.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000011240731,3.285891316602095e-05,0.0250000011994063,3.3688018263013294e-05,0.0250000017569489,2.6700688789844505e-05,0.0250000018521592,2.756642728174569e-05,1934408,198442,2043,198947,2047,0.1025853904657135,0.0010561370713934,0.1028464522479228,0.0010582048874901
02-20-2021,150.33,168.43,-11.0,-5.0,-4.0,-15.0,-8.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000011990679,3.3730425870330934e-05,0.0250000014702703,3.9251131673326425e-05,0.0250000014631158,2.368301406085671e-05,0.025000001572106,2.469031572737385e-05,1934408,198751,2047,199151,2047,0.1027451292591842,0.0010582048874901,0.1029519108688549,0.0010582048874901
02-21-2021,91.56,87.59,-28.0,-21.0,-32.0,-23.0,-13.0,6.0,0.025,1e-05,0.025,1e-05,0.025000001105839,3.111592951802263e-05,0.0250000013265376,3.5964810956585e-05,0.0250000014603291,2.3620301211409416e-05,0.0250000015562933,2.455045241600156e-05,1934408,198949,2047,199309,2047,0.1028474861559712,0.0010582048874901,0.1030335896046749,0.0010582048874901
02-22-2021,110.92,111.52,-9.0,-3.0,-4.0,-16.0,-19.0,7.0,0.025,1e-05,0.0250000002604239,2.057347890010258e-05,0.0250000013253794,3.592621250182787e-05,0.0250000015034905,4.015409332368785e-05,0.0250000013680359,2.2683220734968985e-05,0.0250000014541811,2.3557984910335047e-05,1934408,199045,2047,199621,2050,0.1028971137422922,0.0010582048874901,0.1031948792602181,0.0010597557495626
02-23-2021,117.21,118.3,-7.0,-5.0,7.0,-14.0,-19.0,7.0,0.0250000002604377,2.057419158359225e-05,0.0250000002776312,2.1820388326454344e-05,0.025000001501528,4.009292525301287e-05,0.0250000013005108,3.592298547374862e-05,0.0250000014409006,2.34690102785716e-05,0.0250000015236435,2.432971727892256e-05,1934408,199402,2050,200075,2054,0.1030816663289233,0.0010597557495626,0.1034295763871944,0.0010618235656593
02-24-2021,118.74,116.01,-7.0,-4.0,-11.0,-14.0,-19.0,7.0,0.0250000002776268,2.182015653505081e-05,0.025,1e-05,0.0250000012993703,3.588129666839728e-05,0.0250000011647652,3.3189504067458994e-05,0.025000001532143,2.444778940156981e-05,0.0250000016129821,2.5302082259711717e-05,1934408,199782,2054,200501,2063,0.1032781088581105,0.0010618235656593,0.1036497988014937,0.0010664761518769
02-25-2021,126.14,126.16,-10.0,-6.0,-8.0,-11.0,-19.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000011641845,3.3159687117574e-05,0.0250000012076588,3.419417448550959e-05,0.0250000013312111,2.2437958463798043e-05,0.0250000014209976,2.3363100780262943e-05,1934408,200163,2063,200832,2078,0.103475068341322,0.0010664761518769,0.1038209105834963,0.0010742304622396
02-26-2021,154.71,159.09,-6.0,-4.0,-5.0,-10.0,-18.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000012068883,3.4158840936186755e-05,0.0250000010289262,2.976174784006305e-05,0.0250000012191171,2.130363986308476e-05,0.0250000013274528,2.2367022663589637e-05,1934408,200447,2078,201154,2082,0.1036218832841882,0.0010742304622396,0.1039873697792813,0.0010762982783363
02-27-2021,162.77,190.06,-5.0,-2.0,18.0,-6.0,-8.0,3.0,0.025,1e-05,0.025,1e-05,0.025000001029023,2.97513578363383e-05,0.0250000012715601,3.49965934708587e-05,0.0250000011033699,2.0080480087322084e-05,0.0250000012080652,2.1127763940840006e-05,1934408,200720,2082,201341,2082,0.1037630117327885,0.0010762982783363,0.1040840401818024,0.0010762982783363
02-28-2021,114.68,105.17,-5.0,-4.0,-18.0,-12.0,-8.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000012716137,3.49986565930977e-05,0.0250000014671687,3.957030524134713e-05,0.0250000011326153,2.0371231600305105e-05,0.025000001224926,2.133548687145487e-05,1934408,200882,2082,201455,2082,0.1038467582847051,0.0010762982783363,0.1041429729405585,0.0010762982783363
03-01-2021,120.17,123.51,-4.0,-1.0,11.0,-9.0,-19.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000014672678,3.957359003352426e-05,0.0250000015851669,4.266654663161145e-05,0.0250000012351308,2.143914807872696e-05,0.0250000013069577,2.2246631392623823e-05,1934408,200946,2082,201881,2082,0.1038798433422525,0.0010762982783363,0.1043631953548579,0.0010762982783363
03-02-2021,120.98,127.57,-5.0,-1.0,35.0,-9.0,-19.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000015852168,4.266815262986606e-05,0.0250000016688532,4.513301833521692e-05,0.0250000013324701,2.2513569193547505e-05,0.0250000013834145,2.312035502443593e-05,1934408,201346,2084,202221,2084,0.1040866249519232,0.0010773321863846,0.104538959723078,0.0010773321863846
03-03-2021,129.23,136.5,0.0,3.0,47.0,-4.0,-19.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000016836628,4.536339168272721e-05,0.0250000012591854,3.6499911419161846e-05,0.0250000014157279,2.3438760193980324e-05,0.0250000014556377,2.3958206304449988e-05,1934408,201608,2091,202610,2091,0.1042220669062576,0.0010809508645539,0.1047400548384828,0.0010809508645539
