date,Arizona-apple-driving,Arizona-apple-walking,Arizona-google-retail_and_recreation,Arizona-google-grocery_and_pharmacy,Arizona-google-parks,Arizona-google-transit_stations,Arizona-google-workplaces,Arizona-google-residential,Arizona-jh_beta_7,Arizona-jh_gamma_7,Arizona-cdc_beta_7,Arizona-cdc_gamma_7,Arizona-jh_beta_14,Arizona-jh_gamma_14,Arizona-cdc_beta_14,Arizona-cdc_gamma_14,Arizona-jh_beta_30,Arizona-jh_gamma_30,Arizona-cdc_beta_30,Arizona-cdc_gamma_30,Arizona-census_pop,Arizona-jh_confirmed,Arizona-jh_death,Arizona-cdc_confirmed,Arizona-cdc_death,Arizona-jh_confirmed_ratio,Arizona-jh_death_ratio,Arizona-cdc_confirmed_ratio,Arizona-cdc_death_ratio
01-23-2021,115.52,131.79,-24.0,-15.0,-34.0,-28.0,-16.0,8.0,0.0250000013321694,5.920507702719326e-05,0.025000001332829,5.923259366027386e-05,0.0249999741263439,0.0002073118929428,0.0249999738754766,0.0002071836730058,0.0250000205882139,0.0001854999642751,0.0250000205718728,0.000185374499488,7278717,715357,12170,715778,12170,0.0982806447894594,0.0016719979633773,0.0983384846532706,0.0016719979633773
01-24-2021,84.85,86.76,-27.0,-20.0,-47.0,-30.0,-18.0,7.0,0.0250000013123014,5.6641087357597056e-05,0.0250000013129439,5.666686058573436e-05,0.0249999632112401,0.0002127128951281,0.0249999629513093,0.0002125827765681,0.0250000205576154,0.0001854076675135,0.0250000208555937,0.0001876938698878,7278717,722574,12238,722998,12238,0.0992721656852437,0.001681340269171,0.0993304177096045,0.001681340269171
01-25-2021,92.63,92.34,-28.0,-23.0,-55.0,-36.0,-39.0,14.0,0.0250000609225656,0.0001863855521145,0.0250000608127128,0.0001862750712511,0.0249999519220548,0.0002151241027335,0.0249999516615644,0.0002149939318675,0.0250000204822466,0.0001851184720977,0.0250000204661193,0.0001849946453225,7278717,727895,12239,728322,12239,0.1000032011136028,0.0016814776560209,0.1000618652985134,0.0016814776560209
01-26-2021,97.05,98.22,-25.0,-18.0,-44.0,-33.0,-40.0,15.0,0.025000076760738,0.0002183980906247,0.0250000766172819,0.0002182687919955,0.0249999318554373,0.0002294650872482,0.0249999315656679,0.0002293272823398,0.0250000210732963,0.0001916786836447,0.0250000210567742,0.0001915509782487,7278717,732643,12448,733073,12448,0.1006555138769648,0.0017101915076516,0.1007145902224251,0.0017101915076516
01-27-2021,100.22,106.08,-22.0,-15.0,-31.0,-28.0,-36.0,12.0,0.025000098826564,0.0002539513851531,0.0250000986374466,0.0002538014238385,0.0249999475105414,0.0001981010612079,0.0249999472964846,0.0001979826683422,0.0250000220387822,0.0002012679611898,0.0250000220214283,0.000201133049896,7278717,738561,12643,738994,12643,0.1014685692547189,0.0017369819433837,0.1015280577607289,0.0017369819433837
01-28-2021,103.46,110.1,-21.0,-15.0,-25.0,-29.0,-36.0,12.0,0.0250000757187946,0.0002211213108148,0.0250000755741312,0.0002209906611245,0.02499994988234,0.0001896721496256,0.0249999496864509,0.0001895588986517,0.02500002229571,0.0002047300818207,0.0250000222783365,0.0002045944947487,7278717,743232,12819,743668,12819,0.102110303230638,0.0017611620289674,0.1021702038971978,0.0017611620289674
01-29-2021,118.28,127.87,-24.0,-18.0,-43.0,-32.0,-34.0,13.0,0.0250000590578543,0.0001935208639628,0.0250000589459062,0.0001934072046023,0.0249999504925523,0.0001828593527654,0.0249999503113591,0.0001827505613177,0.0250000219920507,0.0002019254956573,0.0250000219748435,0.0002017913602173,7278717,748260,13022,748699,13022,0.1028010843119742,0.0017890515594987,0.1028613971390837,0.0017890515594987
01-30-2021,122.97,143.92,-21.0,-13.0,-28.0,-25.0,-15.0,7.0,0.0250000495824467,0.000174473599913,0.0250000494895534,0.0001743715397725,0.0249999503039339,0.0001764841822398,0.0249999501363946,0.0001763798493574,0.0250000222861605,0.0002051204113456,0.0250000222687469,0.0002049844296692,7278717,753379,13098,753821,13098,0.1035043675966519,0.0017994929600917,0.1035650925843112,0.0017994929600917
01-31-2021,94.28,100.24,-17.0,-14.0,-13.0,-23.0,-13.0,5.0,0.0250000450484062,0.000166886619932,0.0250000449636608,0.0001667893014954,0.024999953291877,0.0001659833929949,0.024999953145325,0.0001658857984534,0.0250000219108704,0.0002021962730809,0.0250000218938284,0.0002020631449854,7278717,758404,13120,758849,13120,0.1041947365174384,0.0018025154707897,0.1042558736656474,0.0018025154707897
02-01-2021,99.55,103.9,-19.0,-14.0,-25.0,-29.0,-35.0,10.0,0.0250000480378356,0.0001781465008426,0.0250000479447758,0.0001780429626036,0.0249999368245166,0.000179521262581,0.0249999366565857,0.0001794161171147,0.025000021311734,0.0001975609231602,0.0250000212952897,0.0001974323080327,7278717,762145,13124,762593,13124,0.1047087007229433,0.0018030650181893,0.104770250031702,0.0018030650181893
02-02-2021,100.44,107.53,-19.0,-12.0,-18.0,-27.0,-35.0,11.0,0.0250000550327904,0.0001988855241769,0.025000054921742,0.0001987700267382,0.0249999176448159,0.0001933764841596,0.0249999174539587,0.0001932633944716,0.0250000214114585,0.0001999441230046,0.0250000213950549,0.0001998151039305,7278717,765083,13362,765534,13362,0.1051123432879723,0.0018357630884673,0.1051743047572807,0.0018357630884673
02-03-2021,102.69,108.86,-18.0,-11.0,-21.0,-26.0,-34.0,11.0,0.0250000423535311,0.0001740719838394,0.0250000422681861,0.0001739708220526,0.0249998947731111,0.0002084633678722,0.0249998945542368,0.000208341816094,0.0250000215142646,0.0002028128549579,0.0250000214981234,0.0002026851233018,7278717,767379,13576,767833,13576,0.1054277834953605,0.0018651638743476,0.1054901571252186,0.0018651638743476
02-04-2021,107.2,114.18,-19.0,-13.0,-20.0,-26.0,-35.0,11.0,0.0250000363632017,0.0001583278991996,0.0250000362909348,0.0001582359630873,0.024999911477432,0.0001907813297437,0.024999911294606,0.0001906699895462,0.0250000221795264,0.000209964683831,0.0250000221629143,0.0002098326281822,7278717,771796,13752,772253,13752,0.106034621211403,0.0018893439599314,0.1060974070018108,0.0018893439599314
02-05-2021,124.55,138.85,-20.0,-12.0,-24.0,-26.0,-33.0,11.0,0.0250000343344466,0.0001505444520696,0.0250000342671808,0.0001504569633868,0.0249999227684586,0.0001751325816926,0.024999922616081,0.0001750309670078,0.0250000212011208,0.0002007742586484,0.025000021185228,0.000200648309496,7278717,775622,13948,776082,13948,0.1065602632991501,0.0019162717825133,0.1066234612501076,0.0019162717825133
02-06-2021,123.54,143.97,-20.0,-9.0,-21.0,-22.0,-13.0,6.0,0.0250000312450632,0.0001399731934958,0.0250000311849554,0.000139891814723,0.024999931617586,0.0001630734213534,0.0249999314861199,0.0001629791724238,0.0250000210314808,0.0001995805118297,0.0250000210157634,0.0001994559243365,7278717,779093,14011,779556,14011,0.1070371330551799,0.0019249271540575,0.1071007431666872,0.0019249271540575
02-07-2021,85.75,93.37,-24.0,-9.0,-22.0,-25.0,-12.0,4.0,0.0250000372637941,0.0001563906863741,0.0250000371902105,0.0001562997978932,0.0249999335174319,0.0001576637720786,0.0249999333957178,0.0001575729299188,0.0250000196347084,0.0001865298775595,0.0250000196200962,0.000186414537472,7278717,780637,14048,781103,14048,0.1072492583514374,0.001930010467504,0.1073132806234945,0.001930010467504
02-08-2021,100.55,107.69,-20.0,-16.0,-18.0,-25.0,-35.0,10.0,0.0250000453761042,0.0001799286860682,0.0250000452825096,0.0001798241667332,0.0249999228478143,0.0001633667388187,0.0249999227192981,0.0001632729417896,0.0250000187722437,0.000179072582926,0.0250000187583828,0.0001789632183724,7278717,782887,14055,783356,14055,0.1075583787637299,0.0019309721754534,0.1076228131963366,0.0019309721754534
02-09-2021,102.12,107.03,-20.0,-13.0,-18.0,-25.0,-34.0,11.0,0.0250000515956474,0.0002001089374228,0.0250000514843487,0.0001999925460451,0.0249999034637555,0.0001756178532219,0.024999903317717,0.0001755171424874,0.0250000184802607,0.0001774465957028,0.0250000184667271,0.0001773394352942,7278717,787268,14286,787740,14286,0.1081602705531757,0.0019627085377821,0.1082251171463322,0.0019627085377821
02-10-2021,106.11,111.52,-18.0,-12.0,-19.0,-24.0,-34.0,10.0,0.0250000375153408,0.000169639533971,0.0250000374348544,0.0001695405530101,0.0249999151749315,0.0001639066936718,0.0249999150486886,0.0001638126145969,0.0250000182199139,0.0001758641833613,0.0250000182066823,0.0001757591514517,7278717,789245,14462,789720,14462,0.1084318843554434,0.0019868886233659,0.1084971431091496,0.0019868886233659
02-11-2021,112.95,120.49,-17.0,-11.0,-15.0,-22.0,-34.0,10.0,0.0250000298899877,0.0001481600804526,0.0250000298270807,0.0001480732859601,0.0249999234707716,0.000154617331338,0.0249999233592007,0.0001545286542631,0.0250000186431724,0.0001808705552133,0.0250000186297191,0.0001807633174605,7278717,791106,14662,791584,14662,0.1086875612831217,0.0020143659933474,0.1087532321973776,0.0020143659933474
02-12-2021,138.44,151.69,-18.0,-9.0,-21.0,-21.0,-33.0,11.0,0.0250000281681916,0.0001401688471839,0.0250000281100425,0.0001400866429262,0.0249999281282475,0.0001492266497387,0.0249999280242295,0.0001491409954646,0.0250000172324127,0.0001671875433702,0.0250000172199782,0.0001670890173237,7278717,793532,14834,794013,14834,0.1090208617809979,0.0020379965315315,0.1090869448558035,0.0020379965315315
02-13-2021,139.97,164.34,-17.0,-4.0,-24.0,-18.0,-15.0,6.0,0.0250000256137731,0.0001300552592102,0.0250000255620071,0.0001299788403086,0.0249999356651807,0.0001412276370129,0.0249999355719431,0.000141146535322,0.0250000167811821,0.0001628848902436,0.025000016769058,0.0001627890290104,7278717,795323,14948,795807,14948,0.1092669216291827,0.002053658632421,0.109333416864538,0.002053658632421
02-14-2021,112.91,133.66,-8.0,-3.0,-5.0,-19.0,-11.0,4.0,0.0250000331334485,0.000150998985528,0.0250000330645022,0.000150910115542,0.0249999253931548,0.0001483020873004,0.0249999252906575,0.0001482169679702,0.0250000163227741,0.0001586635821167,0.0250000163109955,0.0001585705810419,7278717,797270,14978,797757,14978,0.1095344138259531,0.0020577802379183,0.1096013212218581,0.0020577802379183
02-15-2021,106.79,110.11,-14.0,-13.0,-6.0,-22.0,-46.0,12.0,0.025000039977355,0.0001719507948216,0.0250000398905909,0.0001718491906054,0.0249999072305407,0.0001600309893568,0.0249999071123933,0.0001599392063558,0.0250000157443407,0.000153523272039,0.0250000157330136,0.0001534339011846,7278717,798608,14978,799098,14978,0.1097182374311296,0.0020577802379183,0.1097855569875844,0.0020577802379183
02-16-2021,107.1,112.59,-19.0,-12.0,-23.0,-23.0,-34.0,11.0,0.0250000456232265,0.0001917427299953,0.0250000455192916,0.0001916290876006,0.0249998868170651,0.0001718452353878,0.0249998866824529,0.0001717465852414,0.0250000149976021,0.0001468329248881,0.0250000149868286,0.0001467479663692,7278717,799740,14981,800233,14981,0.1098737593452252,0.002058192398468,0.1099414910622297,0.002058192398468
02-17-2021,108.55,112.76,-18.0,-12.0,-24.0,-24.0,-33.0,11.0,0.0250000266092699,0.0001502023084279,0.0250000265476137,0.0001501131949459,0.0250000070173297,0.0001535559907853,0.0250000070123637,0.0001534669642369,0.0250000152650392,0.000150518576012,0.0250000152541075,0.0001504317975757,7278717,801055,15063,801551,15063,0.1100544230528539,0.0020694581201604,0.1101225669304082,0.0020694581201604
02-18-2021,112.5,118.3,-18.0,-12.0,-18.0,-23.0,-34.0,11.0,0.0250000012257579,6.2074703270767e-05,0.0250000012263196,6.210301944033224e-05,0.0250000062639088,0.0001382436021161,0.0250000062594295,0.0001381631735248,0.0250000156538849,0.0001553560886539,0.0250000156426948,0.0001552666238041,7278717,802198,15276,802697,15276,0.1102114562222985,0.0020987215191908,0.1102800122604024,0.0020987215191908
02-19-2021,130.43,141.78,-19.0,-13.0,-19.0,-22.0,-32.0,11.0,0.0250000009874426,4.998536560246488e-05,0.0250000009878787,5.000652110517237e-05,0.0250000058278946,0.0001289335217359,0.0250000058237003,0.0001288584526837,0.0250000160535448,0.0001601382775068,0.0250000160421005,0.0001600463004073,7278717,804116,15421,804618,15421,0.1104749642004215,0.0021186426124274,0.1105439323990752,0.0021186426124274
02-20-2021,132.79,151.22,-18.0,-11.0,-16.0,-19.0,-13.0,6.0,0.0250000008672954,4.257926616234028e-05,0.0250000008676695,4.259600548480048e-05,0.0250000053430467,0.0001180920377692,0.025000005339167,0.0001180231711781,0.0250000151493162,0.0001513901427997,0.0250000151384702,0.0001513031792484,7278717,806163,15480,806668,15480,0.1107561950821827,0.0021267484365719,0.1108255754413861,0.0021267484365719
02-21-2021,99.8,107.06,-14.0,-11.0,-5.0,-15.0,-12.0,4.0,0.0250000008481019,4.080165375067877e-05,0.0250000008484699,4.0817368365042834e-05,0.0250000055000953,0.0001220705123294,0.0250000054961014,0.0001219991907667,0.0250000142089328,0.0001425583898,0.025000014198768,0.0001424770447177,7278717,807967,15505,808475,15505,0.1110040409594163,0.0021301831078196,0.1110738334791694,0.0021301831078196
02-22-2021,106.36,110.87,-16.0,-12.0,-14.0,-20.0,-33.0,10.0,0.0250000009724744,4.687386415374563e-05,0.0250000009729054,4.689330793283746e-05,0.025000005727489,0.0001280441608878,0.0250000057233199,0.0001279690254515,0.025000013356157,0.0001346142232496,0.0250000133465947,0.0001345377693218,7278717,809474,15502,809985,15502,0.1112110829422273,0.0021297709472699,0.1112812876225301,0.0021297709472699
02-23-2021,107.93,112.66,-16.0,-10.0,-12.0,-20.0,-33.0,10.0,0.025000001093486,5.403981749626472e-05,0.0250000010939845,5.406371133456425e-05,0.0250000060001303,0.000135518261583,0.0250000060017808,0.0001355643100593,0.0250000127852238,0.0001296284864376,0.0250000127760644,0.0001295551265031,7278717,810658,15650,811283,15650,0.1113737489725181,0.0021501042010563,0.1114596157537104,0.0021501042010563
02-24-2021,112.0,118.39,-14.0,-10.0,-14.0,-20.0,-33.0,10.0,0.0250000012846394,6.299829672644812e-05,0.0250000012852398,6.302777841508587e-05,0.0250000051981691,0.0001178881077512,0.0250000051943422,0.0001178186510786,0.0250000127533963,0.0001300406655864,0.0250000127442757,0.0001299673294155,7278717,811968,15693,812593,15693,0.1115537257458972,0.0021560118356023,0.1116395925270895,0.0021560118356023
02-25-2021,116.66,121.96,-14.0,-11.0,-15.0,-20.0,-34.0,10.0,0.0250000012430297,6.168000091760515e-05,0.0250000012436111,6.170879537669041e-05,0.0250000046568298,0.0001060907088083,0.0250000046533562,0.0001060279644814,0.0250000130615975,0.0001339132018335,0.0250000130522709,0.0001338377457287,7278717,812907,15814,813532,15814,0.1116827319979606,0.0021726356444411,0.1117685987791529,0.0021726356444411
02-26-2021,136.4,147.7,-15.0,-10.0,-16.0,-20.0,-32.0,10.0,0.0250000009188669,4.660256285942423e-05,0.0250000009192798,4.66221681849665e-05,0.0250000040451269,9.21843561420207e-05,0.0250000040420546,9.212961477886326e-05,0.025000012381068,0.0001274415564067,0.0250000123721858,0.00012736972502,7278717,814528,15897,815153,15897,0.111905436081661,0.0021840387529835,0.1119913028628534,0.0021840387529835
02-27-2021,134.71,155.77,-16.0,-9.0,-17.0,-16.0,-13.0,5.0,0.0250000007707852,3.931197205585891e-05,0.0250000007711197,3.932711227864225e-05,0.0250000035774691,8.149343752541347e-05,0.0250000035747074,8.144488304112129e-05,0.025000011748847,0.0001214761543319,0.0250000117403883,0.0001214077782745,7278717,815707,15967,816332,15967,0.1120674151777023,0.002193655832477,0.1121532819588946,0.002193655832477
