date,Iowa-apple-driving,Iowa-apple-walking,Iowa-google-retail_and_recreation,Iowa-google-grocery_and_pharmacy,Iowa-google-parks,Iowa-google-transit_stations,Iowa-google-workplaces,Iowa-google-residential,Iowa-jh_beta_7,Iowa-jh_gamma_7,Iowa-cdc_beta_7,Iowa-cdc_gamma_7,Iowa-jh_beta_14,Iowa-jh_gamma_14,Iowa-cdc_beta_14,Iowa-cdc_gamma_14,Iowa-jh_beta_30,Iowa-jh_gamma_30,Iowa-cdc_beta_30,Iowa-cdc_gamma_30,Iowa-census_pop,Iowa-jh_confirmed,Iowa-jh_death,Iowa-cdc_confirmed,Iowa-cdc_death,Iowa-jh_confirmed_ratio,Iowa-jh_death_ratio,Iowa-cdc_confirmed_ratio,Iowa-cdc_death_ratio
03-09-2021,128.27,144.13,-4.0,11.0,67.0,-12.0,-21.0,6.0,0.0250000003445997,2.442189217580194e-05,0.0250000003444684,2.4414805416544467e-05,0.0250000014292899,3.963217235842391e-05,0.0250000014293655,3.963357628967058e-05,0.0250000029927526,3.833063405353204e-05,0.025000002997834,3.8372566630600775e-05,3155070,340891,5574,340336,5574,0.1080454633336185,0.0017666802955243,0.1078695559844948,0.0017666802955243
03-10-2021,128.39,132.13,-3.0,11.0,23.0,-8.0,-19.0,7.0,0.0250000002470306,2.0279644754986163e-05,0.0250000002468978,2.027191090511026e-05,0.0250000012341123,3.545302455761992e-05,0.0250000012367337,3.5501418421379194e-05,0.0250000031239362,3.982341777048294e-05,0.0250000031260251,3.984074081830876e-05,3155070,341378,5601,341102,5601,0.1081998180705974,0.0017752379503465,0.1081123398213034,0.0017752379503465
03-11-2021,136.89,141.51,-3.0,5.0,30.0,-10.0,-20.0,7.0,0.0250000003162058,2.294978387544645e-05,0.0250000003160418,2.29410335291264e-05,0.0250000012119607,3.483698912990141e-05,0.0250000012143082,3.488013447603726e-05,0.0250000032434392,4.114393683674055e-05,0.0250000032479815,4.11817377879119e-05,3155070,341838,5621,341575,5621,0.1083456151527541,0.0017815769539186,0.1082622572557819,0.0017815769539186
03-12-2021,136.89,141.51,1.0,8.0,31.0,-7.0,-19.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000011116577,3.2337089026559174e-05,0.0250000011134559,3.236975578920515e-05,0.0250000030073387,3.874665516562463e-05,0.0250000030151367,3.881142619276729e-05,3155070,342343,5630,342070,5630,0.1085056749929478,0.001784429505526,0.1084191475941896,0.001784429505526
03-13-2021,161.29,196.2,1.0,16.0,72.0,-5.0,-3.0,1.0,0.025,1e-05,0.025,1e-05,0.0250000009755296,2.914618258051264e-05,0.0250000009768004,2.916899031015078e-05,0.025000002831481,3.698485518174166e-05,0.0250000028378739,3.703790630611705e-05,3155070,342705,5633,342495,5633,0.1086204109576015,0.0017853803560618,0.1085538514200952,0.0017853803560618
03-14-2021,116.5,110.72,-1.0,11.0,-17.0,-16.0,-8.0,3.0,0.0250000002737893,2.0511868149715e-05,0.0250000002736947,2.0507185469082304e-05,0.0250000010304389,3.0469612037848403e-05,0.0250000010317966,3.049413393386296e-05,0.0250000027264562,3.59762929470845e-05,0.0250000027265323,3.597692576214556e-05,3155070,342886,5641,342776,5641,0.1086777789399284,0.0017879159574906,0.1086429144202822,0.0017879159574906
03-15-2021,111.13,112.93,-16.0,-4.0,-23.0,-25.0,-33.0,12.0,0.0250000002941563,2.1783729948320455e-05,0.0250000002941171,2.178167395755707e-05,0.0250000011481894,3.328210696171309e-05,0.0250000011489141,3.329534067046843e-05,0.0250000025529115,3.428433378234202e-05,0.0250000025580534,3.432705502528858e-05,3155070,343303,5642,343073,5642,0.1088099471644052,0.0017882329076692,0.1087370486233268,0.0017882329076692
03-16-2021,129.07,126.86,-3.0,10.0,-2.0,-15.0,-28.0,8.0,0.0250000003232106,2.363169062593956e-05,0.0250000003230449,2.36225008714812e-05,0.0250000012393922,3.565147598714185e-05,0.0250000012407596,3.567677451038714e-05,0.0250000025251214,3.4125246208764195e-05,0.0250000025289452,3.415712611266264e-05,3155070,343851,5657,343515,5657,0.1089836358622788,0.0017929871603482,0.1088771406022687,0.0017929871603482
03-17-2021,136.86,139.94,7.0,14.0,-7.0,-8.0,-25.0,7.0,0.0250000002871045,2.216825248940992e-05,0.0250000002868937,2.2156064005495375e-05,0.0250000010446713,3.142684193447666e-05,0.0250000010469467,3.146882462726717e-05,0.0250000026430157,3.5454942510945114e-05,0.0250000026447187,3.546920500412049e-05,3155070,344267,5666,344005,5666,0.109115487136577,0.0017958397119556,0.1090324461897834,0.0017958397119556
03-18-2021,142.14,145.77,4.0,6.0,21.0,-8.0,-27.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000011206696,3.328403110985443e-05,0.0250000011225206,3.3318426013854187e-05,0.0250000027435948,3.660936802925269e-05,0.0250000027470551,3.663846412212568e-05,3155070,344860,5672,344501,5672,0.1093034385924876,0.0017977414130272,0.1091896534783697,0.0017977414130272
03-19-2021,170.44,186.02,8.0,11.0,60.0,-4.0,-25.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000008079006,2.639233607993297e-05,0.0250000008093314,2.6418723722453525e-05,0.025000002569515,3.491086229784769e-05,0.0250000025744457,3.495237202132217e-05,3155070,345304,5672,345025,5672,0.1094441644717866,0.0017977414130272,0.1093557353719568,0.0017977414130272
03-20-2021,171.79,208.2,4.0,16.0,85.0,0.0,-3.0,0.0,0.025,1e-05,0.025,1e-05,0.0250000007337296,2.5010587602561392e-05,0.0250000007357778,2.5049758277679132e-05,0.0250000022031777,3.12314892754512e-05,0.0250000022074739,3.126765665274884e-05,3155070,345642,5674,345390,5674,0.1095512936321539,0.0017983753133844,0.1094714221871464,0.0017983753133844
03-21-2021,131.37,126.27,13.0,21.0,75.0,-1.0,-5.0,0.0,0.025,1e-05,0.025,1e-05,0.0250000007657476,2.60815619504258e-05,0.0250000007668328,2.6102039001459792e-05,0.0250000021265024,3.058501930193778e-05,0.0250000021294785,3.0610170551322136e-05,3155070,345785,5675,345710,5675,0.1095966175076939,0.001798692263563,0.1095728462442988,0.001798692263563
03-22-2021,126.3,123.81,0.0,11.0,22.0,-12.0,-20.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000007486402,2.6079236418501576e-05,0.0250000007490265,2.608663211705822e-05,0.0250000020445347,2.9891094937142968e-05,0.0250000020443211,2.988928064728853e-05,3155070,346217,5675,345934,5675,0.1097335399848497,0.001798692263563,0.1096438430843055,0.001798692263563
03-23-2021,127.08,124.54,-6.0,5.0,-11.0,-15.0,-21.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000007755214,2.7083183394993983e-05,0.0250000007769269,2.711051006120729e-05,0.025000002110131,3.075403160087485e-05,0.0250000021096532,3.074994993823998e-05,3155070,346984,5683,346447,5683,0.109976640771837,0.0018012278649919,0.1098064385259281,0.0018012278649919
03-24-2021,134.06,131.86,2.0,13.0,4.0,-6.0,-18.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000006446807,2.436118777669565e-05,0.025000000646671,2.440021155331185e-05,0.0250000021741276,3.158295810345404e-05,0.0250000021753874,3.1593784505674975e-05,3155070,347592,5689,347205,5689,0.1101693464804267,0.0018031295660635,0.110046686761308,0.0018031295660635
