date,Wisconsin-apple-driving,Wisconsin-apple-walking,Wisconsin-google-retail_and_recreation,Wisconsin-google-grocery_and_pharmacy,Wisconsin-google-parks,Wisconsin-google-transit_stations,Wisconsin-google-workplaces,Wisconsin-google-residential,Wisconsin-jh_beta_7,Wisconsin-jh_gamma_7,Wisconsin-cdc_beta_7,Wisconsin-cdc_gamma_7,Wisconsin-jh_beta_14,Wisconsin-jh_gamma_14,Wisconsin-cdc_beta_14,Wisconsin-cdc_gamma_14,Wisconsin-jh_beta_30,Wisconsin-jh_gamma_30,Wisconsin-cdc_beta_30,Wisconsin-cdc_gamma_30,Wisconsin-census_pop,Wisconsin-jh_confirmed,Wisconsin-jh_death,Wisconsin-cdc_confirmed,Wisconsin-cdc_death,Wisconsin-jh_confirmed_ratio,Wisconsin-jh_death_ratio,Wisconsin-cdc_confirmed_ratio,Wisconsin-cdc_death_ratio
01-15-2021,127.58,159.17,-29.0,-16.0,-12.0,-30.0,-27.0,14.0,0.0250000004262261,2.6348042583947787e-05,0.0250000004262261,2.6348042583947787e-05,0.0250000032684869,7.27746448968368e-05,0.0250000032684869,7.27746448968368e-05,0.0250000069833991,7.436330501586724e-05,0.0250000069833991,7.436330501586724e-05,5822434,563866,5770,563866,5770,0.0968436911436007,0.0009909944878722,0.0968436911436007,0.0009909944878722
01-16-2021,127.51,170.09,-28.0,-9.0,8.0,-28.0,-5.0,6.0,0.0250000004034685,2.499143993063296e-05,0.0250000004034685,2.499143993063296e-05,0.025000003587081,7.969002198847264e-05,0.025000003587081,7.969002198847264e-05,0.0250000065783716,7.041802003302307e-05,0.0250000065783716,7.041802003302307e-05,5822434,566275,5905,566275,5905,0.0972574356360243,0.0010141806673978,0.0972574356360243,0.0010141806673978
01-17-2021,104.65,126.22,-20.0,-14.0,25.0,-29.0,-10.0,5.0,0.0250000005116358,2.8346820109014664e-05,0.0250000005116358,2.8346820109014664e-05,0.0250000042231862,9.227262558190412e-05,0.0250000042231862,9.227262558190412e-05,0.0250000063578579,6.811284819652096e-05,0.0250000063578579,6.811284819652096e-05,5822434,568166,5906,568166,5906,0.0975822138988608,0.0010143524168758,0.0975822138988608,0.0010143524168758
01-18-2021,110.83,128.94,-21.0,-11.0,-1.0,-30.0,-33.0,12.0,0.0250000006505193,3.4408153309972295e-05,0.0250000006505193,3.4408153309972295e-05,0.0249999938846102,7.534169982138378e-05,0.0249999938846102,7.534169982138378e-05,0.0250000060902376,6.543314785538886e-05,0.0250000060902376,6.543314785538886e-05,5822434,569335,5926,569335,5926,0.0977829890386048,0.0010177874064351,0.0977829890386048,0.0010177874064351
01-19-2021,104.68,126.79,-29.0,-11.0,-8.0,-27.0,-28.0,11.0,0.0250000007510849,3.937560176897028e-05,0.0250000007510849,3.937560176897028e-05,0.0249999918996237,8.11497270650142e-05,0.0249999918996237,8.11497270650142e-05,0.025000005663653,6.121849741102602e-05,0.025000005663653,6.121849741102602e-05,5822434,571268,5973,571268,5973,0.0981149807795159,0.0010258596318996,0.0981149807795159,0.0010258596318996
01-20-2021,103.7,127.41,-26.0,-12.0,-11.0,-27.0,-27.0,12.0,0.025000000708267,3.79442702502162e-05,0.025000000708267,3.79442702502162e-05,0.0250000045541979,9.91789118670391e-05,0.0250000045541979,9.91789118670391e-05,0.0250000057890828,6.245929164087179e-05,0.0250000057890828,6.245929164087179e-05,5822434,573119,6035,573119,6035,0.0984328890632336,0.0010365080995336,0.0984328890632336,0.0010365080995336
01-21-2021,110.87,137.79,-24.0,-10.0,-2.0,-27.0,-26.0,11.0,0.0250000007158207,3.8364445901491424e-05,0.0250000007158207,3.8364445901491424e-05,0.0250000043384601,9.406855081563114e-05,0.0250000043384601,9.406855081563114e-05,0.0250000060307635,6.481015430058499e-05,0.0250000060307635,6.481015430058499e-05,5822434,575688,6090,575688,6090,0.0988741134721321,0.0010459543208218,0.0988741134721321,0.0010459543208218
01-22-2021,132.33,167.87,-25.0,-13.0,-18.0,-29.0,-25.0,13.0,0.0250000007222245,3.85722865293019e-05,0.0250000007222245,3.85722865293019e-05,0.025000004446487,9.606060223803993e-05,0.025000004446487,9.606060223803993e-05,0.0250000053843401,5.8248990610408e-05,0.0250000053843401,5.8248990610408e-05,5822434,577991,6135,577991,6135,0.0992696525198911,0.0010536830473303,0.0992696525198911,0.0010536830473303
01-23-2021,134.32,183.02,-21.0,-4.0,9.0,-27.0,-3.0,6.0,0.0250000007436844,3.941849874863486e-05,0.0250000007436844,3.941849874863486e-05,0.0250000044324043,9.552858848933444e-05,0.0250000044324043,9.552858848933444e-05,0.0250000051370099,5.570783998700952e-05,0.0250000051370099,5.570783998700952e-05,5822434,580003,6184,580003,6184,0.0996152124695617,0.0010620987717507,0.0996152124695617,0.0010620987717507
01-24-2021,92.17,125.56,-34.0,-19.0,4.0,-29.0,-8.0,5.0,0.0250000005024694,2.8659804546995416e-05,0.0250000005024694,2.8659804546995416e-05,0.0250000045767584,9.862400000609972e-05,0.0250000045767584,9.862400000609972e-05,0.0250000049513355,5.379750311949146e-05,0.0250000049513355,5.379750311949146e-05,5822434,581377,6190,581377,6190,0.0998511962522889,0.0010631292686185,0.0998511962522889,0.0010631292686185
01-25-2021,100.55,132.9,-26.0,-9.0,-14.0,-31.0,-26.0,11.0,0.0250000005981575,3.334970692708513e-05,0.0250000005981575,3.334970692708513e-05,0.025000005017439,0.0001090721969161,0.025000005017439,0.0001090721969161,0.0250000051887637,5.621534278268805e-05,0.0250000051887637,5.621534278268805e-05,5822434,582477,6199,582477,6199,0.1000401206780532,0.0010646750139202,0.1000401206780532,0.0010646750139202
01-26-2021,88.51,126.04,-39.0,-24.0,-15.0,-35.0,-35.0,15.0,0.025000000610139,3.4677077471995026e-05,0.025000000610139,3.4677077471995026e-05,0.024999989108472,7.907377419786264e-05,0.024999989108472,7.907377419786264e-05,0.0250000054279079,5.8710614576447633e-05,0.0250000054279079,5.8710614576447633e-05,5822434,584041,6264,584041,6264,0.1003087368615943,0.0010758387299881,0.1003087368615943,0.0010758387299881
01-27-2021,107.77,139.53,-23.0,-8.0,-5.0,-27.0,-26.0,11.0,0.0250000005822696,3.3522109583367576e-05,0.0250000005822696,3.3522109583367576e-05,0.0249999898185066,7.586966196426055e-05,0.0249999898185066,7.586966196426055e-05,0.0250000056150202,6.06842245568157e-05,0.0250000056150202,6.06842245568157e-05,5822434,585600,6302,585600,6302,0.1005764942977455,0.0010823652101509,0.1005764942977455,0.0010823652101509
01-28-2021,111.01,142.15,-25.0,-11.0,-11.0,-29.0,-25.0,11.0,0.0250000005125528,3.0375213962457804e-05,0.0250000005125528,3.0375213962457804e-05,0.0250000050913937,0.0001129285621381,0.0250000050913937,0.0001129285621381,0.0250000057345218,6.19567667800967e-05,0.0250000057345218,6.19567667800967e-05,5822434,587580,6334,587580,6334,0.1009165582641211,0.0010878611934459,0.1009165582641211,0.0010878611934459
01-29-2021,135.89,182.36,-23.0,-11.0,-5.0,-28.0,-23.0,11.0,0.025000000458664,2.791214953971744e-05,0.025000000458664,2.791214953971744e-05,0.0250000049705623,0.0001107093374411,0.0250000049705623,0.0001107093374411,0.0250000053273451,5.797027332654282e-05,0.0250000053273451,5.797027332654282e-05,5822434,589384,6390,589384,6390,0.1012263943223744,0.001097479164212,0.1012263943223744,0.001097479164212
01-30-2021,127.29,176.03,-21.0,1.0,21.0,-32.0,-3.0,6.0,0.0250000004549038,2.7367144420707087e-05,0.0250000004549038,2.7367144420707087e-05,0.0250000049698974,0.0001107081304962,0.0250000049698974,0.0001107081304962,0.025000005295993,5.775486269459007e-05,0.025000005295993,5.775486269459007e-05,5822434,590997,6430,590997,6430,0.1015034262303359,0.0011043491433307,0.1015034262303359,0.0011043491433307
01-31-2021,79.91,111.53,-41.0,-31.0,5.0,-36.0,-16.0,8.0,0.02500000043845,2.6408970133904683e-05,0.02500000043845,2.6408970133904683e-05,0.0250000038720827,8.622836489082685e-05,0.0250000038720827,8.622836489082685e-05,0.0250000051805662,5.672798486838872e-05,0.0250000051805662,5.672798486838872e-05,5822434,592140,6434,592140,6434,0.1016997358836527,0.0011050361412426,0.1016997358836527,0.0011050361412426
02-01-2021,102.25,136.23,-24.0,-9.0,-5.0,-28.0,-25.0,10.0,0.025000000507274,2.9865877557126257e-05,0.025000000507274,2.9865877557126257e-05,0.0250000042607594,9.53867458010836e-05,0.0250000042607594,9.53867458010836e-05,0.0250000053292567,5.84051882675558e-05,0.0250000053292567,5.84051882675558e-05,5822434,592921,6436,592921,6436,0.1018338722259453,0.0011053796401985,0.1018338722259453,0.0011053796401985
