date,Delaware-apple-driving,Delaware-apple-walking,Delaware-google-retail_and_recreation,Delaware-google-grocery_and_pharmacy,Delaware-google-parks,Delaware-google-transit_stations,Delaware-google-workplaces,Delaware-google-residential,Delaware-jh_beta_7,Delaware-jh_gamma_7,Delaware-cdc_beta_7,Delaware-cdc_gamma_7,Delaware-jh_beta_14,Delaware-jh_gamma_14,Delaware-cdc_beta_14,Delaware-cdc_gamma_14,Delaware-jh_beta_30,Delaware-jh_gamma_30,Delaware-cdc_beta_30,Delaware-cdc_gamma_30,Delaware-census_pop,Delaware-jh_confirmed,Delaware-jh_death,Delaware-cdc_confirmed,Delaware-cdc_death,Delaware-jh_confirmed_ratio,Delaware-jh_death_ratio,Delaware-cdc_confirmed_ratio,Delaware-cdc_death_ratio
01-14-2021,112.48,140.67,-20.0,-10.0,-10.0,-42.0,-33.0,12.0,0.0250000005444748,3.020798580274992e-05,0.0250000004286511,2.6238505531719088e-05,0.0250000302226602,0.0001146385639734,0.0250000021777151,4.973712397667128e-05,0.0250000153277519,0.0001407551328289,0.0250000099008497,9.486781371417624e-05,973764,68065,1178,69803,995,0.0698988666658451,0.0012097387046553,0.0716836933795046,0.0010218081588557
01-15-2021,131.14,172.47,-22.0,-12.0,-18.0,-45.0,-33.0,13.0,0.0250000005590435,3.065270799320772e-05,0.0250000004545952,2.7764191595701883e-05,0.0250000308878639,0.0001180958375389,0.025000002011733,4.639449251117062e-05,0.0250000152291418,0.0001400804764737,0.0250000087762472,8.458511210334434e-05,973764,68727,1182,70497,1002,0.0705787028479179,0.0012138464761482,0.0723963917335206,0.0010289967589682
01-16-2021,124.11,163.5,-17.0,-9.0,-18.0,-40.0,-10.0,6.0,0.0250000006133891,3.3183390920159576e-05,0.025000000275074,2.0296139678610885e-05,0.0250000324887454,0.0001240804061326,0.025000002284408,5.227508244076305e-05,0.0250000145809339,0.0001343812208944,0.0250000090070664,8.706766222299887e-05,973764,69372,1188,71458,1016,0.071241081001146,0.0012200081333875,0.0733832838346868,0.0010433739591933
01-17-2021,96.94,127.51,-20.0,-14.0,-9.0,-46.0,-15.0,6.0,0.0250000005646131,3.143688426382224e-05,0.0250000003766664,2.418428161407279e-05,0.0250000310515858,0.0001244314271678,0.0250000026375829,5.940355499749709e-05,0.0250000144622078,0.0001337489361619,0.0250000084985245,8.21560533840553e-05,973764,70294,1200,72108,1016,0.0721879223302566,0.0012323314478662,0.074050796702281,0.0010433739591933
01-18-2021,114.35,138.16,-13.0,-9.0,-8.0,-45.0,-46.0,14.0,0.0250000005679729,3.156972256764488e-05,0.025000000409542,2.5658486025312543e-05,0.0250000300255659,0.00012446162853,0.0250000029405721,6.598224999038781e-05,0.0250000144682932,0.000133921487681,0.0250000080406374,7.810420344305828e-05,973764,70910,1210,72527,1016,0.0728205191401612,0.0012426008765984,0.074481085766161,0.0010433739591933
01-19-2021,111.03,139.28,-20.0,-8.0,-8.0,-43.0,-33.0,12.0,0.0250000005749331,3.176075785362183e-05,0.0250000002797219,2.047413000894901e-05,0.0250000301935187,0.0001287453170343,0.0250000028505582,6.458218188675548e-05,0.0250000138051611,0.0001280647190866,0.0250000080268906,7.822028580459508e-05,973764,71311,1219,73008,1021,0.0732323232323232,0.0012518433624574,0.0749750452881807,0.0010485086735595
01-20-2021,105.85,138.2,-23.0,-15.0,-27.0,-46.0,-35.0,13.0,0.0250000005574618,3.091321841937712e-05,0.0250000002671424,2.0119414285629905e-05,0.0250000287684683,0.0001287031632313,0.0250000026062482,5.982494912673936e-05,0.0250000132632644,0.0001230495415224,0.0250000080160473,7.835577748978848e-05,973764,71775,1228,73763,1026,0.0737088247254981,0.0012610858483164,0.0757503871574632,0.0010536433879256
01-21-2021,109.74,137.06,-22.0,-11.0,-16.0,-41.0,-33.0,12.0,0.0250000005651008,3.114434031721537e-05,0.0250000002842681,2.095299774195603e-05,0.0250000271940878,0.0001274938917895,0.0250000028706207,6.582613240191562e-05,0.0250000132648433,0.0001231694570927,0.0250000076213952,7.48688818644901e-05,973764,72523,1241,74476,1027,0.0744769779946681,0.0012744361056683,0.0764825974260703,0.0010546703307988
01-22-2021,127.55,169.98,-22.0,-11.0,-24.0,-45.0,-32.0,13.0,0.025000000553678,3.0386584171997945e-05,0.0250000003116509,2.237108745496072e-05,0.0250000242673889,0.0001245114976663,0.025000002979922,6.869134991265934e-05,0.025000013261566,0.0001232150618667,0.0250000077688058,7.663992991640608e-05,973764,73233,1252,75159,1027,0.0752061074346556,0.0012857324772737,0.0771839994084809,0.0010546703307988
01-23-2021,123.69,160.01,-20.0,-13.0,-24.0,-38.0,-11.0,7.0,0.0250000006456937,3.4108968748836195e-05,0.025,1e-05,0.025000025571512,0.0001317072216958,0.0250000021489914,5.16531539695524e-05,0.0250000131152919,0.0001218905161956,0.0250000079151697,7.854232650530319e-05,973764,73915,1254,75834,1036,0.0759064824741929,0.0012877863630201,0.0778771858479056,0.0010639128166578
