date,Michigan-apple-driving,Michigan-apple-walking,Michigan-google-retail_and_recreation,Michigan-google-grocery_and_pharmacy,Michigan-google-parks,Michigan-google-transit_stations,Michigan-google-workplaces,Michigan-google-residential,Michigan-jh_beta_7,Michigan-jh_gamma_7,Michigan-cdc_beta_7,Michigan-cdc_gamma_7,Michigan-jh_beta_14,Michigan-jh_gamma_14,Michigan-cdc_beta_14,Michigan-cdc_gamma_14,Michigan-jh_beta_30,Michigan-jh_gamma_30,Michigan-cdc_beta_30,Michigan-cdc_gamma_30,Michigan-census_pop,Michigan-jh_confirmed,Michigan-jh_death,Michigan-cdc_confirmed,Michigan-cdc_death,Michigan-jh_confirmed_ratio,Michigan-jh_death_ratio,Michigan-cdc_confirmed_ratio,Michigan-cdc_death_ratio
05-03-2021,128.36,133.39,-7.0,1.0,47.0,-20.0,-29.0,9.0,0.0250000005544824,3.1435038424450795e-05,0.0250000005301867,3.084223608520888e-05,0.025000004103533,9.05269920945883e-05,0.0250000044316589,9.799461707142758e-05,0.0250000049270313,5.295706703654822e-05,0.0250000053602974,5.751744053178729e-05,9986857,945732,18922,964011,19347,0.094697661136031,0.0018946901913184,0.0965279667066425,0.0019372461225789
05-04-2021,136.52,144.61,-5.0,3.0,74.0,-17.0,-29.0,8.0,0.0250000005753518,3.289411135183256e-05,0.0250000005065655,2.986534883512808e-05,0.025000004107632,9.11288033356882e-05,0.0250000044085838,9.77587139574624e-05,0.0250000048300672,5.213666622466733e-05,0.02500000537775,5.777436462038122e-05,9986857,948852,19055,966542,19412,0.0950100717372843,0.0019080076945128,0.0967813997937489,0.0019437546767716
05-05-2021,142.79,155.22,-2.0,5.0,87.0,-14.0,-30.0,7.0,0.0250000005129859,2.9985675199070217e-05,0.0250000005059109,2.9844946293921817e-05,0.0250000040172044,8.894604175364077e-05,0.025000004314032,9.589337239765613e-05,0.0250000051567456,5.5261042791498153e-05,0.0250000054247566,5.833024798526718e-05,9986857,951899,19100,968953,19462,0.095315172731521,0.0019125136166463,0.0970228170884994,0.0019487612569199
05-06-2021,141.14,148.28,-7.0,1.0,50.0,-14.0,-29.0,8.0,0.0250000005610903,3.212093354747773e-05,0.0250000004778228,2.8695318823215592e-05,0.0250000041839302,9.266250915089784e-05,0.0250000043142151,9.620405499964548e-05,0.0250000052634141,5.6454427511783866e-05,0.0250000054393207,5.8661214110456944e-05,9986857,956012,19223,971134,19533,0.0957270140145192,0.0019248298038111,0.0972412041145677,0.0019558706007305
05-07-2021,168.13,185.1,-12.0,-3.0,65.0,-12.0,-29.0,8.0,0.0250000005155684,2.970800932590109e-05,0.0250000004706484,2.833976156650089e-05,0.0250000039279197,8.656657641145212e-05,0.0250000041316385,9.232326595078096e-05,0.0250000052624686,5.6416160468553264e-05,0.025000005450878,5.894981094340552e-05,9986857,959379,19253,973061,19602,0.096064157121705,0.0019278337519001,0.0974341577134828,0.0019627796813351
05-08-2021,170.8,203.38,-3.0,15.0,171.0,2.0,-9.0,0.0,0.0250000005668559,3.199802518154311e-05,0.025000000467193,2.810376726337984e-05,0.0250000041851306,9.2258024227823e-05,0.0250000039934141,8.932665149741867e-05,0.0250000053561868,5.745767696094978e-05,0.025000005494274,5.955494343891081e-05,9986857,961956,19377,974489,19660,0.0963221962625478,0.0019402500706678,0.0975771456425179,0.0019685873143071
05-09-2021,112.81,113.35,0.0,12.0,96.0,-3.0,-12.0,-1.0,0.0250000004845836,2.805068830630892e-05,0.0250000004712436,2.827716594896716e-05,0.0250000039044365,8.562583791244931e-05,0.0250000039951533,8.945974512346208e-05,0.0250000052688426,5.660754654426632e-05,0.0250000054424911,5.920890146243996e-05,9986857,961956,19377,975789,19718,0.0963221962625478,0.0019402500706678,0.0977073167263734,0.0019743949472792
05-10-2021,135.47,141.37,-8.0,-1.0,84.0,-18.0,-29.0,7.0,0.0250000005773974,3.25545524849735e-05,0.0250000004984205,2.9518710845692887e-05,0.0250000043239448,9.522753505136088e-05,0.0250000040157701,9.003197831153356e-05,0.0250000053620056,5.768682751778754e-05,0.0250000054246201,5.920720370704372e-05,9986857,964943,19411,977898,19783,0.0966212893606066,0.0019436545451687,0.0979184942770283,0.0019809035014719
05-11-2021,140.45,150.45,-5.0,2.0,87.0,-16.0,-29.0,7.0,0.0250000006092508,3.453454282172597e-05,0.0250000004803809,2.873753396529418e-05,0.0250000044844286,9.94054850528838e-05,0.0250000039185903,8.794313574681358e-05,0.0250000052058355,5.630106584187688e-05,0.0250000054632112,5.97423810322462e-05,9986857,967611,19513,979556,19835,0.0968884404773193,0.0019538679686712,0.0980845124747455,0.0019861103448262
05-12-2021,146.03,161.39,0.0,7.0,128.0,-10.0,-29.0,7.0,0.0250000004997452,2.9747977819534887e-05,0.0250000004707759,2.8400361683821035e-05,0.0250000041661725,9.2529258343829e-05,0.0250000038979326,8.761690634869738e-05,0.0250000055034797,5.927638505736894e-05,0.0250000054959039,6.022340998780365e-05,9986857,970376,19528,981206,19896,0.0971653043595197,0.0019553699427157,0.0982497296196391,0.0019922183726071
05-13-2021,153.93,167.98,0.0,5.0,152.0,-9.0,-29.0,6.0,0.025000000504224,3.024217946047217e-05,0.0250000004866551,2.915066894092421e-05,0.0250000043047574,9.618103025784712e-05,0.0250000037956597,8.544435381963711e-05,0.0250000056249124,6.075768267358213e-05,0.025000005456873,6.003648486014062e-05,9986857,972746,19646,982675,19953,0.0974026162585486,0.0019671854718656,0.0983968229443958,0.0019979258739761
05-14-2021,178.62,205.34,-9.0,-1.0,145.0,-4.0,-29.0,6.0,0.0250000004215318,2.626640322766043e-05,0.0250000004662444,2.8296827031745653e-05,0.0250000039976163,8.933087248750524e-05,0.0250000037469159,8.446967193369589e-05,0.025000005477136,5.944938467232791e-05,0.0250000053640749,5.928471320969023e-05,9986857,974848,19678,984067,20001,0.0976130928879826,0.0019703896831605,0.0985362061357241,0.0020027321909185
05-15-2021,173.58,216.31,-5.0,5.0,223.0,5.0,-10.0,0.0,0.0250000004698169,2.8350649030183687e-05,0.0250000004427882,2.736031707480229e-05,0.0250000041650744,9.329129790717764e-05,0.0250000036806354,8.319861375442743e-05,0.0250000055122027,6.000943841481059e-05,0.0250000053384277,5.921543467171104e-05,9986857,976339,19790,985129,20050,0.0977623891080046,0.0019816044226927,0.0986425458980738,0.0020076386394638
05-16-2021,130.84,140.83,1.0,5.0,201.0,5.0,-9.0,-1.0,0.025000000395274,2.465842618233317e-05,0.0250000004335616,2.7063899560614585e-05,0.025000003713762,8.304095446863208e-05,0.0250000036473842,8.271722637413264e-05,0.0250000052231834,5.719708132718942e-05,0.0250000052289629,5.828948561029457e-05,9986857,976339,19790,986030,20096,0.0977623891080046,0.0019816044226927,0.098732764472346,0.0020122446932002
05-17-2021,142.52,155.38,-1.0,5.0,145.0,-10.0,-27.0,6.0,0.0250000004801588,2.8690053365569875e-05,0.0250000004199572,2.65881425685606e-05,0.0250000040920038,9.18336210156693e-05,0.0250000037072721,8.43631023058621e-05,0.0250000052305647,5.750970255529077e-05,0.0250000051068502,5.723205258496811e-05,9986857,978915,19812,987515,20139,0.0980203281172445,0.0019838073179579,0.0988814599027501,0.0020165503521278
05-18-2021,148.83,165.32,0.0,7.0,159.0,-10.0,-27.0,6.0,0.0250000004905098,2.966899389721661e-05,0.025000000390284,2.5412899315311056e-05,0.0250000042439386,9.590279560230207e-05,0.0250000035566073,8.138087663199959e-05,0.0250000051056473,5.647167314371511e-05,0.0250000050507348,5.6827779808152266e-05,9986857,980450,19899,988738,20186,0.0981740301277969,0.001992518767416,0.0990039208531773,0.0020212565374671
05-19-2021,151.34,163.71,2.0,9.0,142.0,-9.0,-28.0,6.0,0.0250000004131712,2.6322709230256355e-05,0.0250000003814316,2.510571120568442e-05,0.0250000037368874,8.486905773228354e-05,0.0250000034575459,7.952238168194034e-05,0.0250000053540631,5.906430459106642e-05,0.0250000049691372,5.615957664220753e-05,9986857,982400,19931,989858,20229,0.0983692867535802,0.0019957229787109,0.099116068248499,0.0020255621963947
05-20-2021,158.98,176.12,1.0,8.0,157.0,-9.0,-27.0,6.0,0.0250000004658365,2.8803875240404893e-05,0.0250000003550785,2.4012496325508765e-05,0.0250000037856831,8.631407180199038e-05,0.0250000034487719,7.967619696926647e-05,0.0250000052606913,5.83822847682999e-05,0.0250000048526815,5.517576871365197e-05,9986857,983970,20013,990822,20271,0.0985264933702365,0.0020039337701541,0.099212595113758,0.0020297677237192
05-21-2021,185.28,218.71,-8.0,2.0,160.0,-7.0,-28.0,6.0,0.0250000003682748,2.431432885091452e-05,0.0250000003332309,2.3104815689291317e-05,0.0250000033495906,7.663547866506412e-05,0.0250000032849133,7.636275126152905e-05,0.0250000050854908,5.678342606829225e-05,0.0250000047001635,5.38096200216436e-05,9986857,985229,20051,991699,20299,0.0986525590583704,0.0020077387710668,0.099300410529559,0.0020325714086023
05-22-2021,180.6,234.83,-6.0,8.0,261.0,0.0,-7.0,-1.0,0.0250000004023766,2.5756894269309824e-05,0.0250000003167133,2.2527568567216064e-05,0.0250000035140226,8.044296868377952e-05,0.0250000031059936,7.281334303119786e-05,0.0250000050928223,5.7043793753147766e-05,0.0250000046111728,5.310083316664611e-05,9986857,986435,20140,992343,20332,0.0987733177715471,0.0020166504837307,0.0993648952818689,0.0020358757515001
05-23-2021,131.14,136.64,0.0,4.0,176.0,-1.0,-9.0,0.0,0.0250000003257587,2.206030604451527e-05,0.0250000002945488,2.1697977393697795e-05,0.0250000030864624,7.073417163534558e-05,0.0250000029851729,7.056519680296908e-05,0.025000004808999,5.42891804383189e-05,0.0250000044068955,5.1213729807165146e-05,9986857,986435,20140,992852,20369,0.0987733177715471,0.0020166504837307,0.0994158622677785,0.0020395806208099
05-24-2021,145.46,159.04,-2.0,5.0,132.0,-15.0,-27.0,6.0,0.0250000003978878,2.5523719515603795e-05,0.0250000002772923,2.1028065409650216e-05,0.0250000034152262,7.842123938557152e-05,0.0250000028564738,6.808647955346467e-05,0.0250000048553047,5.496012845921391e-05,0.0250000042234964,4.953380818381312e-05,9986857,987974,20154,993743,20409,0.0989274203085114,0.0020180523261722,0.099505079526021,0.0020435858849285
05-25-2021,151.73,166.15,0.0,7.0,148.0,-12.0,-27.0,6.0,0.0250000004144566,2.67614404981106e-05,0.0250000002672604,2.0603142059500508e-05,0.0250000034695957,8.030090568370666e-05,0.0250000026791704,6.443714360675506e-05,0.0250000045172006,5.1753872457149885e-05,0.0250000041326059,4.877819618956152e-05,9986857,988947,20225,994375,20436,0.0990248483581971,0.0020251616699828,0.0995683626990954,0.0020462894382086
05-26-2021,151.92,160.69,3.0,8.0,124.0,-11.0,-28.0,7.0,0.0250000003426523,2.3685553883068623e-05,0.025,1e-05,0.0250000030952276,7.226213018379798e-05,0.0250000025719856,6.238553265802402e-05,0.0250000047192538,5.39331236098156e-05,0.0250000040501986,4.811602928806024e-05,9986857,990002,20239,994974,20471,0.099130487199326,0.0020265635124243,0.0996283415292719,0.0020497940443124
05-27-2021,162.52,169.98,3.0,8.0,139.0,-7.0,-27.0,5.0,0.0250000003446107,2.4011863433295623e-05,0.025,1e-05,0.0250000032685402,7.664323927605263e-05,0.0250000023983835,5.878713846570148e-05,0.0250000047100581,5.409801736521504e-05,0.0250000038803017,4.657671412962746e-05,9986857,990638,20301,995471,20489,0.0991941708988123,0.0020327716718082,0.0996781069359459,0.0020515964131658
05-28-2021,174.08,178.75,-10.0,0.0,93.0,-9.0,-32.0,9.0,0.0250000002789273,2.1029961791044388e-05,0.025,1e-05,0.0250000027622743,6.55829045450619e-05,0.0250000022255353,5.530291264107209e-05,0.0250000044126428,5.125325052475139e-05,0.0250000037590483,4.55383881008232e-05,9986857,991372,20324,995930,20523,0.0992676674953891,0.0020350746986764,0.0997240673417072,0.0020550008876666
05-29-2021,168.77,222.47,-5.0,12.0,279.0,7.0,-17.0,0.0,0.0250000002759527,2.091791702828441e-05,0.025,1e-05,0.0250000028151461,6.710317913228668e-05,0.0250000021150257,5.311624298388816e-05,0.0250000044133808,5.147022042795613e-05,0.0250000035921982,4.401876581448534e-05,9986857,991941,20376,996259,20549,0.0993246423774767,0.0020402815420306,0.0997570106390829,0.0020576043093437
05-30-2021,139.84,176.67,5.0,14.0,391.0,5.0,-17.0,-4.0,0.025,1e-05,0.025,1e-05,0.0250000023317842,5.649939613085197e-05,0.0250000019869682,5.0529463347889154e-05,0.0250000041174379,4.862318278161298e-05,0.0250000034573876,4.281985846419761e-05,9986857,991941,20376,996520,20580,0.0993246423774767,0.0020402815420306,0.099783144987457,0.0020607083890357
05-31-2021,130.16,141.93,-13.0,1.0,260.0,-21.0,-76.0,14.0,0.025,1e-05,0.025,1e-05,0.025000002558493,6.207954019632945e-05,0.0250000018783658,4.830898472211046e-05,0.0250000041086812,4.874746968387032e-05,0.0250000033217636,4.160012447299571e-05,9986857,991941,20376,996763,20607,0.0993246423774767,0.0020402815420306,0.0998074769669777,0.0020634119423157
06-01-2021,153.83,167.91,1.0,10.0,172.0,-4.0,-28.0,6.0,0.025000000247243,2.0212027390608867e-05,0.025,1e-05,0.0250000025877635,6.350873752450032e-05,0.0250000017849401,4.640627722050211e-05,0.025000003692227,4.47333940055054e-05,0.025000003211599,4.0630548130878565e-05,9986857,992925,20389,997299,20624,0.099423171874795,0.0020415832528692,0.0998611475061673,0.0020651141795662
06-02-2021,153.15,161.6,0.0,7.0,120.0,-12.0,-27.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000021433847,5.435885836195898e-05,0.0250000016447764,4.352668006937397e-05,0.0250000038191592,4.624798098548185e-05,0.0250000031550105,4.021374757054974e-05,9986857,993422,20423,997685,20652,0.099472937281469,0.00204498772737,0.0998997983049121,0.0020679178644492
06-03-2021,166.23,186.87,7.0,14.0,182.0,-5.0,-26.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000020893998,5.366339417677389e-05,0.0250000015321665,4.119802163907639e-05,0.0250000038027074,4.633698337330581e-05,0.0250000029832327,3.861295462081152e-05,9986857,993952,20485,998029,20671,0.0995260070310408,0.0020511958867539,0.0999342435763323,0.0020698203649055
06-04-2021,193.55,232.82,-5.0,4.0,193.0,-3.0,-26.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000017379837,4.584950507520347e-05,0.0250000014141437,3.878165540700685e-05,0.0250000034188865,4.257824137426211e-05,0.0250000028423165,3.732239542053335e-05,9986857,994506,20511,998347,20711,0.0995814799390839,0.002053799308431,0.0999660854260754,0.0020738256290242
06-05-2021,191.54,249.6,-3.0,12.0,323.0,10.0,-5.0,-2.0,0.025,1e-05,0.025,1e-05,0.0250000016838671,4.464500922950163e-05,0.0250000014130013,3.879219858646063e-05,0.0250000033629856,4.2171254413754807e-05,0.025000002760534,3.6610107858852834e-05,9986857,994935,20588,998584,20728,0.0996244363967562,0.0020615094418594,0.0999898166159783,0.0020755278662746
06-06-2021,148.18,166.64,7.0,12.0,348.0,11.0,-6.0,-2.0,0.025,1e-05,0.025,1e-05,0.0250000013412169,3.651558766945003e-05,0.0250000013616008,3.7756522114470496e-05,0.0250000030268293,3.88304141328873e-05,0.0250000025972705,3.505864246855468e-05,9986857,994935,20588,998767,20752,0.0996244363967562,0.0020615094418594,0.1000081406993211,0.0020779310247458
06-07-2021,151.97,165.11,2.0,7.0,133.0,-11.0,-27.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000015645029,4.141961827344259e-05,0.0250000012792058,3.6009126654141785e-05,0.0250000030270208,3.896622190754608e-05,0.0250000024403692,3.356105340506747e-05,9986857,995397,20600,999066,20779,0.0996706971973264,0.002062711021095,0.1000380800486078,0.0020806345780258
06-08-2021,157.94,169.84,2.0,7.0,139.0,-12.0,-27.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000016639351,4.375262520592572e-05,0.0250000011778058,3.3793078507634414e-05,0.0250000026736762,3.547786763215864e-05,0.0250000023248645,3.247306292679023e-05,9986857,995759,20658,999323,20795,0.0997069448376,0.002068518654067,0.10006381387057,0.0020822366836733
06-09-2021,166.28,185.55,8.0,12.0,172.0,-6.0,-28.0,6.0,0.0250000002673316,2.0722822217475788e-05,0.025,1e-05,0.0250000014075883,3.782324072065281e-05,0.0250000011535496,3.3372936547071407e-05,0.0250000028002518,3.685301399256792e-05,0.0250000022050187,3.134033745272397e-05,9986857,996065,20667,999577,20817,0.0997375851081075,0.0020694198384937,0.1000892472977234,0.0020844395789385
06-10-2021,174.77,195.95,7.0,11.0,204.0,-4.0,-27.0,5.0,0.0250000002542941,2.0356220838580265e-05,0.025,1e-05,0.0250000015144301,4.024577538470263e-05,0.0250000010703045,3.162957250456652e-05,0.0250000027777224,3.673986038192871e-05,0.025000002054886,2.9892971245799875e-05,9986857,996427,20712,999778,20831,0.0997738327483812,0.0020739257606271,0.1001093737499195,0.0020858414213801
06-11-2021,198.41,235.0,-5.0,4.0,197.0,-2.0,-29.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000013085084,3.553064409083352e-05,0.0250000010923063,3.23053562245804e-05,0.0250000025111887,3.408495983623479e-05,0.0250000019489868,2.889970559124366e-05,9986857,996756,20720,999977,20843,0.0998067760457569,0.0020747268134509,0.1001292999389097,0.0020870430006157
06-12-2021,191.65,244.26,-4.0,10.0,307.0,10.0,-6.0,-2.0,0.025,1e-05,0.025,1e-05,0.0250000013409999,3.639800578948432e-05,0.0250000009881191,3.0219607027996584e-05,0.0250000025548583,3.4636792739348095e-05,0.0250000018056341,2.75228263344483e-05,9986857,996986,20778,1000137,20864,0.099829806314439,0.0020805344464229,0.1001453209953842,0.0020891457642779
06-13-2021,154.66,176.55,7.0,12.0,359.0,18.0,-7.0,-3.0,0.025,1e-05,0.025,1e-05,0.0250000012125305,3.340190499192751e-05,0.0250000009407586,2.9347992801802813e-05,0.0250000022335159,3.138353445307528e-05,0.0250000016763753,2.6280590970526617e-05,9986857,996986,20778,1000268,20875,0.099829806314439,0.0020805344464229,0.1001584382353727,0.0020902472119106
06-14-2021,160.87,176.59,4.0,8.0,173.0,-7.0,-30.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000014004112,3.784695377999432e-05,0.02500000084542,2.7450427711244748e-05,0.0250000022156645,3.128009559510123e-05,0.0250000015752714,2.533103674315933e-05,9986857,997375,20787,1000477,20893,0.0998687575079927,0.0020814356308496,0.1001793657403926,0.0020920495807639
06-15-2021,169.05,186.28,5.0,10.0,198.0,-6.0,-29.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000015610242,4.186322298391582e-05,0.0250000007772146,2.6117179970886027e-05,0.0250000019009565,2.812997586589792e-05,0.025000001469947,2.4329596458332103e-05,9986857,997595,20817,1000675,20902,0.0998907864606452,0.0020844395789385,0.1001991917977798,0.0020929507651906
06-16-2021,172.42,193.39,8.0,12.0,208.0,-3.0,-30.0,5.0,0.025,1e-05,0.025,1e-05,0.025000001637914,4.390050178402047e-05,0.0250000007659506,2.610222313813386e-05,0.0250000019995899,2.921459352268742e-05,0.0250000013711343,2.3398468647044263e-05,9986857,997816,20822,1000859,20913,0.0999129155449006,0.0020849402369534,0.1002176160127255,0.0020940522128233
06-17-2021,182.0,203.1,6.0,12.0,229.0,-2.0,-30.0,5.0,0.025,1e-05,0.025,1e-05,0.025000001539086,4.212084212724695e-05,0.0250000006696859,2.418352861563149e-05,0.0250000020005442,2.9326443540606685e-05,0.0250000012780856,2.2529310598267857e-05,9986857,997993,20848,1001015,20926,0.0999306388386256,0.0020875436586305,0.1002332365427881,0.0020953539236618
06-18-2021,196.74,233.75,-6.0,3.0,182.0,-4.0,-32.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000012502008,3.5943483134611946e-05,0.0250000006330353,2.3557696413236267e-05,0.0250000017694989,2.7028230557180457e-05,0.0250000011690407,2.1490384810820466e-05,9986857,998149,20862,1001174,20947,0.0999462593686882,0.002088945501072,0.1002491574676597,0.0020974566873241
06-19-2021,189.6,235.28,-5.0,12.0,256.0,9.0,-9.0,-1.0,0.025,1e-05,0.025,1e-05,0.0250000012015718,3.5123236229780775e-05,0.025,1e-05,0.0250000017321967,2.673110735850661e-05,0.0250000010755097,2.0597984344196457e-05,9986857,998149,20862,1001305,20957,0.0999462593686882,0.002088945501072,0.1002622747076482,0.0020984580033538
06-20-2021,140.89,148.66,4.0,13.0,309.0,14.0,-10.0,-4.0,0.025,1e-05,0.025,1e-05,0.0250000007676461,2.5815634741753688e-05,0.025,1e-05,0.0250000015066127,2.4508137663954448e-05,0.0250000009827553,1.97139374626536e-05,9986857,998149,20862,1001407,20968,0.0999462593686882,0.002088945501072,0.1002724881311507,0.0020995594509864
06-21-2021,160.77,176.2,0.0,3.0,135.0,-10.0,-32.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000008483213,2.8092624263787088e-05,0.025,1e-05,0.0250000014325218,2.386046116380997e-05,0.0250000009377314,1.932137982484194e-05,9986857,998507,20898,1001591,20979,0.09998210648255,0.0020925502387788,0.1002909123460964,0.002100660898619
06-22-2021,166.26,187.75,3.0,6.0,165.0,-8.0,-31.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000008758287,2.8874562387481357e-05,0.025,1e-05,0.0250000011810854,2.1353156897245803e-05,0.0250000008730431,1.872302456611534e-05,9986857,998641,20912,1001738,20988,0.0999955241173474,0.0020939520812203,0.1003056316917324,0.0021015620830457
