date,California-apple-driving,California-apple-walking,California-google-retail_and_recreation,California-google-grocery_and_pharmacy,California-google-parks,California-google-transit_stations,California-google-workplaces,California-google-residential,California-jh_beta_7,California-jh_gamma_7,California-cdc_beta_7,California-cdc_gamma_7,California-jh_beta_14,California-jh_gamma_14,California-cdc_beta_14,California-cdc_gamma_14,California-jh_beta_30,California-jh_gamma_30,California-cdc_beta_30,California-cdc_gamma_30,California-census_pop,California-jh_confirmed,California-jh_death,California-cdc_confirmed,California-cdc_death,California-jh_confirmed_ratio,California-jh_death_ratio,California-cdc_confirmed_ratio,California-cdc_death_ratio
03-21-2021,109.29,112.05,-18.0,-11.0,5.0,-31.0,-15.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000023213177,5.626202531585319e-05,0.0250000027422223,6.473773074020783e-05,0.0250000059442492,6.62822165611299e-05,0.0250000066025861,7.181906472641296e-05,39512223,3705632,56448,3545278,56118,0.093784447410109,0.0014286212142505,0.089726108298184,0.0014202693682914
03-22-2021,108.85,105.12,-21.0,-12.0,-8.0,-42.0,-39.0,11.0,0.0250000002771783,2.057272486142867e-05,0.025,1e-05,0.0250000024801348,5.953899228959016e-05,0.0250000025443409,6.098464614946232e-05,0.0250000056576918,6.358459835922333e-05,0.0250000063140693,6.925314652244703e-05,39512223,3707758,56519,3547278,56545,0.0938382535449853,0.001430418126563,0.0897767255464214,0.00143107615079
03-23-2021,111.37,106.94,-22.0,-11.0,-9.0,-43.0,-40.0,12.0,0.0250000003291669,2.28760676502103e-05,0.025,1e-05,0.0250000026686931,6.37433144582533e-05,0.0250000026794433,6.38369819401515e-05,0.0250000054151082,6.134694020957527e-05,0.0250000060464419,6.678000494641943e-05,39512223,3709970,56768,3549101,56596,0.0938942362215358,0.0014367199739685,0.0898228631681897,0.0014323668906201
03-24-2021,115.15,109.22,-21.0,-11.0,-7.0,-43.0,-39.0,12.0,0.0250000003271436,2.266986702031601e-05,0.0250000003070705,2.197427177998992e-05,0.0250000025014066,5.98474604175034e-05,0.0250000028606758,6.795758902927215e-05,0.0250000053652858,6.1010712218662194e-05,0.0250000058121347,6.46665294676386e-05,39512223,3712777,57018,3551056,56850,0.0939652775294369,0.0014430471299982,0.0898723415283417,0.0014387952811462
03-25-2021,117.46,109.79,-22.0,-12.0,-20.0,-43.0,-40.0,12.0,0.0250000003281629,2.251436684620748e-05,0.0250000003033516,2.1676681981051462e-05,0.0250000024093072,5.744277553981443e-05,0.0250000024439699,5.8640000627122846e-05,0.0250000054543834,6.203654415427447e-05,0.0250000057575956,6.430757326008001e-05,39512223,3715646,57275,3553307,57091,0.0940378879720333,0.0014495514463967,0.0899293112412328,0.0014448946595588
03-26-2021,139.16,134.06,-22.0,-10.0,-8.0,-40.0,-38.0,11.0,0.0250000003286713,2.2326493250065408e-05,0.0250000003019602,2.141386596564653e-05,0.0250000023095508,5.475676470894713e-05,0.0250000023224676,5.563383243807008e-05,0.0250000052939841,6.048385695984217e-05,0.0250000058585184,6.546843235715059e-05,39512223,3719203,57521,3555915,57336,0.0941279107480234,0.0014557773679299,0.0899953161329343,0.0014510952724679
03-27-2021,136.31,150.65,-21.0,-8.0,2.0,-33.0,-16.0,4.0,0.0250000003957089,2.512768524762954e-05,0.0250000003007292,2.116686186881054e-05,0.0250000023334168,5.4793707784186216e-05,0.0250000021913448,5.23132500750495e-05,0.0250000043187487,5.060033039087594e-05,0.0250000056976233,6.394417457227342e-05,39512223,3722313,57735,3559193,57551,0.0942066205690325,0.0014611934134913,0.0900782778027953,0.0014565366266534
03-28-2021,115.37,120.76,-18.0,-10.0,13.0,-29.0,-16.0,3.0,0.0250000004678405,2.827071446271924e-05,0.0250000003714411,2.417310858918607e-05,0.0250000024478848,5.6945177925147087e-05,0.0250000021805917,5.167479355699693e-05,0.02500000402966,4.76761171233252e-05,0.0250000046671887,5.359666111762062e-05,39512223,3724747,57814,3562191,57746,0.0942682217601373,0.0014631927947966,0.0901541530579031,0.0014614718083566
03-29-2021,113.41,112.48,-19.0,-10.0,-2.0,-41.0,-40.0,11.0,0.0250000003742437,2.445456330206372e-05,0.02500000043772,2.7094057042722645e-05,0.0250000026259403,6.092583559506647e-05,0.0250000022918682,5.383373566298944e-05,0.0250000037791895,4.5175906500349855e-05,0.0250000043719925,5.066296887797607e-05,39512223,3727034,57838,3564468,57778,0.0943261025834967,0.0014638002017755,0.0902117807950213,0.0014622816843284
03-30-2021,116.2,115.63,-19.0,-8.0,3.0,-41.0,-40.0,11.0,0.0250000003937699,2.5831080957117597e-05,0.0250000003296834,2.2738171973102596e-05,0.0250000028226724,6.575392109171064e-05,0.0250000024204606,5.683856510740109e-05,0.0250000037780166,4.525720607225208e-05,0.0250000041524698,4.853716548855056e-05,39512223,3729198,57975,3566464,57788,0.0943808704460895,0.0014672674832797,0.0902622968087621,0.0014625347705696
03-31-2021,122.17,121.22,-16.0,-7.0,2.0,-41.0,-41.0,11.0,0.0250000003403472,2.385864353744292e-05,0.0250000003465186,2.400025962513292e-05,0.0250000027388511,6.440489561089587e-05,0.0250000025792588,6.0890469979487485e-05,0.0250000036964737,4.4518423162804855e-05,0.0250000040138524,4.7273452932300646e-05,39512223,3731783,58125,3568426,57936,0.0944462932394363,0.0014710637768975,0.090311952329283,0.0014662804469391
04-01-2021,126.52,123.3,-16.0,-5.0,-2.0,-39.0,-41.0,11.0,0.0250000002892322,2.178048589122904e-05,0.0250000002882761,2.1762034492231404e-05,0.0250000026284407,6.243504028237857e-05,0.0250000024739598,5.907552990035844e-05,0.0250000037476947,4.5125202131673066e-05,0.0250000039276616,4.6528512068016095e-05,39512223,3734438,58309,3570660,58090,0.0945134876364713,0.0014757205637354,0.0903684917955641,0.0014701779750534
