date,Pennsylvania-apple-driving,Pennsylvania-apple-walking,Pennsylvania-google-retail_and_recreation,Pennsylvania-google-grocery_and_pharmacy,Pennsylvania-google-parks,Pennsylvania-google-transit_stations,Pennsylvania-google-workplaces,Pennsylvania-google-residential,Pennsylvania-jh_beta_7,Pennsylvania-jh_gamma_7,Pennsylvania-cdc_beta_7,Pennsylvania-cdc_gamma_7,Pennsylvania-jh_beta_14,Pennsylvania-jh_gamma_14,Pennsylvania-cdc_beta_14,Pennsylvania-cdc_gamma_14,Pennsylvania-jh_beta_30,Pennsylvania-jh_gamma_30,Pennsylvania-cdc_beta_30,Pennsylvania-cdc_gamma_30,Pennsylvania-census_pop,Pennsylvania-jh_confirmed,Pennsylvania-jh_death,Pennsylvania-cdc_confirmed,Pennsylvania-cdc_death,Pennsylvania-jh_confirmed_ratio,Pennsylvania-jh_death_ratio,Pennsylvania-cdc_confirmed_ratio,Pennsylvania-cdc_death_ratio
04-05-2021,131.77,114.25,-4.0,-2.0,67.0,-29.0,-37.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000007481188,2.4217050342483432e-05,0.0250000008944464,2.7412344193568708e-05,0.0250000016769778,2.5229886236122596e-05,0.0250000017277296,2.567615592275749e-05,12801989,1050738,25195,1051678,25200,0.0820761523853832,0.0019680535579276,0.0821495784756571,0.0019684441222375
04-06-2021,133.04,119.59,-4.0,0.0,79.0,-30.0,-31.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000009481973,2.8775782422576274e-05,0.0250000009887368,2.969537089194832e-05,0.0250000015637191,2.4174745866922986e-05,0.0250000016071925,2.455133075072665e-05,12801989,1055606,25233,1056686,25237,0.0824564057975678,0.0019710218466833,0.0825407676885209,0.0019713342981313
04-07-2021,134.79,121.89,-3.0,3.0,67.0,-28.0,-30.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000008707783,2.7207593776807063e-05,0.0250000009276046,2.8490123478534248e-05,0.0250000015498471,2.407931676920008e-05,0.0250000015833952,2.4358796961844283e-05,12801989,1060249,25284,1061212,25285,0.0828190838158039,0.001975005602645,0.0828943065019037,0.001975083715507
04-08-2021,139.21,132.54,-4.0,2.0,83.0,-27.0,-29.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000008462274,2.6611851264017725e-05,0.0250000008463316,2.6680845321086684e-05,0.0250000016099537,2.468388008740053e-05,0.0250000016638203,2.5167808003282e-05,12801989,1064693,25327,1065694,25327,0.0831662173745032,0.0019783644557107,0.0832444083493588,0.0019783644557107
04-09-2021,156.09,155.32,-12.0,-5.0,34.0,-30.0,-29.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000008111243,2.5707147460931327e-05,0.0250000008071532,2.5696539623209248e-05,0.0250000015461985,2.4049017472469773e-05,0.0250000016181846,2.471908228664511e-05,12801989,1069849,25372,1070897,25362,0.083568967290942,0.0019818795345004,0.0836508295703113,0.0019810984058805
04-10-2021,162.54,182.72,-6.0,-1.0,115.0,-14.0,-10.0,2.0,0.025,1e-05,0.025,1e-05,0.0250000008325797,2.5972626922406476e-05,0.02500000079399,2.526804783130969e-05,0.02500000151257,2.369187927118044e-05,0.0250000015647464,2.4183105860760965e-05,12801989,1074033,25405,1075587,25402,0.083895791505523,0.0019844572589462,0.084017178893061,0.0019842229203602
04-11-2021,113.46,103.57,-7.0,-6.0,40.0,-23.0,-14.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000008669984,2.656198226305736e-05,0.025000000801604,2.5264981705515267e-05,0.0250000014756144,2.3301763844251877e-05,0.0250000014843786,2.3369433017917048e-05,12801989,1077353,25409,1079234,25405,0.0841551262073416,0.0019847697103942,0.0843020565007515,0.0019844572589462
04-12-2021,121.22,102.82,-11.0,-4.0,1.0,-34.0,-30.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000009451191,2.830811755056599e-05,0.0250000008627185,2.663976389401227e-05,0.0250000014574162,2.3133979205670043e-05,0.0250000014341405,2.2890676608210268e-05,12801989,1081228,25415,1081741,25406,0.0844578135475667,0.0019852383875661,0.0844978854457694,0.0019845353718082
04-13-2021,128.53,113.16,-6.0,0.0,65.0,-31.0,-29.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000009623393,2.887608774394198e-05,0.0250000009032565,2.773716143755358e-05,0.0250000015448069,2.403742231956066e-05,0.0250000013625542,2.223235717155406e-05,12801989,1087324,25471,1088824,25472,0.0849339895542794,0.0019896127078378,0.0850511588472697,0.0019896908206998
04-14-2021,130.6,112.15,-7.0,1.0,35.0,-31.0,-30.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000009302835,2.816335365263548e-05,0.0250000008917319,2.742485327906346e-05,0.0250000016487388,2.5063873533332274e-05,0.0250000014218265,2.2817832272864675e-05,12801989,1093637,25521,1094721,25522,0.0854271160520447,0.0019935183509374,0.0855117903944457,0.0019935964637994
