date,Montana-apple-driving,Montana-apple-walking,Montana-google-retail_and_recreation,Montana-google-grocery_and_pharmacy,Montana-google-parks,Montana-google-transit_stations,Montana-google-workplaces,Montana-google-residential,Montana-jh_beta_7,Montana-jh_gamma_7,Montana-cdc_beta_7,Montana-cdc_gamma_7,Montana-jh_beta_14,Montana-jh_gamma_14,Montana-cdc_beta_14,Montana-cdc_gamma_14,Montana-jh_beta_30,Montana-jh_gamma_30,Montana-cdc_beta_30,Montana-cdc_gamma_30,Montana-census_pop,Montana-jh_confirmed,Montana-jh_death,Montana-cdc_confirmed,Montana-cdc_death,Montana-jh_confirmed_ratio,Montana-jh_death_ratio,Montana-cdc_confirmed_ratio,Montana-cdc_death_ratio
02-26-2021,170.88,209.39,-9.0,-3.0,-17.0,-5.0,-17.0,7.0,0.025,1e-05,0.025,1e-05,0.02500000069699,2.4074463100696585e-05,0.02500000069699,2.4074463100696585e-05,0.025000004769121,5.645691053916873e-05,0.025000004769121,5.645691053916873e-05,1068778,99613,1354,99613,1354,0.0932027043969842,0.0012668673943513,0.0932027043969842,0.0012668673943513
02-27-2021,169.31,200.98,-9.0,-2.0,-19.0,-5.0,-8.0,4.0,0.025,1e-05,0.025,1e-05,0.025000000602834,2.182649851514391e-05,0.025000000602834,2.182649851514391e-05,0.0250000042179379,5.116030281298429e-05,0.0250000042179379,5.116030281298429e-05,1068778,99837,1356,99837,1356,0.0934122895493732,0.0012687386903547,0.0934122895493732,0.0012687386903547
02-28-2021,135.0,132.48,-4.0,2.0,-8.0,8.0,-9.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000005647935,2.0869299408462097e-05,0.0250000005647935,2.0869299408462097e-05,0.0250000039377828,4.856157964360769e-05,0.0250000039377828,4.856157964360769e-05,1068778,99954,1357,99954,1357,0.0935217603655763,0.0012696743383565,0.0935217603655763,0.0012696743383565
03-01-2021,142.36,176.2,0.0,3.0,19.0,0.0,-14.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000006928833,2.3710726300111045e-05,0.0250000006928833,2.3710726300111045e-05,0.0250000033488262,4.2812570396854006e-05,0.0250000033488262,4.2812570396854006e-05,1068778,100003,1357,100003,1357,0.0935676071176614,0.0012696743383565,0.0935676071176614,0.0012696743383565
03-02-2021,142.19,173.5,-3.0,2.0,16.0,-1.0,-15.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000007345057,2.482145774967767e-05,0.0250000007345057,2.482145774967767e-05,0.0250000032060831,4.1575703674360535e-05,0.0250000032060831,4.1575703674360535e-05,1068778,100158,1372,100158,1372,0.0937126325579306,0.0012837090583825,0.0937126325579306,0.0012837090583825
03-03-2021,152.09,191.5,2.0,6.0,29.0,2.0,-15.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000008159386,2.568922857978357e-05,0.0250000008159386,2.568922857978357e-05,0.0250000032847516,4.235574980385205e-05,0.0250000032847516,4.235574980385205e-05,1068778,100351,1373,100351,1373,0.0938932126222658,0.0012846447063843,0.0938932126222658,0.0012846447063843
03-04-2021,160.17,200.69,2.0,6.0,31.0,4.0,-16.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000008639666,2.617777770091381e-05,0.0250000008639666,2.617777770091381e-05,0.0250000033577504,4.307268354585081e-05,0.0250000033577504,4.307268354585081e-05,1068778,100531,1375,100531,1375,0.0940616292625783,0.0012865160023877,0.0940616292625783,0.0012865160023877
03-05-2021,187.9,244.0,-3.0,4.0,18.0,2.0,-18.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000008946194,2.650282157728143e-05,0.0250000008946194,2.650282157728143e-05,0.0250000028827178,3.824054558825414e-05,0.0250000028827178,3.824054558825414e-05,1068778,100656,1379,100656,1379,0.0941785852627954,0.0012902585943947,0.0941785852627954,0.0012902585943947
03-06-2021,180.98,218.76,-1.0,6.0,10.0,8.0,-10.0,2.0,0.025,1e-05,0.025,1e-05,0.0250000009952598,2.840564468329472e-05,0.0250000009952598,2.840564468329472e-05,0.025000000932276,1.843264531129168e-05,0.025000000932276,1.843264531129168e-05,1068778,100656,1379,100842,1381,0.0941785852627954,0.0012902585943947,0.0943526157911184,0.0012921298903981
03-07-2021,149.23,159.57,4.0,10.0,24.0,17.0,-9.0,1.0,0.025,1e-05,0.025,1e-05,0.0250000010537134,2.9760830712342508e-05,0.0250000010783602,3.01394179568557e-05,0.0250000008420385,1.748085202100441e-05,0.0250000008498845,1.753599070795589e-05,1068778,100914,1381,100914,1381,0.0944199824472434,0.0012921298903981,0.0944199824472434,0.0012921298903981
