date,Texas-apple-driving,Texas-apple-walking,Texas-google-retail_and_recreation,Texas-google-grocery_and_pharmacy,Texas-google-parks,Texas-google-transit_stations,Texas-google-workplaces,Texas-google-residential,Texas-jh_beta_7,Texas-jh_gamma_7,Texas-cdc_beta_7,Texas-cdc_gamma_7,Texas-jh_beta_14,Texas-jh_gamma_14,Texas-cdc_beta_14,Texas-cdc_gamma_14,Texas-jh_beta_30,Texas-jh_gamma_30,Texas-cdc_beta_30,Texas-cdc_gamma_30,Texas-census_pop,Texas-jh_confirmed,Texas-jh_death,Texas-cdc_confirmed,Texas-cdc_death,Texas-jh_confirmed_ratio,Texas-jh_death_ratio,Texas-cdc_confirmed_ratio,Texas-cdc_death_ratio
01-11-2021,95.74,109.7,-23.0,-15.0,-45.0,-35.0,-36.0,14.0,0.0250000005825569,3.1272324071131165e-05,0.0250000006813944,3.5403942881201955e-05,0.025000030043911,0.0001154886020541,0.0250000551038468,0.0001548998154572,0.0250000103162717,9.682007571315628e-05,0.0250000141027557,0.0001282097120989,28995881,1990204,30585,1969240,34814,0.0686374730259101,0.0010548049910951,0.0679144737833625,0.0012006532927901
01-12-2021,101.45,114.94,-21.0,-11.0,-34.0,-31.0,-33.0,12.0,0.0250000006419051,3.4342105769095926e-05,0.025000000689241,3.576679682329894e-05,0.0250000331773364,0.0001237158699584,0.0250000561504672,0.0001585323636097,0.0250000103190986,9.681824236289894e-05,0.0250000141323896,0.0001284691216311,28995881,2014645,30895,1995292,35174,0.0694803858520456,0.0010654961647828,0.0688129462250172,0.0012130688493307
01-13-2021,103.39,120.07,-19.0,-10.0,-22.0,-30.0,-30.0,11.0,0.025000000652338,3.51241088372423e-05,0.0250000007057119,3.643899418108145e-05,0.0250000315746145,0.0001230602430176,0.0250000530922665,0.0001581740631499,0.0250000106088497,9.942652043794574e-05,0.0250000143516177,0.0001303640208934,28995881,2040751,31277,2021374,35561,0.0703807206271815,0.0010786704497787,0.0697124532963837,0.0012264155726118
01-14-2021,108.24,125.14,-21.0,-14.0,-14.0,-30.0,-32.0,11.0,0.0250000006484939,3.4933730453336685e-05,0.0250000007187335,3.689208199380152e-05,0.0250000293633307,0.0001198264663352,0.0250000515554366,0.0001585847095994,0.0250000110450264,0.0001033548876904,0.0250000145113359,0.0001316960636429,28995881,2068637,31693,2045699,35926,0.0713424434318791,0.0010930173151145,0.0705513655543006,0.0012390035674377
01-15-2021,129.15,149.64,-22.0,-13.0,-31.0,-30.0,-31.0,11.0,0.0250000006371438,3.408264671165352e-05,0.0250000007344107,3.745925372127656e-05,0.0250000278621226,0.0001170710015333,0.025000051269351,0.0001610291423694,0.025000011018578,0.0001029514297129,0.02500001458678,0.0001324121604702,28995881,2094921,32086,2072903,36253,0.0722489170099711,0.001106570964338,0.0714895677768852,0.0012502810312954
01-16-2021,125.26,162.79,-22.0,-13.0,-21.0,-28.0,-14.0,6.0,0.0250000005346441,2.9250571777943195e-05,0.0250000007466003,3.7960831068589146e-05,0.0250000279766725,0.0001173636900895,0.025000050794873,0.0001630876111572,0.0250000108839501,0.0001014700378003,0.0250000146701646,0.000133252468419,28995881,2112662,32428,2097560,36563,0.0728607625338233,0.0011183657430515,0.0723399299369451,0.0012609722049831
01-17-2021,96.2,120.03,-19.0,-15.0,-20.0,-31.0,-16.0,6.0,0.0250000006121601,3.2204651954705776e-05,0.0250000007389512,3.7707876253340446e-05,0.0250000313880117,0.0001280469302519,0.0250000520205284,0.0001665314734622,0.0250000108553439,0.0001009309909501,0.025000014685232,0.0001335155187548,28995881,2127111,32600,2113962,36894,0.0733590746906431,0.0011242976200654,0.0729055964879977,0.0012723876194691
01-18-2021,106.7,125.13,-17.0,-14.0,-10.0,-31.0,-46.0,14.0,0.0250000006712387,3.4910677952122104e-05,0.0250000007559406,3.851100098076129e-05,0.0250000346440355,0.0001393187625451,0.0250000504360477,0.000166993668035,0.0250000106022962,9.838298506667968e-05,0.0250000147111335,0.0001338528880867,28995881,2138190,32711,2125552,37203,0.07374116344318,0.0011281257499987,0.0733053084332909,0.0012830443054998
01-19-2021,99.71,117.33,-23.0,-13.0,-31.0,-32.0,-33.0,12.0,0.0250000007279474,3.791972891823898e-05,0.0250000007582331,3.872050719887709e-05,0.0250000364926424,0.0001482781402053,0.0250000477248288,0.0001657532263919,0.0250000106847297,9.915720607967366e-05,0.0250000147757526,0.0001346281764631,28995881,2157459,33032,2135028,37538,0.0744057061070156,0.0011391962879141,0.0736321134715651,0.0012945976706139
01-20-2021,97.69,113.85,-24.0,-15.0,-36.0,-33.0,-31.0,13.0,0.0250000007101714,3.749056364429737e-05,0.0250000007522495,3.851236339528935e-05,0.0250000331703203,0.0001478489117969,0.0250000431952498,0.00016342424197,0.0250000109818248,0.0001019085404029,0.0250000149273168,0.0001360603189954,28995881,2185554,33491,2166283,37876,0.0753746368320383,0.0011550261225033,0.0747100251928886,0.0013062544986993
