date,New Hampshire-apple-driving,New Hampshire-apple-walking,New Hampshire-google-retail_and_recreation,New Hampshire-google-grocery_and_pharmacy,New Hampshire-google-parks,New Hampshire-google-transit_stations,New Hampshire-google-workplaces,New Hampshire-google-residential,New Hampshire-jh_beta_7,New Hampshire-jh_gamma_7,New Hampshire-cdc_beta_7,New Hampshire-cdc_gamma_7,New Hampshire-jh_beta_14,New Hampshire-jh_gamma_14,New Hampshire-cdc_beta_14,New Hampshire-cdc_gamma_14,New Hampshire-jh_beta_30,New Hampshire-jh_gamma_30,New Hampshire-cdc_beta_30,New Hampshire-cdc_gamma_30,New Hampshire-census_pop,New Hampshire-jh_confirmed,New Hampshire-jh_death,New Hampshire-cdc_confirmed,New Hampshire-cdc_death,New Hampshire-jh_confirmed_ratio,New Hampshire-jh_death_ratio,New Hampshire-cdc_confirmed_ratio,New Hampshire-cdc_death_ratio
01-26-2021,103.02,124.86,-23.0,-10.0,10.0,-33.0,-27.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000020802716,4.851939471757225e-05,0.0250000020262364,4.7458752432044126e-05,0.0250000210478151,0.0001838835272968,0.0250000205074713,0.0001791417187913,1359711,63367,994,63172,994,0.0466032855511207,0.000731037698452,0.0464598727229536,0.000731037698452
01-27-2021,100.91,124.41,-25.0,-16.0,1.0,-34.0,-31.0,14.0,0.025000000269097,2.0183684543419392e-05,0.0250000002670482,2.010131521001253e-05,0.0250000020478661,4.813294211905885e-05,0.025000002003255,4.725100245919628e-05,0.0250000213627039,0.0001872283351806,0.0250000209896729,0.0001839338278782,1359711,63886,1006,63562,1006,0.0469849843091657,0.0007398631032623,0.0467466983792879,0.0007398631032623
01-28-2021,104.37,129.31,-23.0,-11.0,10.0,-34.0,-27.0,12.0,0.025,1e-05,0.025,1e-05,0.025000002090721,4.909266469704951e-05,0.0250000020497469,4.827806328729226e-05,0.0250000217513617,0.0001910973092117,0.0250000215028822,0.0001888900248014,1359711,64591,1022,64258,1022,0.04750347684177,0.0007516303096761,0.0472585718582845,0.0007516303096761
01-29-2021,124.68,161.23,-26.0,-14.0,-23.0,-40.0,-27.0,15.0,0.025,1e-05,0.025,1e-05,0.0250000020471841,4.799491020970383e-05,0.0250000020100017,4.726078447336798e-05,0.0249999816737011,0.0001698276850086,0.0249999851437846,0.0001707416773657,1359711,65134,1036,64838,1036,0.0479028264094355,0.0007619266152881,0.0476851330907817,0.0007619266152881
01-30-2021,131.81,184.48,-21.0,-11.0,-17.0,-33.0,-9.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000020630536,4.79533842991099e-05,0.0250000020174308,4.706026483558964e-05,0.024999966459329,0.0001691549123998,0.0249999755475213,0.0001715843849976,1359711,65655,1042,65362,1042,0.0482859960682821,0.0007663393176932,0.0480705091008309,0.0007663393176932
01-31-2021,106.46,128.39,-17.0,-4.0,-4.0,-31.0,-9.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000018582837,4.351558916513282e-05,0.0250000018128643,4.264440385550751e-05,0.0249999590334192,0.0001585323939554,0.0249999689009853,0.0001623457194078,1359711,65949,1057,65695,1057,0.0485022184861341,0.0007773710737061,0.0483154140843164,0.0007773710737061
02-01-2021,85.5,131.1,-21.0,2.0,-8.0,-40.0,-30.0,12.0,0.0250000003033523,2.0740540938164607e-05,0.0250000003027001,2.0716084066590863e-05,0.0250000019892871,4.587832414728049e-05,0.0250000019496105,4.511665660667529e-05,0.0249999392107122,0.0001625440534092,0.0249999632410416,0.0001702147571606,1359711,66289,1059,66058,1059,0.0487522716224256,0.0007788419745078,0.0485823825798276,0.0007788419745078
02-02-2021,64.09,91.13,-51.0,-43.0,-13.0,-57.0,-54.0,25.0,0.0250000003393411,2.243373995376056e-05,0.0250000003387666,2.2411358216861572e-05,0.0250000022232072,5.070418716612131e-05,0.0250000021957796,5.016871136566536e-05,0.0249999318253032,0.0001595554342074,0.0249999489635694,0.0001644827879959,1359711,66656,1059,66384,1066,0.0490221819195402,0.0007788419745078,0.048822139410507,0.0007839901273138
02-03-2021,104.06,135.8,-20.0,-9.0,2.0,-33.0,-28.0,12.0,0.0250000003491605,2.3268415153225377e-05,0.0250000003637359,2.368572785820245e-05,0.0250000022944522,5.246765719658985e-05,0.0250000023115787,5.261920332223088e-05,0.024999925427064,0.0001551167867555,0.0249999353253244,0.000158525915257,1359711,67041,1076,66721,1076,0.0493053303238702,0.0007913446313223,0.0490699861955959,0.0007913446313223
02-04-2021,109.49,148.24,-19.0,-6.0,17.0,-31.0,-26.0,11.0,0.0250000003325901,2.258932228414288e-05,0.0250000003424182,2.291809901609878e-05,0.0250000022447454,5.138945460144177e-05,0.0250000022597513,5.156045196380756e-05,0.0249999116850424,0.0001595558776399,0.0249999174870692,0.0001617049562534,1359711,67492,1085,67117,1085,0.0496370184546569,0.0007979636849301,0.0493612245543354,0.0007979636849301
02-05-2021,125.71,160.45,-27.0,-12.0,-9.0,-40.0,-25.0,14.0,0.0250000002915613,2.083003737531737e-05,0.0250000002980789,2.110191718984336e-05,0.0250000021942886,5.029713924790671e-05,0.0250000022103683,5.054238161881125e-05,0.0249999056180142,0.000155534171368,0.0249999122768627,0.0001579966349035,1359711,67919,1091,67595,1091,0.0499510557758229,0.0008023763873352,0.0497127698459452,0.0008023763873352
02-06-2021,140.88,191.74,-16.0,1.0,18.0,-29.0,-5.0,5.0,0.025,1e-05,0.025,1e-05,0.025000002199938,5.048072335505296e-05,0.0250000022131799,5.071476911920101e-05,0.024999914722801,0.0001416661767789,0.0249999206514733,0.0001441005893473,1359711,68260,1098,68061,1098,0.0502018443625152,0.0008075245401412,0.0500554897327446,0.0008075245401412
02-07-2021,87.35,103.68,-38.0,-18.0,-21.0,-41.0,-11.0,7.0,0.025,1e-05,0.0250000002700538,2.0014557907983912e-05,0.0250000021764916,5.011567438129486e-05,0.0250000021813586,5.022179290293491e-05,0.0249999115156896,0.0001378712581792,0.0249999195988289,0.0001411138054072,1359711,68597,1104,68379,1104,0.0504496911476041,0.0008119372425463,0.0502893629602172,0.0008119372425463
02-08-2021,98.69,130.24,-20.0,-10.0,0.0,-32.0,-29.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000022338607,5.151471382007462e-05,0.025000002243119,5.173738352241071e-05,0.0249999173180067,0.0001279361013359,0.0249999243977817,0.0001310509370733,1359711,68897,1106,68499,1106,0.0506703262678613,0.0008134081433481,0.0503776170083201,0.0008134081433481
02-09-2021,86.63,116.63,-33.0,-20.0,-14.0,-38.0,-31.0,15.0,0.025,1e-05,0.025,1e-05,0.0250000023348709,5.400193782332945e-05,0.0250000023419541,5.420360180646592e-05,0.024999920264293,0.0001198003025354,0.0249999282840103,0.0001235140178293,1359711,69126,1109,68918,1109,0.0508387444096576,0.0008156144945506,0.0506857707262793,0.0008156144945506
02-10-2021,107.95,136.46,-16.0,-5.0,1.0,-31.0,-28.0,12.0,0.0250000002680454,2.035888760775424e-05,0.025,1e-05,0.0250000023920448,5.564301683571455e-05,0.0250000023941012,5.575807956937702e-05,0.0249999160006032,0.0001188113508359,0.0249999229998893,0.0001221601185558,1359711,69519,1116,69247,1116,0.0511277764171945,0.0008207626473566,0.0509277339081613,0.0008207626473566
02-11-2021,110.71,141.03,-17.0,-4.0,6.0,-31.0,-26.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000022448824,5.29074152242325e-05,0.0250000022413735,5.291778371520741e-05,0.0249999011591346,0.0001217772996637,0.0249999095600543,0.0001256542292157,1359711,69929,1117,69612,1117,0.051429311081546,0.0008214980977575,0.0511961733044742,0.0008214980977575
02-12-2021,135.62,175.09,-19.0,-4.0,-8.0,-36.0,-25.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000019662246,4.751387799032383e-05,0.0250000019620637,4.751435336763042e-05,0.0249999003154001,0.0001191156671023,0.0249999068493688,0.0001223195277342,1359711,70322,1126,70072,1126,0.0517183430890829,0.0008281171513652,0.0515344804888685,0.0008281171513652
02-13-2021,150.67,214.27,-11.0,5.0,13.0,-25.0,-7.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000017516858,4.3224158933592806e-05,0.025000001747925,4.32298016900294e-05,0.0249998957336186,0.0001173425138739,0.0249999012724105,0.0001201885795298,1359711,70756,1130,70505,1130,0.0520375285630549,0.0008310589529686,0.0518529305124397,0.0008310589529686
02-14-2021,117.2,154.09,-11.0,-3.0,7.0,-32.0,-8.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000017393313,4.314135691946103e-05,0.025000001734586,4.311527977462012e-05,0.0249999000974456,0.0001128053959702,0.0249999047318089,0.0001153561033405,1359711,71044,1133,70785,1133,0.0522493382785018,0.0008332653041712,0.0520588566246798,0.0008332653041712
02-15-2021,105.86,127.33,-10.0,-1.0,23.0,-27.0,-41.0,14.0,0.025,1e-05,0.025,1e-05,0.0250000014656485,3.7651469641459385e-05,0.025000001461917,3.762949749639968e-05,0.025000021873531,0.0001960978848278,0.0249999072552181,0.0001109397000933,1359711,71302,1135,71017,1135,0.052439084481923,0.0008347362049729,0.0522294811176786,0.0008347362049729
02-16-2021,90.05,113.88,-34.0,-26.0,-15.0,-43.0,-39.0,18.0,0.025,1e-05,0.025,1e-05,0.0250000015272634,3.9196927496450514e-05,0.0250000015232708,3.914413327780247e-05,0.0250000104264978,9.847278260846304e-05,0.024999921761739,0.0001017695696867,1359711,71561,1136,71215,1136,0.052629566135745,0.0008354716553738,0.0523751002970484,0.0008354716553738
