date,Oregon-apple-driving,Oregon-apple-walking,Oregon-google-retail_and_recreation,Oregon-google-grocery_and_pharmacy,Oregon-google-parks,Oregon-google-transit_stations,Oregon-google-workplaces,Oregon-google-residential,Oregon-jh_beta_7,Oregon-jh_gamma_7,Oregon-cdc_beta_7,Oregon-cdc_gamma_7,Oregon-jh_beta_14,Oregon-jh_gamma_14,Oregon-cdc_beta_14,Oregon-cdc_gamma_14,Oregon-jh_beta_30,Oregon-jh_gamma_30,Oregon-cdc_beta_30,Oregon-cdc_gamma_30,Oregon-census_pop,Oregon-jh_confirmed,Oregon-jh_death,Oregon-cdc_confirmed,Oregon-cdc_death,Oregon-jh_confirmed_ratio,Oregon-jh_death_ratio,Oregon-cdc_confirmed_ratio,Oregon-cdc_death_ratio
01-24-2021,81.6,79.25,-33.0,-18.0,-36.0,-42.0,-20.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000011619959,3.152550628854594e-05,0.0250000011620005,3.15264506467162e-05,0.0250000430189802,0.0001001482512906,0.0250000430214986,0.0001001636850309,4217737,138168,1880,138168,1880,0.0327587993276963,0.0004457366592558,0.0327587993276963,0.0004457366592558
01-25-2021,94.7,93.45,-29.0,-15.0,-2.0,-42.0,-37.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000012371316,3.3282875394308986e-05,0.0250000012316262,3.317133189504119e-05,0.0250000463827058,0.0001056422768596,0.0250000428820553,0.0001024866329735,4217737,138587,1882,138587,1882,0.0328581417001581,0.0004462108471912,0.0328581417001581,0.0004462108471912
01-26-2021,96.67,90.36,-34.0,-16.0,-14.0,-45.0,-39.0,14.0,0.025,1e-05,0.025,1e-05,0.0250000012524117,3.385147130974665e-05,0.0250000012524117,3.385147130974665e-05,0.0250000442190851,0.0001069990930744,0.0250000442212915,0.0001070088865681,4217737,139355,1904,139355,1904,0.0330402298673435,0.0004514269144804,0.0330402298673435,0.0004514269144804
01-27-2021,97.75,96.07,-29.0,-14.0,-5.0,-45.0,-38.0,13.0,0.025,1e-05,0.025,1e-05,0.025000001029589,2.94294868780392e-05,0.025000001029589,2.94294868780392e-05,0.0250000426856897,0.0001092235127072,0.0250000426866873,0.0001092324266806,4217737,140063,1924,140063,1924,0.0332080923964675,0.0004561687938342,0.0332080923964675,0.0004561687938342
01-28-2021,101.96,98.04,-30.0,-12.0,-7.0,-42.0,-38.0,13.0,0.025,1e-05,0.025,1e-05,0.0250000008850452,2.648770482774872e-05,0.0250000008850452,2.648770482774872e-05,0.0250000422618721,0.0001117423554721,0.0250000422619936,0.0001117504704776,4217737,140783,1930,140783,1930,0.0333788000532038,0.0004575913576403,0.0333788000532038,0.0004575913576403
01-29-2021,117.91,119.29,-30.0,-13.0,-5.0,-41.0,-35.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000007961031,2.4702569437483032e-05,0.0250000007961031,2.4702569437483032e-05,0.0250000400959984,0.0001109403207578,0.0250000400954438,0.0001109476737976,4217737,141729,1938,141729,1938,0.0336030909466379,0.0004594881093818,0.0336030909466379,0.0004594881093818
01-30-2021,110.2,116.96,-30.0,-14.0,1.0,-35.0,-16.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000007458674,2.3714045464880264e-05,0.0250000007458674,2.3714045464880264e-05,0.0250000365428456,0.0001086810065963,0.025000036541704,0.0001086876031621,4217737,142416,1957,142416,1957,0.0337659745024405,0.0004639928947679,0.0337659745024405,0.0004639928947679
01-31-2021,88.52,88.61,-26.0,-14.0,-18.0,-34.0,-17.0,6.0,0.025,1e-05,0.025,1e-05,0.025000000588422,2.0475420115561388e-05,0.025000000588422,2.0475420115561388e-05,0.0250000332638048,0.0001090867280354,0.0250000332620686,0.0001090925674168,4217737,142416,1957,142416,1957,0.0337659745024405,0.0004639928947679,0.0337659745024405,0.0004639928947679
02-01-2021,97.24,94.89,-25.0,-12.0,-16.0,-42.0,-37.0,11.0,0.025,1e-05,0.025,1e-05,0.02500000064527,2.170040073298532e-05,0.02500000064527,2.170040073298532e-05,0.0250000344603544,0.0001134838339194,0.0250000344583648,0.0001134890251041,4217737,143373,1958,143373,1958,0.0339928734295192,0.0004642299887356,0.0339928734295192,0.0004642299887356
02-02-2021,97.63,97.74,-26.0,-9.0,0.0,-41.0,-38.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000006787467,2.251967861250773e-05,0.0250000006787467,2.251967861250773e-05,0.0250000278688071,0.0001105603200225,0.0250000278664602,0.0001105647846774,4217737,143978,1981,143978,1981,0.0341363152799712,0.0004696831499925,0.0341363152799712,0.0004696831499925
