date,Florida-apple-driving,Florida-apple-walking,Florida-google-retail_and_recreation,Florida-google-grocery_and_pharmacy,Florida-google-parks,Florida-google-transit_stations,Florida-google-workplaces,Florida-google-residential,Florida-jh_beta_7,Florida-jh_gamma_7,Florida-cdc_beta_7,Florida-cdc_gamma_7,Florida-jh_beta_14,Florida-jh_gamma_14,Florida-cdc_beta_14,Florida-cdc_gamma_14,Florida-jh_beta_30,Florida-jh_gamma_30,Florida-cdc_beta_30,Florida-cdc_gamma_30,Florida-census_pop,Florida-jh_confirmed,Florida-jh_death,Florida-cdc_confirmed,Florida-cdc_death,Florida-jh_confirmed_ratio,Florida-jh_death_ratio,Florida-cdc_confirmed_ratio,Florida-cdc_death_ratio
03-05-2021,142.25,167.59,-15.0,-7.0,-10.0,-29.0,-25.0,7.0,0.0250000004373027,2.6862411080378343e-05,0.025,1e-05,0.0250000036981592,8.286247245673016e-05,0.0250000022262776,5.406604309206687e-05,0.0250000065303344,6.933169675312437e-05,0.0250000050072015,5.60625614017075e-05,21477737,1936207,31522,1900217,32882,0.0901494882817496,0.0014676592790013,0.0884737996372709,0.0015309806615101
03-06-2021,131.87,164.74,-17.0,-11.0,-33.0,-33.0,-17.0,5.0,0.0250000004275177,2.6434942586724417e-05,0.025,1e-05,0.0250000034569549,7.761866930411334e-05,0.0250000021589912,5.270536348492242e-05,0.0250000063710454,6.788652123747601e-05,0.025000004794179,5.412127339384826e-05,21477737,1940897,31620,1904264,32974,0.0903678539317247,0.0014722221433291,0.0886622273100746,0.0015352641667974
03-07-2021,110.25,134.51,-10.0,-6.0,-8.0,-27.0,-17.0,3.0,0.0250000004348159,2.686420786048967e-05,0.025,1e-05,0.0250000034757994,7.819792033911335e-05,0.0250000021258582,5.2020687941925614e-05,0.0250000061365074,6.57092921754651e-05,0.025000004567529,5.2042343025046485e-05,21477737,1944995,31683,1907624,33032,0.0905586561563725,0.0014751554132541,0.0888186683727433,0.0015379646375221
03-08-2021,116.68,131.21,-14.0,-8.0,-21.0,-28.0,-28.0,7.0,0.0250000004214759,2.655450417791541e-05,0.025,1e-05,0.0250000035360046,7.990695543167479e-05,0.0250000020511611,5.05003309545044e-05,0.0250000059090061,6.36688689809959e-05,0.025000004390822,5.044421658097452e-05,21477737,1948307,31764,1912025,33092,0.0907128623467174,0.0014789267603006,0.0890235782289353,0.0015407582279268
03-09-2021,119.21,132.81,-13.0,-6.0,-14.0,-29.0,-27.0,7.0,0.0250000003808652,2.503816466172978e-05,0.025,1e-05,0.0250000033828692,7.700341805245911e-05,0.0250000019539514,4.853327898840811e-05,0.0250000058306343,6.310213112975845e-05,0.0250000042135513,4.883621168698143e-05,21477737,1952733,31889,1916818,33163,0.0909189361989114,0.0014847467403106,0.0892467395424387,0.0015440639765725
03-10-2021,122.33,136.14,-12.0,-7.0,-12.0,-28.0,-26.0,7.0,0.0250000003562282,2.401980018873531e-05,0.025,1e-05,0.0250000032714374,7.487353214039726e-05,0.0250000018880592,4.724230977631657e-05,0.0250000058482846,6.347433837752199e-05,0.0250000040605714,4.7455856919642286e-05,21477737,1957586,31948,1921816,33230,0.0911448911028196,0.0014874937708753,0.0894794456231585,0.0015471834858579
03-11-2021,130.41,149.29,-13.0,-6.0,-8.0,-25.0,-27.0,7.0,0.0250000003235199,2.2730272571655616e-05,0.025,1e-05,0.0250000031916421,7.357958118927632e-05,0.0250000018567879,4.671306601898127e-05,0.0250000058108629,6.331349287754479e-05,0.025000003964199,4.664388727759659e-05,21477737,1962651,32040,1926849,33302,0.0913807166928247,0.0014917772761627,0.0897137812982811,0.0015505357943436
03-12-2021,130.41,149.29,-13.0,-5.0,-6.0,-24.0,-26.0,7.0,0.02500000030028,2.1768768949930672e-05,0.025,1e-05,0.0250000030722886,7.136520672395273e-05,0.0250000018210208,4.6061160771704616e-05,0.0250000055317601,6.073541363257519e-05,0.0250000037537161,4.468083284796381e-05,21477737,1967865,32145,1931989,33372,0.0916234796990018,0.0014966660593711,0.0899530988762922,0.0015537949831492
03-13-2021,152.77,205.93,-10.0,-4.0,1.0,-21.0,-16.0,2.0,0.0250000002706391,2.0430560853010304e-05,0.025,1e-05,0.025000002931082,6.855750520184276e-05,0.025000001782968,4.5341460229230585e-05,0.0250000053978041,5.960286335655352e-05,0.0250000036099072,4.337934974529669e-05,21477737,1973109,32225,1935789,33432,0.0918676395003812,0.0015003908465775,0.0901300262685961,0.001556588573554
03-14-2021,121.42,157.64,-8.0,-4.0,3.0,-20.0,-17.0,2.0,0.0250000002644797,2.0160772934947973e-05,0.025,1e-05,0.0250000028832233,6.780026482480969e-05,0.025000001745965,4.466359419436607e-05,0.02500000522597,5.80990200763764e-05,0.0250000034593834,4.200280447428474e-05,21477737,1976808,32255,1938658,33491,0.0920398643488371,0.0015017876417799,0.0902636064497856,0.0015593356041188
