date,Maryland-apple-driving,Maryland-apple-walking,Maryland-google-retail_and_recreation,Maryland-google-grocery_and_pharmacy,Maryland-google-parks,Maryland-google-transit_stations,Maryland-google-workplaces,Maryland-google-residential,Maryland-jh_beta_7,Maryland-jh_gamma_7,Maryland-cdc_beta_7,Maryland-cdc_gamma_7,Maryland-jh_beta_14,Maryland-jh_gamma_14,Maryland-cdc_beta_14,Maryland-cdc_gamma_14,Maryland-jh_beta_30,Maryland-jh_gamma_30,Maryland-cdc_beta_30,Maryland-cdc_gamma_30,Maryland-census_pop,Maryland-jh_confirmed,Maryland-jh_death,Maryland-cdc_confirmed,Maryland-cdc_death,Maryland-jh_confirmed_ratio,Maryland-jh_death_ratio,Maryland-cdc_confirmed_ratio,Maryland-cdc_death_ratio
03-22-2021,114.48,134.73,-15.0,-8.0,34.0,-40.0,-37.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000008905222,2.6704673421913465e-05,0.0250000010160786,2.9332268903045945e-05,0.0250000026625103,3.374066183671058e-05,0.0250000028040646,3.486784621953312e-05,6045680,400705,8184,401427,8705,0.0662795582961718,0.0013536938772809,0.0663989824138889,0.0014398711145809
03-23-2021,118.3,136.68,-12.0,-5.0,53.0,-37.0,-37.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000009578622,2.807326797638739e-05,0.0250000009565284,2.8040934172280448e-05,0.0250000026096682,3.322699745121117e-05,0.0250000026984912,3.384778632404182e-05,6045680,401427,8195,402600,8720,0.0663989824138889,0.0013555133582988,0.0665930052533379,0.0014423522250598
03-24-2021,112.26,124.07,-21.0,-14.0,-33.0,-46.0,-40.0,16.0,0.025,1e-05,0.025,1e-05,0.02500000088335,2.6490713927291653e-05,0.025000000966151,2.8240324636707857e-05,0.025000002573847,3.288465647576549e-05,0.0250000025726769,3.263090622576232e-05,6045680,402600,8214,402600,8731,0.0665930052533379,0.0013586560982387,0.0665930052533379,0.0014441717060777
03-25-2021,123.63,143.63,-15.0,-6.0,19.0,-39.0,-38.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000009012205,2.684663645634076e-05,0.0250000009361533,2.765748474087404e-05,0.0250000025522702,3.2662428657983803e-05,0.0250000024516663,3.1474040434590806e-05,6045680,403982,8217,403982,8740,0.066821598232126,0.0013591523203345,0.066821598232126,0.001445660372365
03-26-2021,152.67,190.76,-14.0,-7.0,64.0,-36.0,-36.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000009141597,2.725101933696249e-05,0.0250000009513642,2.810519137853506e-05,0.0250000023895314,3.110924709358785e-05,0.0250000024601275,3.159155319441885e-05,6045680,405343,8232,406709,8756,0.0670467176562438,0.0013616334308134,0.0672726641171878,0.0014483068902092
03-27-2021,150.66,201.94,-12.0,-3.0,135.0,-22.0,-11.0,2.0,0.025,1e-05,0.025,1e-05,0.0250000008968319,2.699844328899066e-05,0.025000000991701,2.90586693688802e-05,0.0250000022557856,2.983221243378556e-05,0.0250000023803044,3.0849863369759687e-05,6045680,406709,8246,408044,8766,0.0672726641171878,0.001363949133927,0.0674934829498088,0.0014499609638617
03-28-2021,100.96,118.51,-21.0,-13.0,-16.0,-33.0,-17.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000009425947,2.808694899614872e-05,0.0250000009717354,2.876520785985904e-05,0.0250000022291741,2.959168181461945e-05,0.025000002217699,2.931948954347014e-05,6045680,408044,8251,409076,8781,0.0674934829498088,0.0013647761707533,0.0676641833507562,0.0014524420743406
03-29-2021,117.31,137.29,-14.0,-7.0,25.0,-40.0,-39.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000009575934,2.8604215825397785e-05,0.0250000009837734,2.91125001230974e-05,0.0250000020271693,2.767878069187213e-05,0.0250000022038295,2.9224948115555223e-05,6045680,409075,8260,409978,8790,0.0676640179433909,0.0013662648370406,0.06781338079422,0.001453930740628
03-30-2021,126.04,149.5,-9.0,-2.0,83.0,-35.0,-39.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000009902615,2.949987431284961e-05,0.0250000009322798,2.8131551412197135e-05,0.025000001969008,2.7168353506702665e-05,0.0250000021941102,2.918706646436349e-05,6045680,409978,8273,411344,8807,0.06781338079422,0.001368415132789,0.068039327255164,0.0014567426658374
03-31-2021,120.74,135.74,-15.0,-8.0,-16.0,-40.0,-41.0,14.0,0.025,1e-05,0.025,1e-05,0.0250000008811612,2.731648217401717e-05,0.0250000008634173,2.6708482620540173e-05,0.0250000019596767,2.7129127567949176e-05,0.0250000021796551,2.908943446071401e-05,6045680,411344,8286,412928,8827,0.068039327255164,0.0013705654285374,0.0683013325217345,0.0014600508131426
04-01-2021,129.74,147.67,-11.0,-2.0,-9.0,-39.0,-41.0,13.0,0.025,1e-05,0.025,1e-05,0.0250000008217804,2.6138997114358972e-05,0.0250000008611532,2.6618631432653392e-05,0.0250000019812997,2.7385144170364187e-05,0.0250000022109743,2.941514898910476e-05,6045680,412928,8303,414385,8845,0.0683013325217345,0.0013733773537468,0.0685423310529171,0.0014630281457172
04-02-2021,152.83,175.56,-13.0,-2.0,7.0,-38.0,-43.0,13.0,0.025,1e-05,0.025,1e-05,0.0250000008107545,2.5904698466704736e-05,0.025000000880914,2.6955536339630926e-05,0.0250000018528408,2.6170684113453707e-05,0.0250000022521634,2.9831189363727552e-05,6045680,414385,8319,414385,8861,0.0685423310529171,0.0013760238715909,0.0685423310529171,0.0014656746635614
